It No., Best MQ, No clusters, max clus, min clus
1,1.71333069446277,3,9,4
2,1.9713804713804712,4,8,3
3,2.01026936026936,5,8,2
4,1.7101377136220344,3,8,5
5,1.7535275304151512,4,9,3
6,1.6570423623995052,3,9,5
7,1.7857234999262863,6,5,2
8,1.711860295901043,3,11,3
9,2.057068421774304,5,5,3
10,1.7521523116016233,3,7,6
11,1.943073593073593,5,6,2
12,1.8834654429147544,4,7,2
13,1.8321724252758735,4,7,3
14,1.7761559169122196,5,7,2
15,1.5906760418955541,3,7,6
16,1.8811361232413866,5,6,2
17,1.6959100713456114,3,9,4
18,2.0726625226625224,5,5,3
19,1.8424242424242427,5,6,2
20,1.818683537488222,3,10,4
21,1.921265079159816,4,6,4
22,2.0019038208168642,5,5,2
23,1.8682261208576998,4,6,4
24,1.920786110441283,4,6,4
25,1.9862311601442035,5,5,3
26,1.5731707317073171,3,7,6
27,1.4054301752778096,3,8,5
28,1.7363636363636363,3,8,5
29,1.766233766233766,4,7,3
30,1.7556042884990253,5,5,2
31,1.8498677248677249,4,7,3
