0: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 9, 10, 15, 16, 24, 13, 14, 17, 18], [20, 22, 23, 29, 25, 28], [21, 27, 26]]
1: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 9, 10, 15, 16, 24, 13, 14, 17, 18], [20, 22, 23, 29, 25, 28], [21, 27, 26]]
2: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 9, 15, 10, 21, 29, 13, 14, 17, 16], [18, 20, 22, 23, 24, 25], [26, 27, 28]]
3: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 13, 25, 10, 23, 28, 15, 16, 14, 18], [9, 21, 17, 20, 22, 24], [26, 27, 29]]
4: [[4, 3], [19, 1, 2, 7, 8, 5, 6, 10], [11, 9, 25, 12, 15, 13, 14, 16, 17, 20], [18, 21, 22, 28, 23, 24], [26, 29, 27]]
5: [[4, 3, 19, 1, 2, 7, 8, 14], [5, 6], [11, 9, 10, 29, 24, 12, 15, 13, 21, 16], [20, 22, 23, 25, 17, 18], [26, 27, 28]]
6: [[4, 3, 19, 1, 2, 7, 8, 12], [5, 6], [11, 13, 9, 14, 16, 29, 10, 15, 17, 20], [23, 25, 18, 22, 28, 21], [24, 27, 26]]
7: [[4, 3], [19, 1, 2, 7, 8, 12, 5, 6, 11, 9], [15, 10, 13, 29, 14, 16, 21, 20], [23, 17, 18, 22, 28, 24], [27, 25, 26]]
8: [[4, 3], [19, 1, 2, 7, 8, 13, 5, 6, 9], [14, 10, 11, 12, 20, 15, 16], [17, 18, 23, 21, 22, 28, 24, 25], [27, 26, 29]]
9: [[4, 3], [19, 1, 2, 7, 8, 13, 5, 6, 9], [14, 10, 11, 12, 20, 15, 16], [17, 18, 23, 21, 22, 28, 24, 25], [27, 26, 29]]
10: [[4, 3], [19, 1, 2, 7, 8, 12], [5, 6, 11, 9, 15, 13, 10, 14, 17, 18], [16, 21, 22, 23, 29, 20, 24, 25], [27, 26, 28]]
11: [[4, 3], [19, 1, 2, 7, 8, 14, 5, 6, 11, 13], [12, 16, 17, 9, 15, 18], [10, 23, 22, 21, 20, 29, 24, 28], [25, 26, 27]]
12: [[4, 3], [19, 1, 2, 7, 12, 8, 5, 6], [11, 9, 14, 10, 13, 25, 15, 16, 17, 20], [22, 21, 18, 29, 23, 24], [26, 27, 28]]
13: [[4, 3, 19, 1, 2, 7, 8, 14], [5, 6], [11, 9, 10, 12, 16, 25, 15, 18, 13, 22], [20, 29, 23, 21, 17, 28], [24, 27, 26]]
