0: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
1: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
2: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
3: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
4: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
5: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
6: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
7: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
8: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
9: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
10: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
11: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
12: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
13: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
14: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
15: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
16: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
17: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
18: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
19: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
20: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
21: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
22: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
23: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
24: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
25: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
26: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
27: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
28: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
29: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
30: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
31: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
32: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
33: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
34: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
35: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
36: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
37: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
38: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
39: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
40: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
41: [[5, 1, 2, 10, 7], [3, 15, 14, 8, 4, 6], [12, 11, 13, 9], [19, 17, 18, 16, 20]]
