0: [[11, 9, 2, 10, 1, 7], [6, 3, 13], [4, 14, 5], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
1: [[11, 9, 2, 7, 1], [6, 3, 13, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
2: [[11, 9, 2, 7, 1], [6, 3, 13, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
3: [[11, 9, 2, 10, 7, 1], [6, 3, 13, 5], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
4: [[11, 9, 2, 10, 7, 1], [6, 3, 13, 5], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
5: [[2, 7, 1, 10, 11, 9], [6, 3, 13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
6: [[2, 7, 1, 10, 11, 9], [6, 3, 13, 5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
7: [[11, 9, 2, 7], [6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
8: [[11, 9, 2, 7, 1], [10, 6, 3, 13, 5], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
9: [[11, 9, 2, 7, 1], [10, 6, 3, 13, 5], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
10: [[11, 9, 2, 10, 7, 1], [6, 3], [13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
11: [[11, 9, 2, 7], [10, 6, 3, 13, 5, 1], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
12: [[11, 9, 2, 7], [10, 6, 3, 13, 5, 1], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
13: [[11, 9, 2, 7, 6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
14: [[11, 9, 2, 7, 6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
15: [[11, 9, 2, 7, 6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
16: [[2], [7, 1, 10, 11], [6, 3, 13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22, 9], [21, 23, 24]]
17: [[11, 9, 2, 10, 6, 3, 13, 7, 1], [5, 4, 14], [8, 12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
18: [[11, 9, 2, 7, 6, 3, 1, 10], [13, 5, 4, 14, 8, 12, 15], [17, 16, 19, 18], [20, 22], [21, 23, 24]]
19: [[11, 9, 2, 7], [10, 6, 3, 1], [13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
20: [[11, 9, 2, 7, 1], [6, 3, 13, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
21: [[11, 9, 2, 7, 6, 3, 13, 1, 10], [5, 4, 14, 8, 12, 15], [17, 16, 19, 18], [20, 22], [21, 23, 24]]
22: [[2, 7, 1, 10, 11, 9], [6, 3, 13, 5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
23: [[2, 7, 1, 10, 11, 9], [6, 3, 13, 5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
24: [[11, 9, 2, 7], [6, 3, 13, 5, 4, 1, 10], [14, 8, 12, 15, 17, 16, 19, 18], [20, 22], [21, 23, 24]]
25: [[11, 9, 2, 7], [6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
26: [[2, 7, 1, 10, 11], [6, 3, 13, 5, 9], [4, 14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
27: [[11, 9, 2, 7], [1, 10], [6, 3, 13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
28: [[11, 9, 2, 7], [1, 10], [6, 3, 13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
29: [[11, 9, 2, 10, 6, 3, 13, 5, 7, 1], [4, 14], [8, 12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
30: [[11, 9, 2, 7], [1, 10, 6, 3, 13, 5, 4, 14, 8], [12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
31: [[11, 9, 2, 7, 6, 1, 10], [3, 13, 5], [4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
32: [[11, 9, 2], [10, 6, 3, 13, 7, 1], [5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
33: [[11, 9, 2, 7], [1, 10], [6, 3, 13, 5, 4, 14, 8, 12, 15], [17, 16, 19, 18, 20, 22], [21, 23, 24]]
34: [[11, 9, 2, 7, 6, 3, 1, 10], [13, 5, 4], [14, 8, 12], [15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
35: [[11, 9, 2], [7, 6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
36: [[11, 9, 2, 7, 6, 3, 13, 1], [5, 4], [14, 8, 12, 10], [15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
37: [[11, 9, 2, 7, 6, 1, 10], [3, 13], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
38: [[11, 9, 2, 7, 1], [10, 6], [3, 13, 5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
39: [[11, 9, 2, 7, 1, 10], [6, 3], [13, 5, 4, 14, 8, 12, 15, 17, 16], [19, 18, 20, 22], [21, 23, 24]]
40: [[11, 9, 2, 7, 1], [10, 6, 3, 13], [5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22, 21], [23, 24]]
41: [[11, 9, 2, 7, 1], [10, 6, 3, 13], [5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22, 21], [23, 24]]
42: [[11, 9, 2, 7], [10, 6, 3, 13, 1], [5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22, 21], [23, 24]]
43: [[2, 7, 1, 10, 11, 9], [6, 3, 13, 5, 4, 14], [8, 12, 15, 17, 16, 19, 18, 20, 22, 21], [23, 24]]
44: [[2, 7, 1, 10, 11], [6, 3, 13, 5, 4], [14, 8, 9], [12, 15, 17, 16, 19, 18, 20, 22, 21], [23, 24]]
45: [[2, 7, 1, 10, 6, 3, 13, 5, 4, 11, 9], [14, 8], [12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
46: [[11, 9, 2], [7, 6, 3, 13, 1, 10], [5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
47: [[11, 9], [2, 7, 1, 10, 6], [3, 13, 5, 4], [14, 8, 12, 15, 17, 16, 19, 18, 20, 22], [21, 23, 24]]
48: [[11, 9, 2, 10, 6, 3, 7, 1], [13, 5, 4, 14], [8, 12], [15, 17, 16, 19, 18, 20], [22, 21, 23, 24]]
49: [[11, 9, 2, 7, 6, 3, 1, 10], [13, 5, 4, 14], [8, 12, 15, 17, 16], [19, 18, 20], [22, 21, 23, 24]]
