0: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 17, 14, 12], [28, 23, 24, 18, 10], [21, 20, 27, 26, 29, 25]]
1: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 17, 14, 12], [28, 23, 24, 18, 10], [21, 20, 27, 26, 29, 25]]
2: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 10, 12, 14], [23, 17, 28, 18, 24], [21, 26, 27, 20, 25, 29]]
3: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 10, 14, 12], [17, 18, 28, 23, 24], [21, 20, 27, 26, 25, 29]]
4: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 10, 12, 14], [23, 18, 24, 17, 28], [21, 29, 27, 26, 25, 20]]
5: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 10, 12, 14], [23, 17, 24, 18, 28], [21, 20, 27, 26, 25, 29]]
6: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 13, 8, 17, 10, 12, 14], [28, 23, 24, 18, 15], [21, 20, 27, 25, 29, 26]]
7: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 18, 10, 12], [17, 24, 23, 28, 14], [21, 20, 27, 26, 29, 25]]
8: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 8, 15, 17, 14], [13, 28, 23, 24, 18, 10, 12], [21, 20, 27, 26, 25, 29]]
9: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 10, 14, 12], [17, 18, 29, 23, 24], [21, 20, 27, 26, 25, 28]]
10: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 10, 14, 12], [17, 18, 29, 23, 24], [21, 20, 27, 26, 25, 28]]
11: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 10, 14, 12], [17, 18, 29, 23, 24], [21, 20, 27, 26, 25, 28]]
12: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 24, 13, 10, 12, 14], [15, 18, 29, 23, 17], [20, 21, 27, 26, 25, 28]]
13: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 12, 13, 15, 8, 10, 14], [17, 23, 24, 18, 20], [21, 28, 27, 26, 25, 29]]
14: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 17, 14, 12], [24, 23, 25, 18, 10], [21, 20, 27, 26, 29, 28]]
15: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 13, 10, 12], [15, 23, 17, 24, 18, 28, 14], [21, 20, 27, 26, 25, 29]]
16: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 13, 12, 8, 14], [20, 15, 23, 18, 24, 17, 10], [21, 26, 27, 28, 25, 29]]
17: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 15, 13, 8, 10], [12, 20, 18, 24, 17, 23, 14], [21, 28, 27, 26, 25, 29]]
18: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 15, 29, 8, 12], [13, 17, 24, 18, 20, 10, 14], [21, 28, 27, 26, 23, 25]]
19: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11], [8, 13, 15, 23, 17, 29, 18, 24, 10, 12, 14], [21, 26, 27, 20, 25, 28]]
20: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 13, 10, 12], [15, 17, 18, 23, 24, 29, 14], [21, 20, 27, 26, 25, 28]]
21: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 12, 13, 8, 14], [15, 17, 18, 24, 20, 23, 10], [21, 29, 27, 26, 25, 28]]
22: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11], [8, 13, 15, 17, 18, 29, 28, 24, 10, 12, 14], [21, 23, 27, 20, 25, 26]]
23: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 17, 8, 10, 12], [15, 23, 13, 24, 26, 18, 14], [21, 20, 27, 25, 29, 28]]
24: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 10, 14, 12], [17, 18, 23, 26, 24], [21, 20, 27, 25, 29, 28]]
25: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 13, 8, 15, 10, 12, 14], [17, 23, 24, 18, 26], [21, 20, 27, 25, 29, 28]]
26: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 13, 15, 8, 10, 12, 14], [23, 17, 24, 18, 26], [21, 28, 27, 20, 25, 29]]
27: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 10, 14, 12], [17, 18, 23, 26, 24], [21, 20, 27, 25, 29, 28]]
28: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 15, 13, 17], [24, 23, 25, 18, 10, 14, 12], [21, 20, 27, 26, 29, 28]]
29: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 13, 12, 15, 8, 10, 14], [17, 18, 24, 23, 20], [21, 26, 27, 25, 29, 28]]
30: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 13, 12, 15, 8, 10, 14], [17, 23, 24, 18, 20], [21, 28, 27, 26, 29, 25]]
31: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 10, 12, 14], [21, 17, 28, 18, 24], [23, 26, 27, 20, 25, 29]]
32: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 20, 10, 12, 14], [13, 24, 17, 27, 18], [21, 23, 26, 29, 25, 28]]
33: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 20, 10, 14, 12], [18, 29, 17, 21], [23, 25, 27, 26, 28, 24]]
34: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 20, 15, 14, 12], [29, 17, 26, 18, 10], [21, 23, 27, 24, 25, 28]]
35: [[9, 19, 6, 1], [2, 7, 22, 3, 4, 5, 16, 11, 8, 13, 14, 12], [15, 17, 18, 29, 23, 20, 10], [21, 27, 24, 26, 25, 28]]
36: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 15, 13, 10, 12, 14], [17, 18, 24, 25, 23], [21, 20, 27, 26, 28, 29]]
37: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 8, 15, 13, 10], [17, 23, 21, 18, 24, 14], [25, 20, 27, 26, 28, 29]]
38: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 12], [5, 16, 11, 8, 13], [15, 17, 23, 28, 20, 18, 10, 14], [21, 24, 27, 26, 25, 29]]
39: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 8, 13, 15, 14, 12], [17, 28, 23, 26, 18, 10], [21, 20, 27, 24, 29, 25]]
40: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 13, 15, 28, 10, 12], [23, 27, 17, 18, 14], [21, 20, 24, 25, 29, 26]]
41: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 13, 10, 12], [15, 17, 28, 20, 18, 24, 14], [21, 26, 27, 25, 23, 29]]
42: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 13, 8, 15, 10, 12, 14], [17, 20, 18, 28, 24], [21, 23, 27, 26, 25, 29]]
43: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 13, 15, 10, 12, 14], [17, 18, 28, 20, 24], [21, 26, 27, 23, 25, 29]]
44: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16], [11, 8, 13, 15, 10, 12, 14], [17, 23, 18, 20, 28], [21, 24, 27, 26, 25, 29]]
45: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 8, 13, 15, 10], [20, 18, 29, 17, 21, 14], [23, 25, 27, 26, 24, 28]]
46: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 10, 12], [13, 15, 8, 23, 18, 25, 20, 24, 14], [21, 17, 27, 26, 29, 28]]
47: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 8, 13, 15, 10], [17, 18, 20, 26, 23, 14], [21, 24, 27, 28, 25, 29]]
48: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 8, 13, 15, 12], [21, 17, 23, 26, 28, 10, 14], [18, 20, 24, 27, 25, 29]]
49: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 21, 10, 12, 14], [15, 8, 13, 17, 28, 18, 23], [20, 26, 27, 24, 29, 25]]
50: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 15, 13, 8, 10, 14], [17, 23, 24, 21, 18], [20, 25, 27, 26, 29, 28]]
51: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 8, 13, 15, 14, 12], [26, 17, 24, 18, 25, 10], [21, 20, 27, 23, 28, 29]]
52: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 8, 15, 13, 17, 10, 12], [23, 25, 24, 26, 14], [21, 20, 27, 18, 29, 28]]
53: [[9, 19, 6, 1, 2], [7, 22, 3, 4, 5, 16, 11, 15, 13, 10, 14], [8, 17, 20, 27, 18, 23, 12], [21, 28, 24, 26, 25, 29]]
54: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 11, 12], [8, 15, 13, 17, 10, 14], [18, 29, 23, 25], [21, 20, 27, 26, 28, 24]]
55: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 15, 8, 13, 10, 14], [17, 23, 27, 18, 20], [21, 24, 25, 26, 29, 28]]
56: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 8, 13, 10, 14], [15, 23, 28, 26, 17, 24], [21, 18, 27, 20, 25, 29]]
57: [[9, 19, 6, 1], [2, 7, 22, 3, 4, 5, 16, 11, 8, 15, 26, 10, 12], [13, 17, 27, 18, 29, 14], [21, 20, 23, 24, 28, 25]]
58: [[9, 19, 6, 1, 2, 7, 22], [3, 4, 5, 16, 11, 13, 15, 8, 10, 12, 14], [20, 18, 24, 23, 21], [17, 26, 27, 25, 28, 29]]
59: [[9, 19, 6, 1, 2, 7, 22, 3, 4, 5, 16, 12], [11, 13, 8], [15, 21, 23, 18, 26, 20, 10, 14], [17, 24, 27, 29, 25, 28]]
