0: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
1: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
2: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
3: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
4: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
5: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
6: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
7: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
8: [[3, 5], [11, 8, 9, 6], [1, 4, 10, 2], [13, 12, 7]]
9: [[3, 5], [11, 8, 9, 6], [1, 10, 4], [13, 12, 7, 2]]
10: [[3, 5], [11, 8, 9, 6], [1, 10, 4], [13, 12, 7, 2]]
11: [[3, 5], [11, 8, 9, 6], [1, 10, 4], [13, 12, 7, 2]]
12: [[3, 5], [11, 8, 9, 6], [1, 4], [10, 2], [13, 12, 7]]
13: [[3, 5], [11, 8], [9, 6], [1, 10, 2, 4], [13, 12, 7]]
14: [[3, 5], [11, 8], [9, 6], [1, 10, 2, 4], [13, 12, 7]]
15: [[3, 5], [11, 8], [9, 6], [1, 10, 2, 4], [13, 12, 7]]
16: [[3, 5], [11, 8], [9, 6], [1, 10, 2, 4], [13, 12, 7]]
17: [[3, 5], [11, 8], [9, 6], [1, 10, 2, 4], [13, 12, 7]]
18: [[3, 5], [11, 8], [9, 6], [1, 10, 2, 4], [13, 12, 7]]
19: [[3, 5], [11, 8], [9, 6], [1, 10, 4], [13, 12, 2, 7]]
20: [[3, 5], [11, 8], [9, 6], [1, 10, 4], [13, 12, 2, 7]]
21: [[3, 5], [11, 8, 9], [6, 1, 4, 10, 2], [13, 12, 7]]
22: [[3, 5], [11, 8], [9, 6], [1, 4], [10, 2], [13, 12, 7]]
23: [[3, 5], [11, 8], [9, 6, 1, 4], [10, 2], [13, 12, 7]]
24: [[3, 5], [11, 8], [9, 6, 1, 4], [10, 13, 12, 2, 7]]
25: [[3, 5], [11, 8, 9], [6, 1, 4], [10, 2], [13, 12, 7]]
26: [[5, 11, 8], [9, 6, 1, 4, 3], [10, 13, 2], [12, 7]]
27: [[3, 5], [11, 8, 9], [6, 1, 4, 10, 2, 13, 12, 7]]
