0: [[3, 14, 1, 6, 4], [7, 2, 8, 10, 5], [12, 11, 13, 9], [16, 15], [19, 17, 18, 20]]
1: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
2: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
3: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
4: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
5: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
6: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
7: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
8: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
9: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
10: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
11: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
12: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
13: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
14: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
15: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
16: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
17: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
18: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
19: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
20: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
21: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 17, 9], [15, 19, 16, 18, 20]]
22: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 17, 9], [15, 19, 16, 18, 20]]
23: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 17, 9], [15, 19, 16, 18, 20]]
24: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 17, 9], [15, 19, 16, 18, 20]]
25: [[3, 14, 1, 4, 6], [7, 2, 8, 10], [5, 12, 11, 13, 16, 9], [15, 19, 17, 18, 20]]
26: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 9, 16, 15, 19, 17, 18, 20]]
27: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 17, 9, 15, 19, 16, 18, 20]]
28: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 17, 9, 15, 19, 16, 18, 20]]
29: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 9, 16, 15, 19, 17, 18, 20]]
30: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 9, 16, 15, 19, 17, 18, 20]]
31: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5], [12, 11, 13, 9, 16, 15, 19, 17, 18, 20]]
32: [[3, 14, 1, 6, 4], [7, 2, 8, 10], [5, 12], [11, 13, 16, 9], [19, 17, 18, 20, 15]]
33: [[3, 14, 1, 6, 4], [7, 2, 8, 10], [5, 12], [11, 13, 16, 9], [19, 17, 18, 20, 15]]
34: [[3, 14, 1, 4, 6], [7, 2, 8, 10, 5, 12, 11, 13, 9, 16], [15, 19, 17, 18, 20]]
35: [[3, 14, 1], [7, 2, 4], [8, 10], [5, 12, 11, 13], [16, 9, 6, 15], [19, 17, 18, 20]]
36: [[3, 14, 1, 4, 6], [7, 2, 8, 10], [5, 12, 11, 13, 9, 16, 15, 19, 17, 18, 20]]
37: [[3, 14, 1, 6], [7, 4], [2, 8, 10, 5], [12, 11, 13, 16, 15, 19, 17, 18, 20, 9]]
38: [[3, 14, 1, 4, 6], [7, 2], [8, 10, 5, 12], [11, 13, 16, 15, 19, 17, 18, 20, 9]]
39: [[3, 14, 1], [4, 6, 7, 2, 8, 10, 5, 12, 11, 13, 9, 16, 15, 19, 17], [18, 20]]
40: [[3, 14, 1], [4, 6, 7, 2, 8, 10, 5, 12, 11, 13, 9, 17, 15, 19, 16], [18, 20]]
41: [[3, 14, 1], [4, 6, 7, 2, 8, 10, 5, 12, 11, 13, 9, 17, 15, 19, 16], [18, 20]]
