0: [[24, 2, 22, 4], [3, 1, 37], [5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14], [9, 17], [20, 27, 21], [16, 19, 23], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36]]
1: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36]]
2: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14], [9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31], [30, 32, 33, 35, 34, 36]]
3: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6, 12], [8, 15], [13, 10, 14], [9, 17], [20, 27], [23, 16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
4: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13], [10, 14], [9, 17, 20], [27, 21], [16, 19, 23], [25, 26, 28], [31, 30, 32, 33, 35, 34, 36]]
5: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27], [23, 16, 19, 21], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36]]
6: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31], [30, 32, 33], [35, 34, 36]]
7: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35], [34, 36]]
8: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35], [34, 36]]
9: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
10: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34], [36]]
11: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34], [36]]
12: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34], [36]]
13: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
14: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34], [36]]
15: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29, 6], [12, 8, 15], [13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31], [30, 32, 33], [35, 34, 36]]
16: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32, 33, 35, 34, 36]]
17: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32, 33, 35, 34, 36]]
18: [[24, 2, 22], [4, 3, 1], [37, 5], [11, 7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28, 31], [30, 32, 33], [35, 34, 36]]
19: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
20: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12, 8], [15, 13, 10], [14, 9, 17], [20, 27], [23, 16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
21: [[24, 2, 22, 4], [3, 1, 37], [5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14], [9, 17], [20, 27, 21, 16], [19, 23, 25], [26, 28, 31], [30, 32, 33], [35], [34, 36]]
22: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16, 19], [21, 25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
23: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16, 19], [21], [25, 26, 28], [31, 30, 32], [33, 35, 34, 36]]
24: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14], [9, 17], [20, 27, 23], [16, 19, 21], [25, 26, 28, 31, 30, 32], [33, 35, 34, 36]]
25: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
26: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
27: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14], [9, 17], [20, 27, 23, 16, 19, 21, 25, 26, 28, 31, 30, 32], [33, 35, 34, 36]]
28: [[24, 2, 22], [4, 3], [1, 37, 5], [11, 7, 18], [29, 6], [12, 8, 15], [13], [10, 14, 9], [17, 20], [27, 23], [16, 19, 21], [25, 26, 28], [31, 30, 32], [33, 35], [34, 36]]
29: [[24, 2], [22, 4, 3], [1, 37, 5], [11, 7, 18], [29, 6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16], [19, 21], [25, 26, 28], [31, 30, 32], [33, 35, 34], [36]]
30: [[24, 2, 22], [4, 3, 1, 37], [5, 11, 7], [18, 29, 6], [12, 8, 15], [13, 10, 14], [9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
31: [[24, 2, 22], [4, 3, 1], [37, 5, 11], [7, 18, 29], [6, 12], [8, 15, 13], [10, 14, 9], [17, 20, 27], [23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
32: [[24, 2, 22], [4, 3], [1, 37, 5], [11, 7, 18], [29, 6, 12], [8, 15, 13], [10, 14], [9, 17, 20], [27, 23, 16], [19, 21, 25], [26, 28, 31], [30, 32, 33], [35, 34, 36]]
