0: [[5, 37, 8, 3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11], [14, 18, 10], [15], [22, 24, 29, 7], [17], [32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
1: [[5, 37, 8, 3], [6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11], [14, 18, 10, 15], [22, 24, 29, 7], [17, 32, 33, 30], [31, 13, 23, 16, 34], [28, 36]]
2: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11], [14, 18, 10, 15], [22, 24, 29, 7], [17, 32, 33, 30], [31, 13, 23, 16], [34, 28, 36]]
3: [[5, 37, 8, 3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9], [11, 14], [18, 10, 15], [22, 24], [29, 7, 17], [32, 33, 30, 31], [13, 23, 16], [34, 28, 36]]
4: [[5, 37, 8, 3, 6, 1], [12], [25, 26, 19, 21], [2, 35], [27, 20, 4, 9], [11, 14], [18, 10, 15, 22, 24], [29, 7], [17, 32, 33, 30, 31, 13], [23, 16, 34, 28, 36]]
5: [[5, 37, 8, 3], [6, 1], [12, 25, 26, 19], [21, 2, 35, 27], [20, 4, 9], [11, 14], [18, 10, 15], [22, 24, 29, 7], [17], [32, 33, 30, 31], [13, 23, 16, 34, 28, 36]]
6: [[5], [37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11], [14, 18, 10, 15], [22], [24, 29, 7, 17], [32, 33, 30, 31], [13, 23, 16, 34], [28, 36]]
7: [[5, 37, 8, 3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27], [20, 4, 9, 11], [14, 18, 10, 15], [22, 24, 29], [7, 17, 32, 33], [30, 31, 13, 23, 16, 34, 28, 36]]
8: [[5, 37, 8], [3, 6, 1], [12], [25, 26, 19, 21], [2, 35], [27, 20, 4, 9], [11, 14], [18, 10, 15], [22, 24, 29, 7], [17, 32], [33, 30, 31, 13], [23, 16, 34, 28, 36]]
9: [[5, 37, 8], [3, 6, 1], [12], [25, 26, 19, 21], [2, 35], [27, 20, 4, 9], [11, 14], [18, 10, 15], [22, 24, 29, 7], [17, 32], [33, 30, 31, 13], [23, 16, 34, 28, 36]]
10: [[5, 37, 8, 3], [6, 1], [12, 25, 26, 19, 21], [2, 35, 27, 20, 4], [9, 11], [14, 18, 10, 15], [22, 24, 29, 7], [17, 32, 33, 30], [31, 13, 23], [16, 34, 28, 36]]
11: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27, 20], [4, 9, 11, 14], [18, 10, 15], [22, 24, 29, 7], [17, 32, 33], [30, 31, 13, 23, 16, 34, 28], [36]]
12: [[5, 37, 8], [3, 6, 1, 12], [25, 26, 19, 21], [2, 35, 27], [20, 4], [9, 11, 14], [18, 10, 15, 22], [24, 29, 7], [17, 32, 33, 30], [31, 13, 23, 16, 34], [28, 36]]
