0: [[3, 5, 1], [13, 7], [6, 4, 8, 11, 9, 10, 12, 2]]
1: [[3, 5, 1], [13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
2: [[3, 5, 1], [13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
3: [[3, 5, 1], [13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
4: [[3, 5], [1, 13, 7, 2], [6, 4, 8, 11, 9, 10, 12]]
5: [[3, 5], [1, 13, 7, 2], [6, 4, 8, 11, 9, 10, 12]]
6: [[3, 5], [1, 13, 7, 2], [6, 4, 8, 11, 9, 10, 12]]
7: [[3, 5], [1, 13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
8: [[3, 5], [1, 13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
9: [[3, 5], [1, 13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
10: [[3, 5], [1, 13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
11: [[3, 5], [1, 13, 7], [2, 6, 4, 8, 11, 9, 10, 12]]
12: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
13: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
14: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
15: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
16: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
17: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
18: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
19: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
20: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
21: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
22: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
23: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
24: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
25: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
26: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
27: [[3, 5], [1, 13], [7, 2, 6, 4, 8, 11, 9, 10, 12]]
