0: [[1, 8, 3], [2, 5, 10, 7, 6], [12, 11, 13, 9], [14, 15, 18, 16, 17, 19, 20, 4]]
1: [[1, 8, 3], [2, 5, 10, 7, 6], [12, 11, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
2: [[1, 8, 3], [2, 5, 10, 7, 6], [11, 12, 13, 9], [14, 15, 19, 17, 16, 18, 20, 4]]
3: [[1, 8, 3], [2, 5, 10, 7, 6], [12, 11, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
4: [[1, 8, 3], [2, 5, 10, 7, 6], [12, 11, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
5: [[1, 8, 3], [2, 5, 10, 7], [12, 13, 11, 6, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
6: [[1, 8, 3], [2, 5, 10, 7], [12, 11, 13, 6, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
7: [[1, 8, 3], [2, 5, 10, 7], [6, 11, 9, 12, 13], [14, 15, 19, 16, 17, 18, 20, 4]]
8: [[1, 8, 3], [2, 5, 10, 7], [12, 13, 11, 6, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
9: [[1, 8, 3], [2, 5, 10, 7], [12, 13, 11, 6, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
10: [[1, 8, 3, 2], [5, 10, 7], [6, 12, 13, 11, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
11: [[1, 8, 3, 2], [5, 10, 7], [13, 6, 12, 11, 9], [14, 15, 18, 16, 17, 19, 20, 4]]
12: [[1, 8, 3, 2], [5, 10, 7], [6, 12, 11, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
13: [[1, 8, 3, 2, 5], [10, 7, 6], [11, 9, 13, 12], [14, 15, 19, 16, 17, 18, 20, 4]]
14: [[1, 8, 3], [2, 5, 10, 7], [14, 12, 11, 6, 9], [13, 19, 15, 16, 17, 18, 20, 4]]
15: [[1, 8, 3], [2, 5, 10, 7], [4, 13, 11, 6, 9], [14, 15, 19, 16, 17, 18, 20, 12]]
16: [[1, 8, 3], [2, 5, 10, 7], [12, 6, 13, 14, 9], [15, 11, 18, 16, 17, 19, 20, 4]]
17: [[1, 8, 3], [2, 5, 10, 7, 13], [6, 11, 12, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
18: [[1, 8, 3], [2, 5, 10, 7], [15, 11, 14, 6, 9], [12, 13, 18, 16, 17, 19, 20, 4]]
19: [[1, 8, 3, 2], [5, 10, 7, 6, 13], [11, 12, 9], [14, 15, 18, 16, 17, 19, 20, 4]]
20: [[1, 8, 3, 2], [5, 10, 7], [14, 11, 13, 6, 9], [12, 15, 19, 16, 17, 18, 20, 4]]
21: [[1, 8, 3, 2], [5, 10, 7], [11, 14, 6, 13, 9], [4, 15, 18, 16, 17, 19, 20, 12]]
22: [[1, 8, 3], [2, 5, 10, 7, 14], [12, 11, 6, 9], [13, 15, 19, 16, 17, 18, 20, 4]]
23: [[1, 8, 3], [2, 5, 10, 7, 14], [11, 13, 6, 9], [12, 15, 19, 16, 17, 18, 20, 4]]
24: [[1, 8, 3, 2], [5, 10, 7], [4, 12, 13, 6, 9], [14, 19, 18, 16, 15, 11, 20, 17]]
25: [[1, 8, 3, 2, 5], [10, 7, 13, 6], [12, 11, 9], [14, 15, 18, 17, 19, 16, 20, 4]]
26: [[1, 8, 3, 2], [5, 10, 7, 14, 11], [12, 6, 9, 13], [15, 18, 16, 19, 17, 20, 4]]
27: [[1, 8, 3, 2], [5, 10, 7, 12, 11], [6, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
28: [[1, 8, 3, 2], [5, 10, 7, 12, 11], [6, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
29: [[1, 8, 3, 2], [5, 10, 7, 12, 11], [13, 6, 4, 9], [15, 14, 16, 17, 18, 19, 20]]
30: [[1, 8, 3], [2, 5, 10, 7, 12], [15, 14, 6, 9], [11, 13, 19, 16, 17, 18, 20, 4]]
31: [[1, 8, 3, 2, 5], [10, 7, 14], [11, 6, 13, 9], [15, 12, 17, 16, 19, 18, 20, 4]]
32: [[1, 8, 3, 5, 2], [10, 7, 12], [13, 11, 6, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
33: [[1, 8, 3, 2, 5], [10, 7, 12], [11, 6, 13, 9], [14, 15, 19, 16, 17, 18, 20, 4]]
34: [[1, 8, 3, 2, 5], [10, 7, 6], [15, 12, 14, 9], [11, 13, 18, 16, 17, 19, 20, 4]]
35: [[1, 8, 3, 2, 5], [10, 7, 12, 6, 9], [11, 14], [13, 15, 19, 16, 17, 18, 20, 4]]
36: [[1, 8, 3, 2], [5, 10, 7, 11, 14], [12, 15, 19, 16, 17, 18, 20, 13, 6, 4, 9]]
37: [[1, 8, 3, 2, 5], [10, 7, 14, 13], [6, 11, 9], [12, 15, 18, 16, 17, 19, 20, 4]]
38: [[1, 8, 3, 2], [5, 10, 7, 12, 6], [15, 13, 9], [14, 19, 11, 16, 17, 18, 20, 4]]
39: [[1, 8, 3, 2, 5], [10, 7, 12], [9, 6, 14, 13], [11, 15, 19, 16, 17, 18, 20, 4]]
40: [[1, 8, 3, 2, 5], [10, 7, 11, 14], [4, 6, 9], [12, 15, 18, 16, 17, 19, 20, 13]]
41: [[1, 8, 3, 2], [5, 10, 7, 14, 12], [6, 4, 9], [13, 15, 19, 16, 17, 18, 20, 11]]
