0: [[6, 3], [2, 1, 9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17, 20, 18, 22], [21, 23, 24]]
1: [[6, 3], [2, 1, 9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17, 20, 18, 22], [21, 23, 24]]
2: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17], [20, 18, 22], [21, 23, 24]]
3: [[2, 9, 13, 6, 1], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17, 3], [20, 18], [22, 21, 23, 24]]
4: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16], [17, 20], [18, 22], [21, 23, 24]]
5: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17, 20, 18], [22, 21, 23, 24]]
6: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17, 20, 18], [22, 21, 23, 24]]
7: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17], [20, 18], [22, 21, 23, 24]]
8: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17], [20, 18], [22, 21, 23, 24]]
9: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21, 23, 24]]
10: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21, 23, 24]]
11: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21, 23, 24]]
12: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17, 20, 18], [22, 21], [23, 24]]
13: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11], [10, 14, 12], [19, 16, 17], [20, 18], [22, 21, 23, 24]]
14: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16], [17, 20, 18], [22, 21], [23, 24]]
15: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16], [17, 20, 18], [22, 21], [23, 24]]
16: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17], [20, 18], [22, 21], [23, 24]]
17: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
18: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
19: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
20: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
21: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
22: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
23: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
24: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
25: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
26: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
27: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
28: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
29: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
30: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
31: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
32: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18, 22, 21], [23, 24]]
33: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11], [10, 14, 12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
34: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15], [7, 11], [10, 14, 12, 19, 16, 17, 20], [18, 22, 21, 23, 24]]
35: [[2, 6, 3, 1, 9], [13], [4, 5], [8, 15], [7, 11, 10, 14], [12, 19], [16, 17], [20, 18], [22, 21], [23, 24]]
36: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11, 10], [14, 12, 19], [16, 17, 20], [18, 22, 21], [23, 24]]
37: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15, 7], [11, 10], [14, 12], [19, 16, 17], [20, 18], [22, 21, 23, 24]]
38: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17], [20, 18, 22, 21, 23, 24]]
39: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19, 16, 17], [20, 18, 22, 21, 23, 24]]
40: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18, 22, 21, 23, 24]]
41: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17], [20, 18, 22, 21, 23, 24]]
42: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11], [10, 14], [12, 19], [16, 17, 20, 18, 22, 21, 23, 24]]
43: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15], [7, 11, 10, 14], [12, 19, 16, 17, 20, 18, 22, 21, 23, 24]]
44: [[2], [13, 4, 1], [5, 8], [15, 7, 6], [11, 10], [14, 12], [19, 16, 3], [17, 20, 9], [18, 22, 21], [23, 24]]
45: [[2, 6, 3], [9, 13, 1], [4, 5], [8, 15, 7], [11, 10, 14, 12, 19, 16, 17, 20, 18, 22, 21, 23, 24]]
46: [[6, 3], [2, 1, 9], [13, 4, 5, 8, 15, 7, 11, 10, 14, 12, 19, 16, 17, 20, 18, 22, 21, 23, 24]]
47: [[6, 3], [2, 1], [9, 13], [4, 5], [8, 15, 7, 11, 10, 14, 12, 19, 16, 17, 20, 18, 22, 21, 23, 24]]
48: [[6, 3], [2, 1], [9, 13, 4, 5, 8, 15, 7, 11, 10, 14, 12, 19, 16, 17, 20, 18, 22, 21, 23, 24]]
49: [[2, 9, 13, 4, 6, 3, 1], [5, 8], [15, 7], [11, 10, 14, 12], [19, 16, 17, 20, 18, 22, 21, 23, 24]]
