0: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
1: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
2: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
3: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
4: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
5: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
6: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
7: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
8: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
9: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
10: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
11: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
12: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
13: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
14: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
15: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
16: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
17: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
18: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
19: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
20: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
21: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
22: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
23: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
24: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
25: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
26: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
27: [[10, 4], [9, 2], [5, 1, 3], [6, 8, 11], [12, 13, 7]]
