0: [[1, 23, 39, 6], [12, 3, 2, 4, 13], [7, 5, 9, 10, 24], [8, 15, 11, 14, 22], [30, 16, 17, 21, 18], [19, 50, 20, 26, 27], [25, 28, 59, 29, 31], [37, 33, 42, 49, 34], [40, 32, 38, 47], [54, 36, 41, 43, 35], [44, 46, 56, 45, 63], [52, 48, 55, 61, 60], [53, 51, 57, 58, 62], [68, 65, 66, 64, 71], [67, 77, 69, 70, 73], [74, 76, 72, 78, 75], [79, 80, 85, 83, 82], [81, 86, 84, 87, 88]]
1: [[1, 23, 39, 6], [12, 3, 2, 4, 13], [7, 5, 9, 10, 24], [8, 15, 11, 14, 22], [30, 16, 17, 21, 18], [19, 50, 20, 26, 27], [25, 28, 59, 29, 31], [37, 33, 42, 49, 34], [40, 32, 38, 47], [54, 36, 41, 43, 35], [44, 46, 56, 45, 63], [52, 48, 55, 61, 60], [53, 51, 57, 58, 62], [68, 65, 66, 64, 71], [67, 77, 69, 70, 73], [74, 76, 72, 78, 75], [79, 80, 85, 83, 82], [81, 86, 84, 87, 88]]
2: [[1, 23, 39, 6], [12, 3, 2, 4, 13], [7, 5, 9, 10, 24], [8, 15, 11, 28, 22], [14, 16, 17, 21, 18], [19, 50, 20, 26, 31], [25, 27, 59, 29, 30], [37, 33, 42, 49, 34], [40, 32, 38, 47], [54, 36, 41, 43, 35], [44, 46, 56, 45, 63], [52, 51, 55, 61, 48], [53, 57, 60, 58, 62], [68, 65, 66, 64, 71], [67, 77, 69, 70, 73], [74, 76, 72, 78, 75], [79, 80, 85, 83, 82], [81, 86, 84, 87, 88]]
3: [[1, 23, 39, 6], [12, 3, 2, 4, 13], [7, 5, 9, 10, 24], [8, 15, 11, 28, 22], [14, 16, 17, 21, 18], [19, 50, 20, 26, 31], [25, 27, 59, 29, 30], [37, 33, 42, 49, 34], [40, 32, 38, 47], [54, 36, 41, 43, 35], [44, 46, 56, 45, 63], [52, 51, 55, 61, 48], [53, 57, 60, 58, 62], [68, 65, 66, 64, 71], [67, 77, 69, 70, 73], [74, 76, 72, 78, 75], [79, 80, 85, 83, 82], [81, 86, 84, 87, 88]]
4: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 60, 45, 46, 48, 55, 51, 53, 52, 57, 61, 58, 62, 63, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
5: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 61, 45, 46, 52, 55, 51, 53, 60, 48, 63, 58, 57, 62, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
6: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 60, 45, 46, 48, 51, 52, 53, 55, 61, 57, 58, 62, 63, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
7: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 61, 45, 62, 46, 48, 51, 55, 53, 60, 52, 58, 57, 63, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
8: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 63, 45, 62, 58, 46, 48, 51, 52, 61, 53, 55, 57, 60, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
9: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 62, 45, 46, 52, 48, 55, 51, 53, 57, 60, 58, 63, 61, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
10: [[1, 23, 39, 6, 12, 3, 2, 4, 13, 7, 5, 9, 10, 24, 8, 15, 11, 28, 22, 14, 16, 17], [19, 18, 21, 50, 20, 26, 31, 25, 27, 59, 29, 30, 37, 33, 42, 49, 34, 40, 56, 38, 47, 54], [36, 41, 32, 35, 43, 44, 60, 45, 46, 52, 48, 51, 53, 57, 58, 61, 55, 62, 63, 68, 65, 66], [64, 71, 67, 77, 69, 70, 73, 74, 76, 72, 78, 75, 79, 80, 85, 83, 82, 81, 86, 84, 87, 88]]
