0: [[8, 14, 1, 3, 16, 6, 4], [7, 2, 10, 5], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
1: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
2: [[8, 14, 1, 3, 16, 6, 4], [2, 5, 7, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
3: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
4: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
5: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
6: [[8, 14, 1, 3, 16, 6, 4], [2, 5, 7, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
7: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
8: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
9: [[8, 14, 1, 3, 16, 6, 4], [7, 2, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
10: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
11: [[8, 14, 1, 3, 16, 6, 4], [2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
12: [[8, 14, 1, 3], [16, 2, 6, 5, 7, 10, 4], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
13: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
14: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
15: [[8, 14, 1, 3], [16, 2, 7, 5, 10, 6, 4], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
16: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
17: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
18: [[8, 14, 1, 3], [16, 2, 7, 5, 10, 6, 4], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
19: [[8, 14, 1, 3], [16, 6, 4, 7, 10, 2, 5], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
20: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
21: [[8, 14, 1, 3], [16, 2, 5, 7, 10, 6, 4], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
22: [[8, 14, 1, 3], [16, 2, 7, 5, 10, 6, 4], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
23: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
24: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
25: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
26: [[8, 14, 1, 3], [16, 6, 4, 2, 7, 5, 10], [9, 13, 11, 12], [15, 20, 17, 18, 19]]
27: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
28: [[8, 14, 1, 3], [16, 6, 4, 2], [5, 7, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
29: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
30: [[8, 14, 1, 3], [16, 2, 6, 4], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
31: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
32: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
33: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
34: [[8, 14, 1, 3], [16, 6, 4, 2], [5, 7, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
35: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
36: [[8, 14, 1, 3], [16, 6, 4, 2], [7, 5, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
37: [[8, 14, 1, 3], [16, 5, 6, 4], [2, 7, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
38: [[8, 14, 1, 3], [16, 6, 5, 4], [2, 7, 10, 9, 13, 11, 12], [15, 20, 17, 18, 19]]
39: [[8, 14, 1, 3], [16, 7, 5, 6, 4, 2, 15], [9, 13, 11, 12], [10, 20, 17, 18, 19]]
