0: [[1, 2, 35, 7], [3, 4], [13, 21, 6], [9, 27, 8, 15, 5, 24, 29, 22, 30, 14, 11, 12, 17, 16, 28, 19, 18, 10], [20, 23, 25, 56, 31, 26, 33, 32, 40, 34], [50, 36, 39, 47, 37], [43, 45, 42, 46, 44, 38, 41, 58, 55], [48, 51, 53, 54, 52], [57, 49, 59, 60]]
1: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 31, 12, 10, 15, 8, 9, 18, 14, 17, 25, 20, 11, 23, 24, 19, 26, 22, 28, 16, 58, 27, 56, 34, 32, 33, 37, 44, 46, 60, 38, 39, 41, 29, 40, 30, 45, 36, 47, 51, 42, 54, 52, 50, 53, 43, 59], [48, 49, 55, 57]]
2: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 27, 8, 11], [10, 9, 14, 12, 24], [15, 16, 18, 20], [19, 17], [22, 28, 23, 25, 30, 26, 31], [29, 44, 34, 32, 33, 38, 36, 37, 39], [45, 43, 41, 40, 42, 59, 46, 47, 48, 50, 52], [49, 55, 51, 53, 54, 57, 58, 56, 60]]
3: [[1, 2, 35, 7], [3, 4, 13, 21, 8, 6], [15, 10, 11, 9, 30, 14, 31, 5, 20, 18, 12, 17, 19, 16, 23, 22, 27, 25, 26, 24, 28, 29, 60, 33, 32, 40, 44, 34, 36, 39, 42, 53, 37, 38], [45, 47, 41, 43], [58, 52, 46, 48, 51], [50, 49, 54, 55, 57, 59, 56]]
4: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 27, 9, 12, 10, 30, 28], [8, 24, 15, 26, 18, 11, 22, 14, 29, 25, 16, 19, 17, 56, 20, 31, 36, 42, 32, 34, 44, 23, 38, 45, 39, 33, 40, 46, 41, 59, 43, 50, 37, 47], [55, 52], [48, 51, 49, 54, 57], [53, 60, 58]]
5: [[1, 2, 35, 7], [3, 4], [13, 21, 6, 10, 14, 8, 11, 5, 15, 28, 9, 27, 12, 16, 18], [17, 22, 19], [30, 20, 23, 24, 25, 26, 31, 41, 46, 33, 32, 34], [43, 38, 42, 29, 37, 45, 44, 47, 59, 36, 39, 40, 50, 52], [49, 55, 48, 53, 54, 51, 57, 60, 58, 56]]
6: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 11, 12, 15, 8, 30, 9], [24, 14, 10, 18, 19, 16, 22, 28, 20, 17, 23, 25, 26, 58, 27, 54, 53, 48, 41, 38, 29, 36, 33, 31, 32, 40, 43, 34, 42, 44, 45, 37, 46, 39], [47, 56], [55, 51, 50, 52, 49, 57, 60, 59]]
7: [[1, 2, 35, 7], [3, 4], [13, 5, 21, 6], [15, 8, 11, 9, 10, 12, 14, 28, 26, 16, 18, 17, 19], [27, 23, 25, 20, 24, 31, 29, 30, 22, 36, 32, 57, 33, 43, 39, 44, 34, 41, 47, 40, 38, 59, 37, 45, 46, 51, 48, 42, 53, 49, 54, 50, 52, 55], [56, 58, 60]]
8: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 24, 9], [10, 15, 11, 12, 14, 8, 23, 25, 26, 22], [18, 19, 20, 16, 17, 27, 30, 29, 31, 28], [40, 36, 32, 46, 33, 37, 44, 38, 41, 34, 39], [45, 43, 55, 51, 42, 48, 60, 47, 54, 50, 52], [56, 57, 53, 58, 49, 59]]
9: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 10, 9, 8, 14], [12, 27], [11, 18, 24, 28, 26, 25, 19, 23, 17, 16, 22, 59, 20, 60, 29, 30, 15, 53, 41, 31, 39, 32, 33, 45, 37, 34, 36, 44, 38, 47, 42, 55, 51, 40, 46, 54, 50, 43], [52, 49, 48, 58, 56, 57]]
10: [[1, 2, 35, 7], [3, 4], [13, 21, 6], [5, 14, 8, 11, 9, 12, 31, 15, 18, 10], [16, 28, 19, 26, 17, 22, 23, 20, 24, 30, 25, 49, 29, 41, 27, 33, 36, 37, 34, 39, 38, 42, 40, 32, 45, 43, 44, 46, 47, 50, 58, 48, 51], [52, 59, 54, 53], [57, 55, 56, 60]]
11: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [15, 8, 11, 9, 10, 30, 31, 14, 25, 24, 18, 17, 26, 12, 16, 22, 19, 20, 23, 27, 28, 29, 37, 32, 41, 51, 44, 34, 36, 33, 38, 39, 40, 46, 45, 42, 54, 48, 43, 47, 52, 55, 50, 53, 58, 49, 57, 60, 56, 59]]
12: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 14, 6], [9, 8, 10, 11, 15, 12, 16, 17], [20, 26, 22, 19, 24], [18, 29, 23, 56], [27, 28], [25, 30, 44, 32, 52], [31, 38, 40, 33], [45, 37, 34], [39, 36, 41], [59, 47], [57, 53, 49, 42, 54, 55], [51, 43, 46, 58, 48, 60, 50]]
13: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6], [30, 9, 10, 8, 11, 25, 26], [27, 12, 14], [16, 28, 22, 18], [15, 17, 23, 20, 19, 24, 29, 31, 43, 33, 32, 34], [40, 38, 47, 39, 45, 37, 36, 41, 58, 44, 42, 46, 50, 54], [49, 55, 48, 52, 51, 53, 57, 60, 59, 56]]
14: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 27, 12], [9, 10, 28, 26, 8, 24, 15, 18, 19, 20, 22], [11, 29, 14, 16, 17, 23, 59, 44, 31, 52, 42], [33, 38, 25, 36, 40], [45, 30, 32, 34, 37, 41, 43, 39, 50, 53, 46, 47, 48], [49, 55, 51, 54, 57, 58, 60, 56]]
15: [[1, 2, 35, 7], [3, 4], [13, 5, 21, 6], [30, 8, 11, 15], [9, 14], [24, 10, 12, 18, 17, 16], [22, 27, 19, 23, 20, 25, 26, 29, 28, 31, 36, 34, 32, 53, 42, 37, 33, 39, 40, 47, 41, 44, 43, 45, 60, 38, 48, 50, 51, 52, 46, 54, 56, 49, 58, 59, 57], [55]]
