0: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7, 12, 2]]
1: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7, 12, 2]]
2: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7], [12, 2]]
3: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7], [12, 2]]
4: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7], [12, 2]]
5: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7], [12, 2]]
6: [[11, 6, 9], [10, 4], [1, 5, 3], [8, 13, 7], [12, 2]]
7: [[11, 6, 9], [10, 1, 4], [5, 3], [8, 13, 7], [12, 2]]
8: [[11, 6, 9], [10, 1, 4], [5, 3], [8, 13, 7], [12, 2]]
9: [[11, 6, 9], [10, 4, 1, 5, 3], [8, 13, 7, 12, 2]]
10: [[11, 6, 9], [10, 4, 1, 5, 3], [8, 13, 7, 12, 2]]
11: [[11, 6, 9], [10, 1, 4], [5, 8, 3], [13, 7, 12, 2]]
12: [[11, 6, 9], [10, 1, 4], [5, 8, 3], [12, 13, 7, 2]]
13: [[11, 6, 9], [10, 1, 4], [5, 8, 3], [13, 7, 12, 2]]
14: [[11, 6, 9], [10, 1, 4], [5, 8, 3], [13, 7, 12, 2]]
15: [[11, 6], [9, 10, 4], [1, 5, 3], [8, 13, 7], [12, 2]]
16: [[11, 6, 9], [10, 1, 5, 2, 3, 4], [8, 13], [7, 12]]
17: [[11, 6, 9], [10, 1, 4], [5, 8, 7, 13, 3], [12, 2]]
18: [[11, 6, 9], [10, 1, 4], [5, 8, 13, 7, 3], [12, 2]]
19: [[11, 6, 9, 10], [1, 5, 3, 4], [8], [13, 7, 12, 2]]
20: [[11, 6, 9], [10, 4, 1, 5], [3, 8, 13, 7, 12, 2]]
21: [[11, 6, 9], [10], [1, 5, 8, 13, 2, 3, 4], [7, 12]]
22: [[11, 6, 9], [10, 1, 5, 3], [8, 13, 4, 7], [12, 2]]
23: [[11, 6, 9], [10, 4, 1, 5, 3, 8, 13, 7], [12, 2]]
24: [[11, 6, 9], [10, 4, 1, 5, 3, 8, 13, 7], [12, 2]]
25: [[11, 6, 9], [10, 1], [4, 5, 8, 13, 7, 3, 12, 2]]
26: [[11, 6], [9, 10, 4, 1, 5, 3, 8, 13, 7, 12], [2]]
27: [[11, 6], [9, 10, 4, 1, 5, 3, 8, 13, 7, 12], [2]]
