0: [[2, 4, 1, 5], [11, 7], [3, 10, 14, 9, 6], [8, 13, 12, 15, 18, 16], [17, 20, 19], [21, 22, 23, 24]]
1: [[2, 4, 1, 5], [11, 7], [3, 10, 14, 9, 6], [8, 13, 12, 15, 18, 16], [17, 20, 19], [21, 22, 23, 24]]
2: [[2, 4, 1, 5], [11, 7], [3, 10, 14, 9, 6], [8, 13, 12, 15, 18, 16], [17, 20, 19], [21, 22, 23, 24]]
3: [[2, 4, 1], [11, 7], [3, 10], [14, 9, 6, 8, 13, 5], [12, 15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
4: [[2, 4, 1], [11, 7], [3, 10], [14, 9, 6, 8, 13, 5], [12, 15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
5: [[2, 5, 4], [7, 11], [3, 10, 14, 9], [6, 8, 13, 12, 15, 18, 16, 17], [20, 19, 1], [21, 22, 23, 24]]
6: [[2, 5, 4], [7, 3, 10, 14, 11], [9, 6, 8, 13, 12, 15], [18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
7: [[2, 5, 4], [7, 11], [3, 10, 14, 9], [6, 8, 13, 12, 15], [18, 16, 17, 20, 19, 1], [21, 22, 23, 24]]
8: [[2, 4, 5], [11, 7], [3, 10, 14, 9], [6, 8, 13, 12, 15], [18, 16, 17, 20, 19, 1], [21, 22, 23, 24]]
9: [[2, 5, 4], [7, 11], [3, 10, 14, 9], [6, 8, 13, 12, 15], [18, 16, 17, 20, 19, 1], [21, 22, 23, 24]]
10: [[2, 4, 1, 5], [11, 7, 3, 10, 14, 9, 6], [8, 13, 12, 15], [18, 16], [17, 20, 19], [21, 22, 23, 24]]
11: [[2, 4, 1, 5], [11, 7, 3, 10, 14, 9, 6], [8, 13, 12, 15], [18, 16], [17, 20, 19], [21, 22, 23, 24]]
12: [[2, 4, 5], [11, 7, 3, 10, 14], [9, 6, 8, 13, 12], [15, 18], [16, 17, 20, 19, 1], [21, 22, 23, 24]]
13: [[2, 4], [11, 7], [3, 10, 14, 9, 6, 8, 5], [13, 12, 15, 18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
14: [[2, 5, 4], [7, 3, 10, 14, 11], [9, 6, 8, 13, 12], [15, 18, 16, 17], [20, 19, 1], [21, 22, 23, 24]]
15: [[2, 11, 7, 4], [3, 10, 14, 9, 6], [8, 13, 12, 15, 5], [18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
16: [[2, 11, 7, 4], [3, 10, 14, 9, 6], [8, 13, 12, 15, 5], [18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
17: [[2, 4, 1, 5], [11, 7, 3, 10, 14], [9, 6], [8, 13, 12, 15], [18, 16, 17, 20, 19], [21, 22, 23, 24]]
18: [[2, 4, 1, 5], [11, 7], [3, 10, 14, 9], [6, 8, 13, 12], [15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
19: [[2, 5, 4], [7, 3, 11], [10, 14], [9, 6, 8, 13, 12, 15], [18, 16, 17, 20, 19, 1], [21, 22, 23, 24]]
20: [[2, 11, 7, 4], [3, 10], [14, 9, 6, 5], [8, 13, 12, 15, 18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
21: [[2, 11, 7, 4], [3, 10, 14, 9, 6, 8], [13, 12, 5], [15, 18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
22: [[2, 11, 7, 4], [3, 10, 14, 9, 6, 8], [13, 12, 5], [15, 18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
23: [[2, 11, 7, 4], [3, 10], [14, 9, 6, 8, 13, 5], [12, 15, 18], [16, 17, 20, 19, 1], [21, 22, 23, 24]]
24: [[2, 4, 1], [11, 7, 3, 10], [14, 9, 6, 8], [13, 12, 5], [15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
25: [[2, 5, 4], [7, 3, 11], [10, 14], [9, 6, 8, 13, 12, 1], [15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
26: [[2, 5, 4], [7, 3, 11], [10, 14], [9, 6, 8, 13, 12, 1], [15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
27: [[2, 11, 7, 4], [3, 10, 14, 9, 6, 8], [13, 12, 15, 18], [16, 17, 5], [20, 19, 1], [21, 22, 23, 24]]
28: [[2, 11, 7, 4], [3, 10, 14, 9, 6, 8], [13, 12, 15, 18], [16, 17, 5], [20, 19, 1], [21, 22, 23, 24]]
29: [[2, 11, 7, 4], [3, 10, 14, 9, 6, 8], [13, 12, 15, 18], [16, 17, 5], [20, 19, 1], [21, 22, 23, 24]]
30: [[2, 4, 5], [11, 7, 3], [10, 14, 9], [6, 8, 13, 12, 15], [18, 16, 17, 20, 19, 1], [21, 22, 23, 24]]
31: [[2, 11, 7, 4, 1], [3, 10], [14, 9, 6, 8, 5], [13, 12, 15], [18, 16, 17, 20, 19], [21, 22, 23, 24]]
32: [[2, 5, 7, 4, 11], [3, 10, 14, 9], [6, 8, 13, 12], [15, 18], [16, 17, 20, 19, 1], [21, 22, 23, 24]]
33: [[2, 5, 4], [7, 3, 11], [10, 14, 9], [6, 8, 13, 1], [12, 15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
34: [[2, 11, 7, 4], [3, 10, 14, 9], [6, 8, 5], [13, 12, 15, 18, 16], [17, 20, 19, 1], [21, 22, 23, 24]]
35: [[2, 4], [11, 7, 3], [10, 14, 9, 6, 8, 5], [13, 12, 15, 18], [16, 17, 20, 19, 1], [21, 22, 23, 24]]
36: [[2, 5, 4], [7, 11], [3, 10, 14, 9, 6], [8, 13, 12, 15, 18, 16, 17], [20, 19, 21, 1], [22, 23, 24]]
37: [[2, 4, 5], [11, 7], [3, 10, 14, 9, 6], [8, 13, 12, 15, 18, 16, 17], [20, 19, 21, 1], [22, 23, 24]]
38: [[2, 4, 1, 5, 11], [7, 3], [10, 14, 9, 6], [8, 13, 12, 15, 18], [16, 17, 20, 19], [21, 22, 23, 24]]
39: [[2, 4, 5], [11, 7], [3, 10, 14, 9, 6, 8], [13, 12, 15, 18, 16, 17], [20, 19, 21, 1], [22, 23, 24]]
40: [[2, 11, 4, 1], [7, 3], [10, 14, 9, 6, 8, 13, 5], [12, 15, 18], [16, 17, 20, 19], [21, 22, 23, 24]]
41: [[2, 4, 1], [11, 7], [3, 10], [14, 9, 6, 8, 5], [13, 12, 15, 18, 16, 17, 20], [19, 21, 22, 23, 24]]
42: [[2, 4, 1, 5], [11], [7, 3], [10, 14, 9, 6, 8], [13, 12, 15, 18, 16, 17, 20, 19], [21, 22, 23, 24]]
43: [[2, 4, 5], [11, 7, 3, 10, 14], [9, 6, 8, 13, 12], [15, 18], [16, 17, 20, 1], [19, 21, 22, 23, 24]]
44: [[2, 11, 7, 4], [3, 10, 14, 9, 6], [8, 13, 5], [12, 15, 18], [16, 17, 20, 19, 21, 1], [22, 23, 24]]
45: [[2, 11, 4, 1], [7, 3, 10, 14, 9, 6], [8, 13, 5], [12, 15, 18], [16, 17, 20], [19, 21, 22, 23, 24]]
46: [[2, 4, 5], [11, 1], [7, 3, 10, 14], [9, 6, 8, 13, 12], [15, 18, 16, 17, 20], [19, 21, 22, 23, 24]]
47: [[2, 4, 5], [11, 7, 3, 10, 1], [14, 9, 6, 8, 13, 12], [15, 18, 16], [17, 20], [19, 21, 22, 23, 24]]
