0: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
1: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
2: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
3: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
4: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
5: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
6: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
7: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
8: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
9: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
10: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
11: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
12: [[6, 11, 9], [5, 1, 3], [10, 4, 8, 2], [13, 12, 7]]
13: [[6, 11, 9], [5, 1, 3], [10, 2, 4], [8, 13, 12, 7]]
14: [[6, 11, 9], [5, 1, 3], [10, 2, 4], [8, 13, 12, 7]]
15: [[6, 11, 9], [5, 1, 3], [10, 2, 4], [8, 13, 12, 7]]
16: [[6, 11, 9], [5, 1, 3], [10, 2, 4], [8, 13, 12, 7]]
17: [[6, 11, 9], [5, 1, 10, 2, 3], [4, 8], [13, 12, 7]]
18: [[6, 11, 9], [5, 1, 10, 2, 3], [4, 8], [13, 12, 7]]
19: [[6, 11, 9], [5, 1, 10, 2, 3], [4, 8], [13, 12, 7]]
20: [[6, 11, 9], [5, 1, 10, 2, 3], [4, 8], [13, 12, 7]]
21: [[6, 11, 9], [5, 1, 10, 2, 3], [4, 8], [13, 12, 7]]
22: [[6, 11, 9], [5, 1, 3], [10, 2, 7, 8, 12, 13, 4]]
23: [[6, 11, 9], [5, 1, 3], [10, 2, 8, 4, 7, 13, 12]]
24: [[6, 11, 9], [5, 1, 3], [10, 12, 2], [13, 8, 4, 7]]
25: [[6, 11, 9], [5, 1, 3], [10, 8, 2], [13, 12, 4, 7]]
26: [[6, 11, 9, 5], [1, 3, 10], [2, 4, 8, 7, 13, 12]]
27: [[6, 11, 9, 5], [1, 3, 10], [2, 8, 4, 7, 13, 12]]
