0: [[35, 7, 1, 2, 11], [4, 3], [5, 16, 24, 14, 9, 8, 31, 15, 29, 13, 19, 18, 10], [21, 12, 17, 6], [28, 22, 23, 26], [27, 25, 30, 20, 32, 55], [33, 36, 41, 34, 43, 37, 38, 39, 40, 42, 45, 44], [47, 57, 49], [48, 46, 53, 50, 51, 54, 52, 56, 59, 60, 58]]
1: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8], [9, 24], [10, 12, 15, 14, 16, 18], [23, 19, 22, 17, 26, 20, 27], [31, 30, 25, 28, 29], [40, 39, 33, 37, 34, 32, 42], [47, 36, 43], [38, 44, 45, 46], [41, 51, 56, 60, 54, 55, 50], [53, 52, 58, 49, 57, 48, 59]]
2: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [8, 9, 31], [15, 10, 14, 12, 18, 24, 26, 19, 16, 17, 22, 20, 25, 23, 28, 27, 30, 29, 40, 36, 33, 32, 41, 39, 42, 37, 45, 46, 38, 43, 44, 47, 48, 59], [58, 51, 34, 54, 53, 52, 49, 60, 56, 55, 50, 57]]
3: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 27], [10, 14, 15, 12, 20, 18, 29, 17, 16, 23, 19], [24, 22, 25, 26, 28], [30, 31, 40, 37, 33, 34, 42, 36, 38], [44, 43, 47, 41, 32, 45, 46, 39, 50, 53], [51, 58, 59, 48, 49, 52, 54, 55, 56, 57], [60]]
4: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8], [9, 26, 10, 14, 12, 15, 22, 18, 29, 17, 27, 23, 16, 19, 20, 24, 28, 25, 30, 31, 40, 52, 33, 34, 36, 32, 46, 37, 43, 45, 38, 41, 42, 44, 47], [48, 53, 55, 58, 39, 49, 50, 51, 56, 57, 54, 59, 60]]
5: [[35, 7, 1, 2, 11], [4, 3], [13, 21, 6, 5, 9, 8, 30, 14], [10, 15, 12, 16, 24], [26, 17], [19, 20, 27, 22, 18, 29], [23, 25, 28, 31, 40, 37, 32, 33, 34, 36, 42, 47], [38, 39, 43, 41, 45, 46, 44], [58, 48, 50, 49, 54, 52, 51, 53, 56, 57, 55, 59], [60]]
6: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 30, 14, 10, 12, 15, 25, 24, 17, 16, 18], [19, 22], [31, 20, 23, 28, 26, 27, 29, 40], [39, 33, 32, 36], [34, 46, 37, 38, 41, 43, 47, 45, 42, 44, 56, 48], [49, 50, 55, 53, 54, 51, 58, 60, 59, 52, 57]]
7: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 6, 5], [8, 9, 12, 10], [14, 15, 22, 17, 26, 16], [27, 31, 18, 30, 19, 20, 28, 23, 25, 24], [29, 40, 52, 32, 33, 38, 34, 42, 39], [41, 43, 36, 37, 45, 44, 46, 51, 48, 47], [55, 54, 49, 56, 50, 58, 53, 57, 59, 60]]
8: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8, 9, 31], [14, 10, 12, 15, 17, 18], [26, 16, 22, 19, 20, 23, 25, 27, 28, 24, 30, 29, 40], [37, 39, 36, 32, 38, 41, 33, 44, 34, 42, 47, 45, 46], [43, 59, 48, 51, 58, 55, 49, 54, 57, 52, 56, 50, 53, 60]]
9: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 9], [24, 30, 14, 8, 10], [12, 26, 15], [16, 25, 17, 23, 18, 19], [20, 31, 22, 29, 28, 27, 40, 53, 37, 32, 33, 36, 43], [34, 44, 55, 38, 41, 39, 46, 47, 58, 56, 51, 42, 50], [45, 48, 49, 52, 57, 54, 59, 60]]
10: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8], [9, 27], [14, 10, 12, 28, 24, 25, 16, 18, 15, 17, 22, 19, 29, 20, 26, 23, 31, 30, 40, 36, 33, 38, 45, 34, 47, 46, 39, 32, 37, 41, 42, 43, 44, 57, 48, 51, 50, 55, 49, 53, 52, 54, 56, 58, 59, 60]]
11: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 17, 6, 8], [5, 31], [15, 10, 14, 9, 22, 12], [23, 16, 25, 18], [26, 27, 19, 20, 24], [29, 28, 30, 40, 36, 32, 38, 33, 39, 45, 42, 43, 37, 44, 34, 41, 47, 46, 57, 48, 49, 56, 50], [55, 51, 54, 52, 60, 53, 59, 58]]
