0: [[20, 11, 12, 2], [3, 37, 1, 7, 5, 4, 6], [8, 9], [10, 14], [13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30, 32, 34, 35, 33], [36]]
1: [[20, 11, 12, 2], [3, 37, 1, 7, 5], [4, 6], [8, 9], [10, 14], [13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
2: [[20, 11, 12], [2, 3], [37, 1, 7, 5], [4, 6], [8, 9, 10, 14], [13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21, 23], [31, 30, 32, 34], [35, 33, 36]]
3: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
4: [[20, 11, 12], [2, 3], [37, 1, 7], [5, 4, 6], [8, 9], [10, 14], [13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28, 17], [27, 21, 23, 31], [30, 32, 34], [35, 33, 36]]
5: [[20, 11], [12, 2, 3, 37], [1, 7, 5], [4, 6, 8, 9], [10, 14], [13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28, 17], [27, 21, 23], [31, 30, 32, 34, 35, 33], [36]]
6: [[20, 11, 12, 2], [3, 37], [1, 7], [5, 4, 6, 8], [9, 10, 14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28, 17], [27, 21, 23], [31, 30, 32, 34, 35, 33, 36]]
7: [[20, 11, 12, 2], [3, 37, 1], [7, 5, 4], [6, 8], [9, 10], [14, 13, 16, 15], [19, 29, 18, 22, 24], [26, 25, 28], [17, 27, 21, 23], [31, 30, 32, 34], [35, 33, 36]]
8: [[20, 11, 12, 2], [3, 37], [1, 7], [5, 4, 6, 8], [9, 10, 14, 13], [16, 15, 19, 29], [18, 22, 24], [26, 25, 28], [17, 27, 21, 23], [31], [30, 32, 34], [35, 33, 36]]
9: [[20, 11, 12, 2], [3, 37, 1, 7, 5], [4, 6], [8, 9], [10, 14], [13, 16, 15, 19], [29, 18, 22, 24, 26], [25, 28], [17, 27, 21, 23], [31, 30, 32, 34, 35, 33, 36]]
10: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10], [14, 13, 16], [15, 19, 29], [18, 22, 24], [26, 25, 28, 17], [27, 21, 23], [31, 30, 32, 34], [35, 33, 36]]
11: [[20, 11], [12, 2, 3], [37, 1, 7], [5, 4, 6], [8, 9, 10], [14, 13, 16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21, 23], [31, 30, 32, 34], [35, 33, 36]]
12: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29], [18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30], [32, 34, 35, 33, 36]]
13: [[20, 11], [12, 2, 3], [37, 1, 7, 5], [4, 6, 8], [9, 10, 14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30, 32], [34, 35, 33, 36]]
14: [[20, 11, 12, 2], [3, 37, 1, 7], [5, 4, 6], [8, 9, 10, 14], [13, 16], [15, 19, 29, 18], [22, 24], [26, 25, 28, 17], [27, 21, 23], [31, 30, 32, 34, 35, 33], [36]]
15: [[20, 11, 12], [2, 3], [37, 1, 7], [5, 4, 6], [8, 9, 10], [14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28, 17], [27, 21, 23], [31, 30, 32], [34, 35, 33, 36]]
16: [[20, 11, 12, 2], [3, 37, 1], [7, 5], [4, 6], [8, 9, 10, 14], [13, 16, 15, 19], [29, 18, 22], [24, 26, 25, 28], [17, 27, 21, 23], [31, 30, 32], [34, 35, 33], [36]]
17: [[20, 11, 12, 2], [3, 37, 1], [7, 5], [4, 6], [8, 9, 10, 14], [13, 16, 15, 19], [29, 18, 22], [24, 26, 25, 28], [17, 27, 21, 23], [31, 30, 32], [34, 35, 33], [36]]
18: [[20, 11, 12], [2, 3, 37], [1, 7], [5], [4, 6, 8], [9, 10], [14, 13, 16], [15, 19, 29], [18, 22, 24], [26, 25, 28], [17, 27, 21], [23, 31, 30], [32, 34, 35, 33], [36]]
19: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18, 22], [24, 26], [25, 28], [17, 27, 21], [23, 31, 30, 32, 34, 35, 33, 36]]
20: [[20, 11], [12, 2, 3], [37, 1, 7, 5], [4, 6, 8], [9, 10, 14, 13], [16, 15, 19], [29, 18, 22, 24], [26, 25, 28], [17, 27, 21], [23], [31, 30, 32, 34, 35, 33, 36]]
21: [[20, 11, 12], [2, 3, 37], [1, 7, 5], [4, 6, 8], [9, 10, 14], [13, 16, 15], [19, 29, 18, 22], [24, 26, 25, 28], [17, 27, 21, 23, 31, 30, 32, 34, 35, 33, 36]]
