It No., Best MQ, No clusters, max clus, min clus
1,2.0525974025974025,5,7,2
2,2.151289785729145,6,4,2
3,2.1365319865319865,6,5,2
4,2.029558745348219,7,4,2
5,2.0691260430390863,6,5,2
6,2.2188735177865615,6,4,1
7,2.1369038208168645,6,4,2
8,2.1327985739750446,7,4,2
9,2.153811129194761,5,6,3
10,2.20776240667545,6,4,3
11,2.2622236861367293,6,5,2
12,2.0532752271882706,6,5,2
13,2.1947595713041936,6,5,2
14,2.0240429505135387,5,6,2
15,2.0548403287533725,7,4,2
16,2.151449275362319,7,4,2
17,1.9635642135642137,6,4,2
18,1.969593898165327,6,7,2
19,2.1482196102905484,6,4,2
20,2.179721493340419,5,5,3
21,2.139496413409457,5,5,2
22,1.7610055001359348,5,4,4
23,2.0866225277989985,7,4,2
24,1.9827884104199895,8,4,1
25,1.8922222222222222,6,4,3
26,2.241077441077441,6,5,2
27,1.972137172137172,6,5,2
28,2.075980861244019,6,4,2
29,2.2134199134199135,6,4,2
30,2.121289785729145,5,4,4
31,2.0369038208168644,5,4,4
