0: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
1: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
2: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
3: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
4: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
5: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
6: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
7: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
8: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
9: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
10: [[31, 11, 38], [23, 27, 32, 20, 33, 15, 19], [1, 5], [44, 28, 42, 45, 3, 12], [48, 52, 16, 30, 8, 18], [14, 54, 26, 47], [4, 39, 13, 25, 17, 24, 56, 6, 10, 21], [59, 40, 43, 22], [7, 35, 2], [9, 50, 58, 36, 37, 29], [51, 41, 34, 55], [60, 46, 49, 53, 57]]
