0: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
1: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
2: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
3: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
4: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
5: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
6: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
7: [[20, 12, 13], [5, 2, 4], [8, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
8: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
9: [[20, 12, 13], [5, 2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
10: [[20, 12, 13], [5, 2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
11: [[20, 12, 13], [5, 2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
12: [[20, 12, 13], [5, 2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
13: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
14: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
15: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
16: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
17: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
18: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
19: [[20, 12, 13], [5, 2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
20: [[20, 12, 13], [5, 2, 8], [4, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
21: [[20, 12, 13], [5, 2, 8], [4, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
22: [[20, 12, 13], [5, 2, 8], [4, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
23: [[20, 12, 13], [5, 2, 8], [4, 3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
24: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
25: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
26: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
27: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
28: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
29: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
30: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
31: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
32: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
33: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
34: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
35: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
36: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1], [7, 10, 14, 6, 9], [16, 15], [17, 18, 19]]
37: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1], [7, 10, 9, 14], [16, 6, 15], [17, 18, 19]]
38: [[20, 12, 13], [5, 2, 8, 3], [11, 1, 4], [7, 10, 9], [14, 16, 6, 15], [17, 18, 19]]
39: [[20, 12, 13, 5, 9], [2, 8, 4], [3, 11, 1, 7], [10, 14, 6], [16, 15], [17, 18, 19]]
40: [[20, 12, 13, 5], [2, 4, 8], [3, 11, 1, 7], [10, 9, 14], [16, 6, 15], [17, 18, 19]]
41: [[20, 12, 13, 5], [2, 8, 4], [3, 11, 1, 7], [10, 9, 14], [16, 6, 15], [17, 18, 19]]
