0: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
1: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
2: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
3: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
4: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
5: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
6: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
7: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
8: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
9: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
10: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
11: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
12: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
13: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
14: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
15: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
16: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
17: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
18: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
19: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
20: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
21: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
22: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
23: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
24: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
25: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
26: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
27: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
28: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
29: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
30: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
31: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
32: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
33: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
34: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
35: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
36: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
37: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
38: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
39: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
40: [[59, 27, 43], [41, 29, 13, 9, 39, 54, 21], [52, 48, 12, 3, 11, 24, 30, 45], [53, 34, 28, 58, 5, 7], [22, 40], [36, 42, 50], [1, 32, 49, 57, 17], [38, 23, 44, 18], [8, 4, 14, 20, 33, 19, 25, 26, 31, 51], [15, 16, 37, 47, 56, 6, 10], [55, 35, 60, 46, 2]]
