0: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
1: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 17, 16, 18], [21, 23, 26, 25, 27, 29, 28]]
2: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 18, 17, 16], [21, 23, 26, 25, 27, 29, 28]]
3: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 17, 16, 18, 14], [21, 23, 26, 25, 27, 29, 28]]
4: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 16, 17, 18, 14], [21, 23, 26, 25, 27, 29, 28]]
5: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 18, 16, 17, 14], [21, 23, 26, 25, 27, 29, 28]]
6: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 17, 16, 18], [21, 23, 26, 25, 27, 29, 28]]
7: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
8: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
9: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
10: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
11: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
12: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
13: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
14: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
15: [[24, 9, 2, 8, 19, 1, 7], [22, 3, 5, 6, 20, 4, 10, 12], [11, 15, 13, 14, 16, 17, 18], [21, 23, 26, 25, 27, 29, 28]]
