0: [[8, 4, 3, 19, 18, 15, 17, 12, 14], [7, 11, 16], [6, 5, 13], [2, 9, 10, 20, 22, 1], [23, 21, 24]]
1: [[4, 3, 12, 16], [19, 18, 8], [15, 17], [7, 11], [6, 5], [1, 2, 9], [10, 20, 14], [13, 22], [23, 21, 24]]
2: [[4, 3, 12, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 8], [22], [23, 21, 24]]
3: [[4, 3, 12, 16], [19, 18], [15, 17, 8], [7, 11], [6, 5], [1, 2], [9, 10, 20, 14], [13, 22], [23, 21, 24]]
4: [[4, 3, 12, 16], [19, 18], [15, 17, 8], [7, 11], [6, 5], [1, 2], [9, 10, 20, 14], [13, 22], [23, 21, 24]]
5: [[4, 3, 12, 16], [19, 18], [15, 17, 8], [7, 11], [6, 5], [1, 2], [9, 10, 20, 14], [13, 22], [23, 21, 24]]
6: [[4, 3, 12, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 22, 8], [23, 21, 24]]
7: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11, 6, 5], [1, 2, 9], [10, 20, 14], [13, 22], [23, 21, 24]]
8: [[4, 3, 12, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 8], [22, 23, 21, 24]]
9: [[4, 3, 12, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 8], [22, 23, 21, 24]]
10: [[4, 3, 12, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 8], [22, 23, 21, 24]]
11: [[8, 12, 14], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2, 9, 10], [20, 13], [22, 23, 21, 24]]
12: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5, 1], [2, 9, 10, 14], [20, 13, 22], [23, 21, 24]]
13: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5, 1, 2], [9, 10, 14], [20, 13, 22], [23, 21, 24]]
14: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11, 6, 5], [1, 2], [9, 10, 14], [20, 13, 22], [23, 21, 24]]
15: [[8, 12], [4, 3, 19, 18, 16], [15, 17], [7, 11, 6], [5, 1], [2, 9], [10, 20, 14], [13, 22], [23, 21, 24]]
16: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11, 6, 5, 1, 2, 9], [10, 20, 13, 14], [22, 23, 21, 24]]
17: [[4, 3, 16], [19, 18, 8], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 12], [22, 23], [21, 24]]
18: [[4, 3, 16], [19, 18, 8], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 12], [22, 23], [21, 24]]
19: [[4, 3, 16], [19, 18, 8], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 14], [20, 13, 12], [22, 23], [21, 24]]
20: [[8, 12], [4, 3, 16], [19, 18], [15, 17, 7, 11], [6, 5, 1], [2, 9], [10, 20, 13, 14], [22, 23, 21, 24]]
21: [[8, 12], [4, 3, 16], [19, 18, 15], [17, 7, 14], [11, 6], [5, 1], [2, 9], [10, 20, 13, 22], [23, 21, 24]]
22: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 20, 14], [13, 22, 23, 21, 24]]
23: [[4, 3, 12, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2], [9, 10, 20, 13, 14, 8], [22, 23], [21, 24]]
24: [[8, 12], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5, 1, 2, 9], [10, 20, 13, 22, 23, 14], [21, 24]]
25: [[4, 3, 12, 16], [19, 18], [15, 17, 8], [7, 11], [6, 5, 1], [2, 9], [10, 20, 14], [13, 22, 23], [21, 24]]
26: [[8, 12, 14], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2, 9, 10], [20, 13, 22, 23], [21, 24]]
27: [[8], [4, 3, 16], [19, 18], [15, 17], [7, 11, 6, 5], [1, 2], [9, 10, 14], [20, 13, 22, 23, 12], [21, 24]]
28: [[8, 4, 14], [3, 19, 16], [18, 15, 17], [7, 11], [6, 5, 1], [2, 9, 10], [20, 13, 12], [22, 23, 21], [24]]
29: [[8, 12], [4, 3, 16], [19, 18, 15], [17, 7, 14], [11, 6], [5, 1, 2], [9, 10, 20], [13, 22, 23, 21, 24]]
30: [[4, 3, 16], [19, 18], [15, 17, 7, 8], [11, 6], [5, 1, 2], [9, 10, 14], [20, 13, 12], [22, 23], [21, 24]]
31: [[8], [4, 3, 16], [19, 18, 12], [15, 17, 7, 11, 6, 5, 1], [2, 9, 10, 14], [20, 13, 22, 23, 21, 24]]
32: [[4], [3, 19, 16, 8], [18, 15], [17, 7], [11, 6], [5, 1, 2], [9, 10, 14], [20, 13, 12], [22, 23], [21, 24]]
33: [[16, 8, 4, 3, 19, 18, 15, 12], [17, 7, 11, 6, 5, 14], [1, 2, 9, 10, 20, 13, 22, 23, 21, 24]]
34: [[4, 3, 12, 16], [19, 18, 15, 8], [17, 7], [11, 6], [5, 1], [2, 9], [10, 20, 13, 14], [22, 23], [21, 24]]
35: [[8, 12, 14], [4, 3, 16], [19, 18], [15, 17], [7, 11], [6, 5], [1, 2, 9], [10, 20, 13, 22, 23, 21, 24]]
36: [[4, 12], [3, 19, 16], [18, 15], [17, 7], [11, 6], [5, 1, 8], [2, 9], [10, 20, 14], [13, 22, 23], [21, 24]]
37: [[8, 12, 14], [4, 3, 19, 18, 16], [15, 17], [7, 11], [6, 5, 1], [2, 9, 10, 20, 13, 22, 23, 21, 24]]
