0: [[13, 9, 7, 12, 2], [3, 5, 1], [6, 10, 4, 8, 11]]
1: [[13, 2, 9, 7, 12], [3, 1, 5], [6, 10, 4, 8, 11]]
2: [[13, 2, 9, 7, 12], [3, 1, 5], [6, 10, 4, 8, 11]]
3: [[13, 2, 9, 7, 12], [3, 1, 5], [6, 10, 4, 8, 11]]
4: [[13, 2, 9, 7], [12, 3, 1, 5], [6, 10, 4, 8, 11]]
5: [[13, 2, 9, 7], [12, 3, 1, 5], [6, 10, 4, 8, 11]]
6: [[13, 2, 9, 7], [12, 3, 1, 5], [6, 10, 4, 8, 11]]
7: [[13, 2, 9, 7], [12, 3, 1, 5], [6, 10, 4, 8, 11]]
8: [[13, 2, 9, 7], [12, 3, 1, 5], [6, 10, 4, 8, 11]]
9: [[13, 2, 9, 7], [12, 3, 1, 5], [6, 10, 4, 8, 11]]
10: [[13, 2, 9, 7, 12], [3, 1, 5, 6], [10, 4, 8, 11]]
11: [[13, 2, 9, 7, 12], [3, 1, 5, 6], [10, 4, 8, 11]]
12: [[13, 2, 9, 7, 12], [3, 1, 5, 6], [10, 4, 8, 11]]
13: [[13, 2, 9, 7, 12], [3, 1], [5, 6, 10, 4, 8, 11]]
14: [[13, 2, 9, 7, 12], [3, 1], [5, 6, 10, 4, 8, 11]]
15: [[13, 2, 9, 7, 12], [3, 1], [5, 6, 10, 4, 8, 11]]
16: [[13, 2, 9], [7, 12, 3, 1, 5], [6, 10, 4, 8, 11]]
17: [[13, 2, 9], [7, 12, 3, 1, 5], [6, 10, 4, 8, 11]]
18: [[13, 2, 9], [7, 12, 3, 1, 5], [6, 10, 4, 8, 11]]
19: [[13, 2, 9], [7, 12, 3, 1, 5], [6, 10, 4, 8, 11]]
20: [[13, 2, 9], [7, 12, 3, 1, 5], [6, 10, 4, 8, 11]]
21: [[13, 2, 9, 7], [12, 3, 1, 5, 6], [10, 4, 8, 11]]
22: [[13, 2, 9, 7], [12, 3, 1, 5, 6], [10, 4, 8, 11]]
23: [[13, 2, 9, 7], [12, 3, 1], [5, 6, 10, 4, 8, 11]]
24: [[13, 2, 9, 7, 12, 3], [1, 5], [6, 10, 4, 8, 11]]
25: [[13, 2, 9], [7, 12, 3, 1], [5, 6, 10, 4, 8, 11]]
26: [[13, 2], [9, 7, 12, 3, 1], [5, 6, 10, 4, 8, 11]]
27: [[13, 2, 9], [7, 12, 3, 1, 5, 6], [10, 4, 8, 11]]
