It No., Best MQ, No clusters, max clus, min clus
1,1.9973964482959985,7,9,2
2,1.9206548949196007,8,4,2
3,1.8763151815783394,6,6,3
4,1.7442203140853814,7,6,2
5,2.006528361931018,8,5,2
6,2.0401342451874367,7,5,3
7,2.0135409035409033,7,5,2
8,1.9008224868314891,7,4,3
9,2.033333333333333,7,6,2
10,1.9737430627998056,6,6,2
11,1.7071746870360012,10,4,1
12,1.914712072029145,5,13,2
13,1.9489249720044792,4,9,3
14,1.7607901337507124,7,5,2
15,2.0184524610759635,6,7,1
16,1.9205473453749315,6,6,3
17,1.9806124431124432,7,5,2
18,1.9242909437676878,8,4,2
19,1.9432566226044488,8,4,2
20,1.7495816417171914,9,4,2
21,2.0658738277919864,6,9,2
22,1.9385079755640884,7,5,2
23,1.9075966083679967,8,4,2
24,1.9680174651757951,8,4,2
25,2.1199248860418276,7,8,2
26,1.884481443488782,8,4,1
27,2.0594926977421255,10,4,1
28,2.135912593635706,7,6,2
29,1.9308554857088074,6,6,3
30,2.117741942332106,8,5,2
31,1.7311603571194363,7,6,2
