0: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
1: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
2: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
3: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
4: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
5: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
6: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
7: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
8: [[17, 1, 9, 2, 7, 8, 11], [24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
9: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
10: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
11: [[17, 1, 9, 2, 7, 8], [11, 24, 3, 19, 18, 4, 12], [6, 5, 10], [13, 15, 16, 29, 14], [23, 28, 22], [26, 21, 27], [20, 25]]
