0: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
1: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
2: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
3: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
4: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
5: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
6: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
7: [[11, 12, 7, 2, 13, 6, 8, 9], [5, 3], [1, 4, 10]]
8: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
9: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
10: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
11: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
12: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
13: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
14: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
15: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
16: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
17: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
18: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
19: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
20: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
21: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
22: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
23: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
24: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
25: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
26: [[11, 12, 7, 2, 13, 6, 8, 9, 5], [3, 1], [4, 10]]
27: [[11, 12, 7, 2, 13, 6, 8], [9, 5], [3, 1, 4, 10]]
