0: [[1, 3], [4, 10], [8, 2, 9, 11, 6, 5], [12, 13, 7]]
1: [[1, 3], [4, 10], [8, 2, 9, 11, 6, 5], [12, 13, 7]]
2: [[1, 3], [4, 10], [8, 2, 9, 11, 6, 5], [12, 13, 7]]
3: [[1, 3], [4, 10], [8, 2, 9, 11, 6], [5, 12, 13, 7]]
4: [[1, 3], [4, 10], [8, 2, 9, 11, 6, 5, 12], [13, 7]]
5: [[1, 3], [4, 10], [8, 2, 9, 11, 6, 5, 12], [13, 7]]
6: [[1, 3, 4, 10, 8, 2], [9, 11, 6], [5, 12, 13, 7]]
7: [[1, 3, 4], [10, 8, 2, 9, 11, 6], [5, 12, 13, 7]]
8: [[1, 3], [4, 10], [8, 2], [9, 11, 6], [5, 12, 13, 7]]
9: [[1, 3, 4], [10, 8], [2, 9, 11, 6, 5], [12, 13, 7]]
10: [[1, 3], [4, 10, 8, 2], [9, 11], [6, 5], [12, 13, 7]]
11: [[1, 3], [4, 10, 8, 2, 9, 11, 6, 5, 12], [13, 7]]
12: [[1, 3], [4, 10, 8, 2], [9, 11], [6, 5], [12, 13, 7]]
13: [[1, 3], [4, 10], [8, 2], [9, 11, 6], [5, 12], [13, 7]]
14: [[1, 3], [4, 10], [8, 2], [9, 11, 6], [5, 12], [13, 7]]
15: [[1, 3], [4, 10, 8], [2, 9, 11], [6, 5], [12, 13, 7]]
16: [[1, 3], [4, 10, 8, 2, 9, 11, 6], [5, 12], [13, 7]]
17: [[1, 3], [4, 10, 8, 2], [9, 11, 6, 5, 12, 13, 7]]
18: [[1, 3], [4, 10, 8, 2], [9, 11, 6, 5, 12, 13, 7]]
19: [[1, 3], [4, 10], [8, 2, 9, 11], [6, 5, 12], [13, 7]]
20: [[1, 3], [4, 10], [8, 2], [9, 11, 6, 5, 12, 13, 7]]
21: [[1, 3, 4, 10, 8], [2, 9], [11, 6], [5, 12, 13, 7]]
22: [[1, 3], [4, 10], [8, 2, 9], [11, 6], [5, 12], [13, 7]]
23: [[1, 3, 4], [10, 8], [2, 9], [11, 6, 5], [12, 13, 7]]
24: [[1, 3], [4, 10, 8, 2, 9, 11], [6, 5, 12], [13, 7]]
25: [[1, 3, 4], [10, 8], [2, 9], [11, 6], [5, 12, 13, 7]]
26: [[1, 3], [4, 10, 8], [2, 9, 11, 6, 5], [12, 13], [7]]
27: [[1, 3], [4, 10], [8, 2, 9], [11, 6, 5, 12, 13, 7]]
