0: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22, 11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77, 65, 66, 67, 68, 64, 75, 71, 69, 78, 70, 74, 73, 76, 81, 72], [82, 79], [80], [84, 85], [83, 86], [87, 88]]
1: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22, 11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77, 65, 66, 67, 68, 64, 75, 71, 69, 78, 70, 74, 73, 76, 81, 72], [82, 79], [80], [84, 85, 83, 86, 87], [88]]
2: [[41, 15], [38, 5, 7], [3, 4], [9, 10], [6, 2, 1], [14, 29, 8], [12, 28, 22], [11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77], [65, 66], [67, 68, 64], [75, 71, 69], [78, 70, 74], [73, 76, 81], [72, 82, 79], [80, 84, 85], [83], [86, 87, 88]]
3: [[41, 15], [38, 5, 7], [3, 4], [9, 10], [6, 2, 1], [14, 29, 8], [12, 28, 22], [11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77], [65, 66], [67, 68, 64], [75, 71, 69], [78, 70, 74], [73, 76, 81], [72, 82, 79], [80, 84, 85], [83], [86, 87, 88]]
4: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22], [11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77], [65, 66, 67], [68, 64, 75], [71], [69, 78, 70], [74, 73, 76], [81, 72, 82, 79], [80, 84, 85], [83, 86, 87, 88]]
5: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22, 11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77, 65, 66, 67], [68, 64], [75, 71, 69], [78, 70, 74], [73, 76, 81], [72, 82, 79, 80, 84, 85, 83, 86, 87, 88]]
6: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22, 11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77, 65, 66, 67], [68, 64], [75, 71, 69], [78, 70, 74], [73, 76, 81], [72, 82, 79, 80, 84, 85, 83, 86, 87, 88]]
7: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22], [11, 13, 16], [23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77, 65, 66, 67, 68, 64, 75, 71, 69, 78, 70, 74, 73, 76, 81, 72, 82, 79, 80], [84, 85, 83, 86, 87, 88]]
8: [[41, 15], [38, 5, 7], [3, 4, 9], [10, 6], [2, 1, 14], [29, 8], [12, 28, 22], [11, 13, 16], [23, 24, 19], [18, 20, 17], [21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77], [65, 66, 67], [68, 64, 75], [71, 69, 78], [70, 74, 73], [76, 81, 72], [82, 79], [80, 84], [85, 83], [86, 87, 88]]
9: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22], [11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26], [27, 31, 35], [51, 30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49, 63], [55, 58, 62], [57, 60, 77], [65, 66], [67, 68], [64, 75], [71, 69, 78], [70, 74, 73], [76, 81, 72], [82, 79, 80], [84, 85, 83, 86, 87, 88]]
10: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22], [11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54], [49, 63, 55], [58, 62, 57], [60, 77, 65, 66], [67, 68, 64], [75, 71, 69, 78, 70, 74], [73, 76, 81, 72, 82, 79, 80, 84, 85, 83, 86, 87, 88]]
11: [[41, 15], [38, 5, 7], [3, 4], [9, 10, 6], [2, 1], [14, 29, 8], [12, 28, 22], [11, 13], [16, 23, 24], [19, 18, 20], [17, 21, 59], [25, 26, 27], [31, 35, 51], [30, 33], [32, 50, 37], [34, 39, 44], [42, 36, 43], [47, 53, 56], [40, 45, 52], [48, 46, 61], [54, 49], [63, 55, 58], [62, 57, 60], [77, 65, 66], [67, 68], [64, 75], [71, 69, 78], [70, 74, 73, 76, 81, 72, 82, 79, 80, 84, 85, 83, 86, 87, 88]]
