0: [[11, 35, 5, 1, 7, 2, 3, 4], [14, 8, 13, 27, 9, 21, 6], [24, 12, 15, 17, 19, 16, 20, 10], [23, 22, 25, 28, 30, 18], [31, 29, 26, 40, 36, 37, 34, 51], [32, 33, 39, 42, 44, 41, 46, 38, 47], [45, 58, 53, 48, 56, 54, 43], [52, 49, 59, 50, 57, 55, 60]]
1: [[11, 35, 5, 1, 7, 2, 3, 4], [14, 8, 13, 27, 9, 21, 6], [24, 12, 15, 17, 19, 16, 20, 10], [23, 22, 25, 28, 30, 18], [31, 29, 26, 40, 36, 37, 34, 51], [32, 33, 39, 42, 44, 41, 46, 38, 47], [45, 58, 53, 48, 56, 54, 43], [52, 49, 59, 50, 57, 55, 60]]
2: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 57, 56, 58, 60]]
3: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 56, 57, 58, 60]]
4: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 57, 58, 56, 60]]
5: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 51, 52, 54, 59, 57, 56, 58, 60]]
6: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 24, 8, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 57, 56, 58, 60]]
7: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 56, 57, 58, 60]]
8: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 24, 8, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 56, 57, 58, 60]]
9: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 57, 58, 56, 60]]
10: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 51, 52, 54, 58, 57, 56, 59, 60]]
11: [[11, 35, 21, 1, 7, 2, 3, 4, 14, 5, 6, 9, 27, 8, 24, 10, 12, 13, 29, 15, 16], [18, 19, 17, 22, 20, 23, 25, 26, 30, 28, 31, 40, 36, 33, 38, 43, 32, 37, 39, 42, 44], [41, 46, 34, 45, 47, 50, 53, 48, 49, 55, 59, 52, 54, 51, 57, 58, 56, 60]]
