0: [[3, 1], [10, 8, 2, 5, 7], [13, 12, 11, 9], [16, 15, 14, 4, 6], [17, 19, 18, 20]]
1: [[3, 1], [10, 8, 2, 5, 7], [13, 12, 11, 9], [14, 17, 4, 6], [16, 18, 19, 20, 15]]
2: [[3, 1], [10, 8], [2, 5, 7], [13, 12, 11], [9, 6], [14, 4], [15, 18, 17, 16, 19, 20]]
3: [[3, 1], [10, 8], [2, 5, 7], [13, 12, 11], [9, 6], [14, 4], [15, 18, 17, 16, 19, 20]]
4: [[3, 1], [10, 8], [5, 7, 2], [13, 12, 11, 4], [14, 15, 16, 9, 6], [17, 18, 19, 20]]
5: [[3, 1], [10, 8], [5, 7, 2], [13, 12, 11, 4], [14, 15, 16, 9, 6], [17, 18, 19, 20]]
6: [[3, 1], [10, 8, 2], [5, 7, 13], [12, 11, 9], [14, 4, 6], [17, 19, 18, 20, 16, 15]]
7: [[3, 1], [10, 8, 2], [5, 7], [13, 12, 11], [14, 9, 4, 6], [17, 19, 18], [16, 20, 15]]
8: [[3, 1], [10, 8], [2, 5, 7], [13, 12], [11, 9], [14, 17, 4, 6], [19, 18, 16, 20, 15]]
9: [[3, 1], [10, 8, 2], [5, 7], [13, 12, 11], [16, 9, 6], [14, 4], [17, 19], [18, 20, 15]]
10: [[3, 1], [10, 8], [5, 7, 2], [13, 12, 11, 9], [14, 15, 19, 4, 6], [16, 18, 17, 20]]
11: [[3, 1], [10, 8, 5, 2], [7, 13], [12, 11], [16, 14, 15, 9, 4, 6], [19, 17, 20, 18]]
12: [[3, 1], [10, 8, 2, 5, 7], [13, 12, 11, 15, 14, 9, 4, 6], [17, 19, 18, 20, 16]]
13: [[3, 1], [10, 8, 2, 5, 7], [13, 12, 11, 9, 4], [15, 14, 17, 19, 18, 20, 16, 6]]
14: [[3, 1], [10, 8, 2, 5, 7], [13, 12, 11, 9, 4], [15, 14, 17, 19, 18, 20, 16, 6]]
15: [[3, 1], [10, 8], [2, 5, 7], [13, 12], [11], [14, 9, 4, 6], [16, 19, 18, 15], [17, 20]]
16: [[3, 1], [10, 8, 2], [5, 7, 13], [12, 11, 9], [14, 4, 6], [18, 15], [17, 16, 19, 20]]
17: [[3, 1], [10, 8], [2, 5, 7], [13, 12], [11, 4, 9, 14], [6, 15], [16, 17, 18, 19, 20]]
18: [[3, 1], [10, 8], [2, 5, 7], [13, 12], [11, 4], [14, 9, 6], [16, 17, 18, 15], [19, 20]]
19: [[3, 1], [10, 8, 5, 2], [7, 13], [12, 11, 15], [14, 16, 9, 4, 6], [18, 17, 19, 20]]
20: [[3, 1], [10, 8, 2, 5], [7, 13, 12, 11, 4], [14, 15, 9, 6], [18, 19, 17, 16, 20]]
21: [[3, 1], [10, 8, 2, 5, 7], [13, 12, 11, 9, 4], [15, 14, 17, 19, 6], [18, 20, 16]]
22: [[3, 1, 10], [8, 2], [5, 7, 13], [12, 11], [14, 4], [16, 9, 6, 15], [17, 19, 18, 20]]
23: [[3, 1], [10, 8], [5, 7, 2], [13, 12, 11, 4], [14, 15, 20, 9, 6], [19, 16, 18, 17]]
24: [[3, 1], [10, 8, 2, 5], [7, 13, 12], [11, 9, 4, 6], [14, 15], [17, 19, 18, 20, 16]]
25: [[3, 1], [10, 8, 2, 5], [7, 13, 12, 11], [14, 15, 16, 17, 19, 18, 20, 9, 4, 6]]
26: [[3, 1], [10, 8, 2, 5], [7, 13], [12, 11], [14, 9, 4, 6], [19, 17, 18, 16, 15], [20]]
27: [[3, 1], [10, 8, 2, 5], [7, 13, 12], [11, 4], [14, 9, 6, 15], [19, 16, 17, 20, 18]]
28: [[3, 1], [10, 8, 5, 2], [7, 13], [12], [11, 14, 9, 4, 6], [15, 17, 18, 16, 19, 20]]
29: [[3, 1], [10, 8, 2], [5, 7], [13, 12, 11, 15, 14, 17, 19, 18, 20, 16, 9, 4, 6]]
30: [[3, 1, 10, 8, 2], [5, 7, 13, 12, 11], [14, 15, 9, 4, 6], [19, 17, 18, 16, 20]]
31: [[3, 1], [10, 8, 2, 5], [7, 13], [12, 11, 9, 4], [15, 14, 17, 16, 18, 19, 20, 6]]
32: [[3, 1], [10, 8, 2, 5, 7, 13, 12, 11, 9, 6, 15, 4, 14], [16, 17, 18, 19, 20]]
33: [[3, 1, 10, 8], [5, 2], [7, 13, 9], [12, 11, 14, 6], [15, 16, 17, 18, 4], [19, 20]]
34: [[3, 1], [10, 8], [2, 5], [7, 13, 12], [11, 16, 14, 6], [17, 4], [19, 18, 20, 9, 15]]
35: [[3, 1, 10, 8], [5], [7, 2], [13, 12, 11, 9, 4], [15, 14, 17, 16, 19, 6], [18, 20]]
36: [[3, 1], [10, 8], [2, 5, 7, 13], [12, 11, 4, 6], [14, 15, 16, 17, 18, 19, 20, 9]]
37: [[3, 1], [10, 8], [2, 5, 7, 13, 12], [11, 4, 18, 9, 14], [6], [17, 19, 15, 16, 20]]
38: [[3, 1, 10, 8], [2, 5], [7, 13, 12, 11], [15, 14, 16, 19, 18, 17, 20, 9, 4, 6]]
39: [[3, 1], [10, 8, 5, 7, 2], [13], [12, 11, 15, 4, 6], [14, 16, 17, 19, 18, 9], [20]]
40: [[3, 1], [10, 8, 2, 5, 7, 13, 12, 11, 4, 6, 9, 14, 15, 17, 18, 16], [19, 20]]
41: [[3, 1, 10, 8], [2, 5, 7, 13], [12, 11, 14, 9, 4], [15, 17, 18, 6], [19, 16, 20]]
