0: [[35, 7, 2], [1, 3, 4, 30], [13, 5, 15, 6, 21], [24, 8, 12, 9, 14], [11, 17, 16, 27, 10, 18], [31, 23, 22, 28], [19, 20, 26, 29, 25, 37, 45, 32], [42, 36, 33, 34], [46, 38, 44], [40, 39, 41], [47, 43, 52, 51, 50, 55], [49, 60, 54, 59, 53, 48, 56, 57, 58]]
1: [[35, 7, 2], [1, 3, 4, 30], [13, 5, 15, 6, 21], [24, 8, 12, 9, 14], [11, 17, 16, 27, 10, 18], [31, 23, 22, 28], [19, 20, 26, 29, 25, 37, 45, 32], [42, 36, 33, 34], [46, 38, 44], [40, 39, 41], [47, 43, 52, 51, 50, 55], [49, 60, 54, 59, 53, 48, 56, 57, 58]]
2: [[35, 7, 2], [1, 3, 4, 30], [13, 5, 15, 6, 21], [24, 8, 12, 9, 14], [11, 17, 16, 27, 10, 18], [31, 23, 22, 28], [19, 20, 26, 29, 25, 37, 45, 32], [42, 36, 33, 34], [46, 38, 44], [40, 39, 41], [47, 43, 52, 51, 50, 55], [49, 60, 54, 59, 53, 48, 56, 57, 58]]
3: [[35, 7, 2], [1, 3, 4, 30], [13, 5, 15, 6, 21], [24, 8, 12, 9, 14], [11, 17, 16, 27, 10, 18], [31, 23, 22, 28], [19, 20, 26, 29, 25, 37, 45, 32], [42, 36, 33, 34], [46, 38, 44], [40, 39, 41], [47, 43, 52, 51, 50, 55], [49, 60, 54, 59, 53, 48, 56, 57, 58]]
4: [[35, 2, 7, 1], [3, 4, 30], [13, 5, 21, 8], [9, 6, 10, 15, 14, 11, 12, 24, 22], [18, 16, 17], [19, 20, 23], [26, 28, 25, 31, 27, 29], [32, 37, 36, 40], [46, 38, 43], [33, 42, 39, 45, 47, 34, 41, 56, 55, 50, 48], [54, 44, 52, 51], [53, 49, 59, 58, 57, 60]]
5: [[35, 2, 7, 1], [3, 4, 30], [13, 5, 21, 6], [11, 8, 12, 9, 14, 15, 10, 24], [17, 23, 16, 19, 20, 22, 26, 25, 18], [28, 29, 27, 31, 33, 38, 32, 39, 34, 37, 43], [46, 45, 36, 53, 40, 42], [41, 44, 60, 51, 50], [47, 48], [49, 52, 55, 54, 56, 57], [58, 59]]
6: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5], [6, 11, 8, 12, 10, 14, 15, 16, 20, 19, 22, 26, 17, 31, 28, 18, 24, 23, 27, 25, 59, 29, 9, 33, 32], [36, 45, 47, 37, 42, 34, 40], [38, 46, 41], [43, 48, 50, 53, 39, 44, 54, 51], [49, 58, 57, 60, 55, 56, 52]]
7: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 31, 6], [8, 5, 9, 10, 14, 15, 20, 12, 24], [18, 19, 22, 16, 23, 26, 17, 25, 27, 28, 11, 29, 41, 37], [34, 46, 32, 33, 40, 36, 39, 43, 56, 44, 45, 38, 42, 47, 54, 48, 50, 51, 52, 49, 60, 53, 57, 55, 58, 59]]
8: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 8, 10, 11, 12, 16, 14, 20, 18, 22, 19, 17, 25, 23, 15], [24, 26, 28, 27, 29, 31, 32, 39, 36, 37, 45, 33, 41, 47, 38, 40, 42, 50, 34, 44, 46, 49, 43, 48, 55, 51, 52, 54, 53, 56, 58, 59, 57, 60]]
9: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 6], [9, 10, 8, 15, 28, 14, 11, 12, 16, 20, 17, 27, 19, 24, 25, 22, 18, 23, 26, 29, 31, 32, 33, 38, 44, 36, 37, 34, 47, 39, 40, 46, 42, 43, 45, 41], [49, 57, 48, 50, 55, 51, 56, 53, 52, 58, 54, 60, 59]]
10: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 6], [5, 8], [9, 11, 12, 14, 19], [26, 23, 15, 18, 10], [20, 16, 31, 17, 27, 22, 28, 29, 24, 48, 32, 36, 40, 34, 54, 44, 25, 33, 42, 39, 37, 46], [49, 38, 43, 57, 41], [45, 47], [50, 51, 52, 55, 53, 56, 58], [59, 60]]
11: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5, 6, 8], [14, 9, 10, 11, 12, 15, 20, 31], [16, 18, 17, 28, 23, 22], [19, 26, 25, 24, 29, 27, 56, 36, 38, 32, 45, 33, 43, 40, 47, 39, 42, 44, 34, 37, 41, 48, 46], [50, 52, 51, 49, 54], [53, 55, 59, 57, 58, 60]]
12: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5, 22, 6], [15, 8, 9, 12, 14, 29, 19, 16, 10, 23, 11, 18], [17, 24, 20, 25], [27, 26, 37], [28, 33, 34, 43, 46, 41, 39, 31, 32, 38, 36, 44, 40, 47, 42, 45, 48], [52, 54, 49, 57, 51, 50, 53], [55, 56, 58, 59, 60]]
13: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5], [6, 24, 9, 8], [11, 15, 12, 14], [10, 18, 17, 16], [22, 31, 20], [27, 19, 25], [23, 26, 28, 29, 33], [44, 38, 34, 32, 37, 36], [39, 41, 42, 40, 43], [46, 55, 48], [52, 50, 59, 51, 53], [45, 54], [47, 49, 57, 56, 58, 60]]
14: [[35, 2, 7, 1, 3, 4, 30], [13, 21, 5, 6, 9], [11, 8], [15, 14, 10, 12, 26, 24], [18, 16], [19, 17, 20, 22, 23, 29, 28, 27, 25, 56, 37, 44, 42, 32, 47, 31, 45, 46, 43, 33, 34], [36, 39, 38, 40, 41, 48, 51, 50, 53, 49, 54, 55, 59, 52, 58, 57, 60]]
15: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5, 6, 8, 10, 9, 15], [11, 24, 22, 20, 19, 12], [14, 23, 16, 28, 18, 26, 29, 17, 25, 27, 31], [48, 33, 34, 32, 45], [37, 41, 36, 44, 39, 42], [43, 40, 46, 47, 50, 49, 51, 55, 54, 38, 52, 53, 57, 56, 60, 58, 59]]
16: [[35, 2, 7, 1], [3, 4, 30], [13, 25, 5, 21, 6], [9, 8, 11, 14, 12, 28, 10], [15, 16, 17, 19, 20], [22, 23, 24, 26, 27, 29, 31], [33, 36, 34, 44, 48, 32, 37, 42, 38, 40, 45, 41, 39, 46, 43, 50, 54, 59, 47, 49, 51, 57, 58, 52, 55, 53, 60, 56, 18]]
17: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5, 6], [11, 9, 12, 8, 14, 15, 10, 24], [16, 20, 18, 17, 19, 22], [26, 25, 23, 27, 31, 28], [29, 41, 37, 32, 33], [36, 34, 43, 38], [45, 39, 44, 40, 42], [47, 60, 49, 46, 50, 53, 48, 51], [52, 54, 55], [59, 57, 58, 56]]
18: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6, 27, 10, 9, 11, 8, 12], [14, 17, 26, 16, 19, 15, 20], [31, 22, 23, 18, 29, 24, 25, 59, 32, 28, 33], [34, 37, 38, 39, 36, 44, 41, 45, 40, 43, 42, 52, 46, 54, 50], [51, 47, 48, 55, 49, 56, 53, 57, 58, 60]]
19: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 11, 5], [10, 8, 6, 9, 12, 15, 17, 28, 14, 19, 18], [20, 16, 22, 23, 24, 26, 29, 27, 25, 31, 32, 36, 55, 34, 47, 38, 44, 43, 41, 33, 39, 42, 46], [37, 45, 49, 48, 40, 51, 54, 50, 52, 53, 56, 57], [58, 59, 60]]
20: [[35, 2], [7, 1, 3, 4, 30], [13, 21, 5, 6, 8, 11, 10, 12, 9, 24, 16, 14, 18, 22, 15], [23, 17, 28, 19], [26, 29, 20, 25, 27, 31, 33, 37, 34, 32, 38, 39, 41, 36, 40, 43, 59], [42, 45, 44, 50, 46, 49, 51, 53, 54, 47, 52, 55, 48, 57, 56, 58, 60]]
21: [[35, 2, 7, 1], [3, 4, 30, 13], [5, 21, 6, 8], [9, 10, 11, 12, 14, 19], [26, 23, 15, 18], [20, 16, 31, 17, 27, 22, 28, 29, 24, 48, 32, 36, 40, 34, 54, 44, 25, 33, 42, 39, 37, 46], [49, 38, 43, 57, 41], [45, 47], [50, 51, 52, 55, 53, 56, 58], [59, 60]]
22: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 6], [11, 10, 8], [9, 26, 12, 16, 14, 15, 18, 19, 17, 20, 23, 22, 24, 27, 25, 28, 31], [29, 33, 47, 36, 32, 41, 37], [34, 42, 46, 39, 38, 57, 40, 43, 54, 44, 50, 48, 51, 52, 55, 45, 49, 53, 56, 59, 60, 58]]
23: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 14], [29, 8, 11], [10, 6, 12, 9, 15, 18], [20, 16, 27], [22, 23, 17, 24], [19, 25, 28, 26, 31, 32, 37], [38, 33, 42, 34, 41, 40, 36], [47, 39, 44, 46, 43, 45, 51, 50, 53, 52, 55, 48, 54, 57, 56, 49, 58, 59, 60]]
24: [[35, 2, 7, 1, 3, 4, 30], [13, 21, 5, 6], [8, 9, 11, 14, 10, 15, 20, 28, 16, 18, 19, 17], [12, 23, 22, 25, 24, 27, 26, 29, 31, 48, 32, 33], [37, 45, 39, 34, 42, 44, 38], [36, 43, 41, 40, 46, 47, 49, 58, 55, 51, 50, 52, 54, 57, 56], [53, 59, 60]]
25: [[35, 2, 7, 1], [3, 4, 30], [13, 21, 5, 6, 11, 10, 8, 9, 14, 12, 18, 15, 16, 22, 19, 17, 27], [23, 26, 28, 24, 20, 25, 31], [29, 33, 39, 36, 34, 41, 37, 40, 42, 44, 45, 32, 43, 46, 47, 54, 59, 48, 49, 51, 50, 38, 53, 55, 52, 57, 56, 58, 60]]
26: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 5, 6], [8, 10, 9, 15, 28, 14, 12], [11, 16, 18, 20], [19, 17, 24, 22, 23, 25, 26], [27, 29, 31, 33], [39, 50, 41], [36, 44, 37, 43], [34, 40, 32, 38, 42, 45, 53], [46, 48, 55, 47, 49, 52, 54, 57, 60, 58], [51, 59, 56]]
27: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 6], [29, 11, 8, 10], [12, 9, 14, 15], [17, 18, 26, 16, 31, 19, 20], [22, 28, 24], [23, 27, 25, 33], [39, 38, 32], [41, 37, 42, 34, 45, 43, 40, 44, 47, 36, 55, 51, 48, 49, 52, 53, 46], [50, 54, 56, 57, 58, 59, 60]]
28: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 5, 6], [8, 10, 9, 15, 28, 14, 12], [11, 16, 18, 20], [19, 17, 24, 22, 23, 25, 26], [27, 29, 31, 33], [39, 50, 41], [36, 44, 37, 43], [34, 40, 32, 38, 42, 45, 53], [46, 48, 55, 47, 49, 52, 54, 57, 60, 58], [51, 59, 56]]
29: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5, 6, 31], [15, 8, 9], [10, 14, 11, 12, 16, 20, 18, 17, 29, 23], [26, 19, 22, 24, 25, 27, 28, 33, 32, 44, 34, 41, 45, 36, 42, 37, 39, 38], [40, 46, 49, 52, 59, 43, 48, 50, 47, 51, 54, 53, 58, 57, 56, 55, 60]]
30: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 6, 24, 11, 10], [8, 9, 12, 15, 16, 26, 14, 22, 17], [23, 18, 20, 19, 25, 31, 27, 28, 29, 41, 37, 38, 34, 32, 36, 43], [33, 39, 42, 40, 44, 45, 46, 58], [53, 47, 50, 59, 49, 55, 48, 52, 51], [54, 57, 60, 56]]
31: [[35, 2, 7], [1, 3, 4, 30, 13, 5, 6, 8], [11, 9, 14, 10, 15, 12, 29, 26, 16], [22, 17, 19, 27, 20, 21, 28, 18, 23, 24, 25], [31, 33, 38, 32, 34, 45, 37, 42, 39, 36, 41, 44], [43, 40, 60, 55, 46, 48, 47, 51, 50], [49, 52, 59, 53, 56, 54, 58, 57]]
32: [[35, 2, 7], [1, 3, 4, 30, 13, 5, 21], [6, 11, 15, 9, 8, 12, 10, 14, 23], [25, 26, 22, 16, 18, 20, 17, 19, 31, 27, 28, 29, 24, 37, 33, 32, 36, 39, 34, 38, 42, 41, 40, 43, 44, 46, 55, 45, 49, 47, 59], [48, 54, 50, 51, 52, 53, 57, 56, 58, 60]]
33: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5], [6, 10, 8, 15, 11, 9, 12, 26, 16], [28, 18, 17, 23, 31, 14, 24, 25, 19, 20, 29, 22, 27, 37, 36, 34, 32, 38, 39, 44, 46, 33, 43, 40, 41, 42, 55, 47, 50, 48, 49, 45, 53, 54, 51, 57, 52, 58, 56, 59, 60]]
34: [[35, 2, 7, 1, 3, 4, 30], [13, 21, 5, 6], [11, 10, 8], [9, 14, 12, 15, 17, 18, 16], [26, 23, 19], [20, 22, 27, 28, 24, 25, 29, 31], [32, 38, 34, 33], [36, 37, 47], [39, 40, 44, 45, 42, 46, 41, 43, 52, 51, 48], [53, 50, 49, 54, 55, 56, 58, 59, 57, 60]]
35: [[35, 2, 7, 1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 10, 14, 15, 12, 29, 11, 16, 17, 18, 31, 25, 19, 23, 28, 20, 24, 26, 27, 22, 32, 36], [34, 33, 37, 45, 39, 46, 40, 38, 43, 42, 41, 44, 47, 59, 49, 48, 53, 50, 52, 55], [54, 57], [51, 58, 56, 60]]
36: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6], [11, 8, 10, 15, 12, 14], [16, 9, 26, 18, 17, 19, 24, 20, 23, 22, 28, 27, 25, 29, 31, 32, 46, 57, 38], [45, 36, 39, 42, 41, 34, 33], [43, 40, 47], [37, 52, 53, 51, 56, 48, 50, 55], [44, 49, 54, 58, 59, 60]]
37: [[35, 2, 7, 1, 3, 4], [30, 13, 21], [5, 6, 11, 10, 9, 12, 8, 15, 14, 26], [27, 28, 19, 16, 31, 24, 20, 18, 25, 17, 22, 29, 23, 32, 36, 34, 40, 45, 37, 44, 43, 38, 39, 42, 41, 47, 46, 33, 48, 51, 49, 50, 55, 54, 52, 53, 56, 57, 59, 60, 58]]
