0: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
1: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
2: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
3: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
4: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
5: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
6: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9], [10, 2, 12]]
7: [[13], [5, 3], [4, 1], [6, 9, 8, 11], [10, 2], [12, 7]]
8: [[13], [5, 3], [4, 1], [6, 9, 8, 11], [10, 2], [12, 7]]
9: [[8, 11], [13, 7], [5, 3], [4, 1, 6, 9, 10], [2, 12]]
10: [[13, 7], [5, 3], [4, 1, 6, 8], [9, 10, 2, 12, 11]]
11: [[13, 5], [3, 4, 1], [6, 9, 8, 11], [10, 2], [12, 7]]
12: [[13], [5, 3], [4, 1], [6, 9, 8, 11], [10], [2, 12, 7]]
13: [[13, 7, 8], [5, 3, 4, 1], [6, 9, 10, 11], [2, 12]]
14: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9, 10], [2, 12]]
15: [[8, 11], [13, 7], [5, 3, 4, 1, 6, 9, 10, 2, 12]]
16: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9, 10], [2, 12]]
17: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9, 10], [2, 12]]
18: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9, 10], [2, 12]]
19: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9, 10], [2, 12]]
20: [[8, 11], [13, 7], [5, 3], [4, 1], [6, 9, 10], [2, 12]]
21: [[8, 11], [13, 7], [5, 3, 4], [1, 6, 9, 10, 2, 12]]
22: [[8, 11], [13, 7], [5, 3, 4], [1, 6, 9, 10, 2, 12]]
23: [[8, 11], [13, 7, 5, 3, 4, 1], [6, 9, 10, 2, 12]]
24: [[8, 11], [13, 7, 5, 3, 4, 1, 6, 9, 10], [2, 12]]
25: [[13], [5, 3, 4], [1, 6, 8], [9, 10, 11, 7], [2, 12]]
26: [[13, 5], [3, 4], [1, 6, 8], [9, 10, 11, 7], [2, 12]]
27: [[13], [5], [3, 4], [1, 6, 8], [9, 10, 11, 7], [2, 12]]
