0: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21, 6], [24, 12, 10], [33, 20, 19, 32], [27, 55, 43], [51, 3, 30, 31], [22, 54, 23, 25, 28], [40, 7, 8, 39], [38, 9, 53, 29, 37, 42, 44, 45, 41, 48], [50, 36, 52], [59, 60]]
1: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21, 6], [24, 12, 10], [33, 20, 19, 32], [27, 55, 43], [51, 3, 30, 31], [22, 54, 23, 25, 28], [40, 7, 8, 39], [38, 9, 53, 29, 37, 42, 44, 45, 41, 48], [50, 36, 52], [59, 60]]
2: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 1], [56, 13, 21, 6], [18, 24, 12, 10, 33], [19, 20, 32], [27, 55, 43, 51, 3], [30, 31, 22, 54, 23, 25, 28, 40, 7, 8, 39, 38], [9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
3: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5], [16, 15, 18, 1, 56], [13, 21, 6], [24, 12], [10, 33, 20, 19, 32], [27, 55, 43], [51, 3, 30], [31, 22, 54, 23, 25], [28, 40, 7], [8, 39], [38, 9, 53, 29], [37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
4: [[17, 26, 46], [4, 11], [35, 14, 58], [34, 2, 6], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21], [24, 33, 10, 12], [20, 19, 32], [27, 55], [43, 51, 3, 30], [31, 22, 54, 23], [25, 28, 40, 7, 8], [39, 38, 9], [53], [29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
5: [[17, 26, 46], [4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21], [24, 12, 6, 10], [33, 20, 19, 32], [27, 55, 43, 51, 3], [30, 31, 22, 54, 23], [25, 28], [40, 7, 8], [39, 38], [9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
6: [[17, 26, 46], [4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21], [24, 12, 6, 10], [33, 20, 19, 32], [27, 55, 43, 51, 3], [30, 31, 22, 54, 23], [25, 28], [40, 7, 8], [39, 38], [9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
7: [[17, 26, 46], [4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21], [24, 12, 6, 10], [33, 20, 19, 32], [27, 55, 43, 51, 3], [30, 31, 22, 54, 23], [25, 28], [40, 7, 8], [39, 38], [9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
8: [[17, 26, 46, 4], [11, 35, 2], [14, 58, 34], [49, 57, 47], [5, 16, 15, 18], [1, 56, 13, 21, 24], [12, 6, 10, 33], [20, 19, 32, 27], [55, 43, 51, 3, 30], [31, 22, 54, 23, 25, 28, 40, 7, 8, 39, 38, 9, 53], [29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
9: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 1], [56, 13, 21, 6], [18, 24, 12, 10, 33], [19, 20, 32, 27], [55, 43, 51, 3], [30, 31], [22, 54], [23, 25, 28, 40], [7, 8], [39, 38, 9], [53, 29, 37, 42], [44, 45, 41, 48, 50, 36, 52, 59, 60]]
10: [[17, 26, 46, 4], [11, 35, 2], [14, 58, 34], [49, 57, 47], [5, 16, 15, 18], [1, 56, 13, 6, 21, 24, 12, 10, 33, 20, 19, 32], [27, 55, 43], [51, 3, 30, 31], [22, 54, 23, 25], [28, 40, 7], [8, 39, 38, 9], [53, 29, 37, 42], [44, 45, 41, 48], [50, 36, 52, 59, 60]]
11: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 1], [56, 13, 21, 6], [18, 24, 12, 10, 33], [19, 20, 32, 27], [55, 43, 51, 3], [30, 31, 22, 54], [23, 25, 28, 40, 7, 8, 39, 38, 9, 53, 29, 37, 42, 44, 45], [41, 48, 50, 36, 52, 59, 60]]
12: [[17, 26, 46, 4], [11, 35, 2], [14, 58, 34], [49, 57, 47], [5, 16, 15, 18], [1, 56, 13, 21, 24, 12, 6, 10, 33, 20, 19, 32, 27, 55, 43], [51, 3, 30, 31], [22, 54, 23, 25, 28], [40, 7], [8, 39, 38, 9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
13: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5], [16, 15, 18], [1, 56, 13, 21], [24, 8, 12, 10], [33, 20, 19], [32, 27, 55, 43], [51, 3, 30], [31, 22, 54, 23, 25, 28, 40, 7, 6, 39, 38, 9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
14: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5], [16, 15, 18, 1, 56], [13, 21, 6], [24, 12, 10, 33, 20, 19, 32, 27], [55, 43, 51, 3, 30, 31, 22, 54, 23], [25, 28], [40, 7, 8, 39, 38, 9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
15: [[17, 26], [46, 4], [11, 35, 14], [58, 34, 2], [49, 57, 47], [5, 16, 15, 18], [1, 56, 13, 21, 6], [24, 12, 10, 33], [20, 19, 32, 27, 55, 43, 51, 3, 30, 31], [22, 54, 23], [25, 28, 40, 7, 8], [39, 38, 9, 53, 29, 37, 42], [44, 45, 41, 48, 50, 36, 52, 59, 60]]
16: [[17, 26, 46], [4, 11], [35, 14, 58, 34, 2], [49, 57, 47], [5, 16, 15, 18], [1, 56, 13], [21, 6], [24, 12, 10, 33, 20], [19, 32], [27, 55, 43, 51], [3, 30], [31, 22, 54, 23], [25, 28, 40], [7, 8, 39], [38, 9, 53, 29, 37], [42, 44, 45], [41, 48, 50, 36, 52], [59, 60]]
17: [[17, 26, 46], [4, 11], [35, 14, 58], [34, 2], [49, 57], [47, 5, 16, 15], [18, 1, 56, 13, 21], [6, 24, 12, 10, 33], [20, 19, 32], [27, 55], [43, 51, 3, 30], [31, 22, 54, 23], [25, 28, 40, 7, 8], [39, 38, 9], [53], [29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
18: [[17, 26, 46, 4, 11], [35, 14, 58, 34, 2], [49, 57], [47, 5, 16, 15, 18], [1, 56, 13, 21, 6], [24, 12], [10, 33, 20, 19], [32], [27], [55, 43, 51, 3, 30, 31, 22, 54], [23, 25, 28, 40, 7], [8, 39, 38, 9, 53, 29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
19: [[17, 26, 46], [4, 11], [35, 14, 58], [34, 2], [49, 57], [47, 5, 16, 15], [18, 1, 56, 13, 21], [6, 24, 12, 10, 33], [20, 19, 32], [27, 55], [43, 51, 3, 30], [31, 22, 54, 23], [25, 28, 40, 7, 8], [39, 38, 9], [53], [29, 37, 42, 44, 45, 41, 48, 50, 36, 52, 59, 60]]
