0: [[7, 11], [1, 2], [3, 6, 10, 14], [9, 8, 12, 13, 5], [15, 16, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
1: [[5, 14, 4], [7, 11], [1, 2], [3, 6, 10, 9], [8, 12, 13, 15, 16, 18], [17, 22, 19, 20], [23, 21, 24]]
2: [[7, 11, 1], [2, 3, 6, 10, 14], [9, 8], [12, 13, 5], [15, 16, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
3: [[5, 14, 4], [7, 11], [1, 2], [3, 6, 10, 9], [8, 12, 13, 15, 16, 18, 17, 22], [19, 20], [23, 21, 24]]
4: [[7, 11, 1, 2], [3, 6], [10, 9, 14], [8, 12, 13, 5], [15, 16, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
5: [[7, 11], [1, 2], [3, 6, 10, 14], [9, 8, 12, 5], [13, 15, 16], [18, 17], [22, 19, 20, 4], [23, 21, 24]]
6: [[7], [11, 1], [2, 3, 6, 10, 14], [9, 8, 12, 13, 15, 5], [16, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
7: [[7, 14], [11, 1, 2, 3], [6, 10, 9, 8, 12, 13, 5], [15, 16, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
8: [[5, 14, 4], [7, 11, 1, 2, 3, 6, 10, 9, 8, 12, 13, 15, 16, 18, 17, 22, 19, 20], [23, 21, 24]]
9: [[7], [11, 1], [2, 3, 6], [10, 9, 8, 14], [12, 13, 15, 5, 4], [16, 18], [17, 22, 19, 20], [23, 21, 24]]
10: [[7, 11, 1], [2, 3, 6], [10, 9, 14], [8, 12, 5], [13, 15, 16, 18, 4], [17, 22, 19, 20], [23, 21, 24]]
11: [[7], [11, 1, 2, 3], [6, 10, 9, 14], [8, 12, 13, 5], [15, 16, 18, 17, 22, 19, 20, 4], [23, 21, 24]]
12: [[7, 11], [1, 2], [3, 6], [10, 9, 8, 12, 5, 14], [13, 15, 16, 18, 17], [22, 19, 4], [20, 23, 21, 24]]
13: [[7, 11, 1], [2, 3, 6], [10, 9, 14, 4], [8, 12, 5], [13, 15], [16, 18], [17, 22, 19, 20], [23, 21, 24]]
14: [[7, 14], [11, 1], [2, 3, 6, 10, 9, 8, 12, 5], [13, 15, 16, 18, 17, 22, 19, 20, 4], [23, 21, 24]]
15: [[7, 11], [1, 2, 3, 6], [10, 9, 8, 14], [12, 13, 15], [16, 18], [17, 22, 19, 5, 4], [20, 23, 21, 24]]
16: [[7], [11, 1], [2, 3, 6], [10, 9, 8, 14], [12, 13, 15], [16, 18], [17, 22, 5, 4], [19, 20], [23, 21, 24]]
17: [[7, 11, 1], [2, 3], [6, 10, 14], [9, 8, 5], [12, 13, 15, 16], [18, 17, 22], [19, 20, 4], [23, 21, 24]]
18: [[5, 14, 4], [7, 11], [1, 2, 3, 6, 10, 9, 8], [12, 13, 15, 16, 18, 17, 22, 19], [20, 23, 21, 24]]
19: [[7, 11], [1, 2], [3, 6, 10, 14], [9, 8, 12, 5], [13, 15], [16, 18], [17, 22, 19, 4], [20, 23, 21, 24]]
20: [[7], [11, 1, 2], [3, 6], [10, 9, 14, 4], [8, 12, 5], [13, 15], [16, 18], [17, 22], [19, 20], [23, 21, 24]]
21: [[5, 14, 4], [7, 11], [1, 2], [3, 6], [10, 9, 8, 12, 13], [15, 16, 18], [17, 22, 19, 20, 23], [21, 24]]
22: [[5, 4], [11, 7], [1, 2, 3], [6, 10, 9, 14], [8, 12, 13, 15, 16, 18, 17], [22, 19, 20, 23, 21, 24]]
23: [[7, 11], [1, 2, 3], [6, 10, 14], [9, 8], [12, 13, 15], [16, 18], [17, 22, 5, 4], [19, 20, 23, 21, 24]]
24: [[7, 11, 1, 2], [3, 6], [10, 9, 14], [8, 12, 13, 5], [15, 16], [18, 17], [22, 19, 4], [20, 23], [21, 24]]
