0: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
1: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
2: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
3: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
4: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
5: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
6: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
7: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
8: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
9: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
10: [[49, 57], [8, 50, 18], [38, 15, 6, 10], [1, 46], [34, 19], [28, 22], [51, 47, 25, 33], [20, 31], [45, 59], [39, 7], [4, 42], [35, 24, 11, 2], [30, 3], [43, 14, 27], [9, 29], [17, 5, 36, 13, 21], [54, 52, 44], [23, 40, 12], [26, 32], [48], [37, 56, 16], [55], [53], [41], [60, 58]]
