0: [[1, 10, 4, 2], [3, 5], [9, 6, 11, 8], [13, 12, 7]]
1: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
2: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
3: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
4: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
5: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
6: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
7: [[1, 10, 4], [5, 2, 3], [9, 6, 11, 8], [13, 12, 7]]
8: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
9: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
10: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
11: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
12: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
13: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
14: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
15: [[1, 10, 4], [5, 9, 2, 3], [6, 11, 8], [13, 12, 7]]
16: [[1, 10, 4], [3, 5, 2], [9, 11, 6], [8, 13, 12, 7]]
17: [[1, 10, 4], [5, 3, 2], [9, 11, 6], [8, 13, 12, 7]]
18: [[1, 10, 4], [3, 5, 2], [9, 11, 6], [8, 13, 12, 7]]
19: [[1, 10, 4], [3, 5, 2], [9, 11, 6], [8, 13, 12, 7]]
20: [[1, 10, 4, 5, 3], [9, 2], [6, 11, 8], [13, 12, 7]]
21: [[1, 10, 4, 2], [3, 5, 9], [6, 11, 8], [13, 12, 7]]
22: [[1, 10, 4, 2, 3], [5, 9], [6, 11, 8], [13, 12, 7]]
23: [[1, 10, 4], [3, 2, 5], [9, 6, 11, 8, 13, 12, 7]]
24: [[1, 10, 4], [3, 2, 5, 9], [6, 11, 8, 13, 12, 7]]
25: [[1, 10, 4, 2], [5, 3, 9], [11, 6], [8, 13, 12, 7]]
26: [[1, 10, 4, 2], [3, 5, 9], [6, 11, 8, 13, 12, 7]]
27: [[1, 10, 4, 2], [3, 5, 9], [6, 11, 8, 13, 12, 7]]
