0: [[28, 22, 40], [27, 20, 3, 34, 32, 19, 47], [33, 36, 4, 7, 50], [37, 29, 56, 25], [39, 35, 43, 2], [11, 9, 8], [41, 48, 30, 59], [38, 5, 16, 18], [44, 24, 42], [46, 13, 6, 21], [15, 14, 1, 17, 12, 23, 45, 26, 51, 58, 10], [52, 31, 60], [54, 55, 53], [49, 57]]
1: [[28, 22, 40], [27, 20, 3, 34, 32, 19], [47, 33, 36, 4, 7], [50, 37, 29, 56], [25, 39, 35, 2], [11, 43, 9, 8], [41, 48], [30, 59, 38], [5, 16, 18], [44, 24, 42], [46, 13, 6, 21], [15, 14, 17, 10], [23, 45, 12], [26, 51, 58], [1, 52], [31, 60, 54, 55], [53, 49, 57]]
2: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33, 36], [4, 7, 50], [37, 29], [56, 25, 39], [35, 43, 2], [11, 9, 8], [41, 48, 30], [59, 38, 5], [16, 18, 44], [24, 42, 46], [13, 21, 6], [10, 15, 14, 17], [12, 23, 45], [26, 1, 51], [58, 52, 31], [60, 54, 55], [53, 49, 57]]
3: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33, 36], [4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 43], [11, 9, 8], [41, 48, 30], [59, 38, 5], [18, 16, 44], [24, 42, 46], [13, 21, 6], [10, 15, 14], [17, 12, 23], [45, 26, 51], [1, 58, 52, 31], [60, 54], [55, 53, 49, 57]]
4: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33, 36], [4, 7, 50], [37, 29, 56], [25, 39, 35, 2], [43, 11, 9, 8], [41, 48], [30, 59, 38, 5], [18, 16, 44], [24, 42, 46], [13, 21, 6], [10, 15, 14], [17, 12, 23], [45, 26, 1], [51, 58, 52], [31, 60, 54, 55], [53, 49, 57]]
5: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33], [36, 4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 43], [11, 9, 8], [41, 48, 30], [59, 38, 5], [18, 16, 44], [24, 42, 46], [13, 21, 6], [10, 15, 1], [17, 12, 23], [45, 14, 26], [51, 58, 52], [31, 60, 54], [55, 53], [49, 57]]
6: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33, 36], [4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 43], [11, 9, 8], [41, 48, 30], [59, 38, 5], [16, 18, 44], [24, 42, 46], [13, 21], [6, 10, 15], [1, 17], [12, 23, 14], [45, 26], [51, 58, 52], [31, 60, 54, 55], [53, 49, 57]]
7: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33, 36], [4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 43], [11, 9, 8], [41, 48, 30], [59, 38], [5, 18, 16], [44, 24, 42], [46, 13, 21], [6, 10], [15, 14], [17, 12, 23], [45, 26, 51], [1, 58, 52, 31], [60, 54, 55, 53], [49, 57]]
8: [[28, 22, 40], [27, 20, 3], [34, 32, 19], [47, 33, 36], [4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 43], [11, 9, 8], [41, 48, 30], [59, 38, 5], [16, 18, 44], [24, 42, 46], [13, 21], [6, 10, 15], [14, 17, 12, 23], [45, 26, 1], [51, 58, 52], [31, 60, 54], [55, 53, 49, 57]]
9: [[28, 22, 40], [27, 20, 3, 34, 32], [19, 47, 33, 36], [4, 7], [50, 37, 29], [56, 25], [39, 35, 2], [43, 11, 9], [8, 41, 48], [30, 59, 38, 5], [18, 16, 44, 24], [42, 46, 13, 21, 6], [10, 15, 14, 1], [17, 12, 26], [23, 45, 51, 58], [52, 31, 60, 54], [55, 53, 49, 57]]
10: [[28, 22, 40], [27, 20], [3, 34, 32], [19, 47, 33], [36, 4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 43], [11, 9, 8, 41], [48, 30, 59, 38], [5, 16, 18], [44, 24, 42], [46, 13, 21, 6], [10, 15, 14], [17, 12, 23], [45, 1, 26], [51, 58], [52, 31], [60, 54], [55, 53, 49, 57]]
11: [[28, 22, 40], [27, 20, 3], [34, 32], [19, 47, 33], [36, 4, 7], [50, 37, 29], [56, 25, 39], [35, 2, 11], [43, 9, 8], [41, 48], [30, 59, 38], [5, 18, 16], [44, 24, 42], [46, 13, 21], [6, 10, 15], [14, 1, 17], [12, 45, 23], [51, 58, 26], [52, 31, 54, 60], [55, 53, 49, 57]]
