0: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 11, 24], [8, 13, 9, 14, 6, 21], [15, 27, 16, 17, 10, 18], [20, 19, 31, 30, 25], [22, 23, 28, 26], [29, 37, 32, 34, 33, 36], [38, 46, 39, 41, 47, 45], [43, 42], [44, 51, 48, 50], [49, 57], [55, 53, 52, 58, 56, 59, 60]]
1: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 25, 18], [10, 8, 11, 9, 6, 21], [13, 29, 17, 19, 15, 16], [20, 24, 31, 14, 27], [22, 23, 28, 26], [30, 37, 32, 34, 33, 36], [39, 38, 41, 45, 46, 44], [47, 58], [42, 51, 43, 48, 56], [57, 53, 50, 49, 52, 59, 55, 60]]
2: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 24, 28], [15, 9, 6, 10], [8, 13, 11, 19, 17, 21], [23, 16, 30, 18], [14, 20, 22, 26, 27, 31], [25, 29, 32, 60, 42, 36, 33], [45, 39, 37, 34, 41], [47, 38], [43, 48, 50, 46, 51, 56, 52, 53, 44], [49, 59, 55, 58, 57]]
3: [[40, 54, 1, 35, 7, 2, 3], [4, 5, 12, 25, 24, 9, 6, 11, 8, 10, 21, 15, 27, 18, 17, 13, 14, 16, 19, 31, 20, 28, 22, 23, 30, 26], [29, 37, 32, 34, 33, 36], [38, 46, 43, 41, 39, 42], [47, 44], [45, 51, 48, 50], [49, 57], [55, 52, 53, 59, 56, 58, 60]]
4: [[40, 54, 1, 35, 7, 2], [3, 4], [5, 12, 11, 10, 6, 9, 13, 19, 14, 15, 27, 17, 8, 29, 20, 22, 31, 21, 16, 24, 18], [28, 23, 25, 26, 30, 36, 32, 50, 33, 34, 38, 46, 45, 42, 37, 41, 43, 39, 47, 51, 48, 56, 58, 52, 44], [53, 49, 55, 57, 59, 60]]
5: [[40, 54, 1], [35, 7, 2, 3, 4], [5, 12, 10, 26, 8, 11], [6, 21, 15, 9, 14], [13, 16, 31, 22, 18, 17], [23, 19, 20, 24], [25, 27, 28], [29, 30, 37, 48], [32, 33, 38, 34, 44, 36], [45, 39, 41, 42, 43, 47], [51, 46], [50, 56, 58, 52], [49, 55, 53, 57, 59, 60]]
6: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 28, 24], [11, 9, 8, 25, 6], [16, 15, 18, 10], [13, 17, 21], [14, 22, 27, 23, 19, 26, 20, 29, 31, 30, 37, 32, 34, 36, 38, 33, 43, 39, 45, 42, 44, 41, 46, 47, 51, 48, 58, 49, 50, 55, 53, 52, 56, 59, 57, 60]]
7: [[40, 54], [1, 35, 7, 2], [3, 4, 5], [12, 25, 26, 10], [6, 9, 14, 11, 24, 31], [8, 17, 13, 15, 21, 30], [19, 22, 18, 27, 16], [20, 28, 23, 29], [37, 32, 34, 33, 36], [38, 46], [39, 41, 42, 45], [43, 44, 47, 50, 52, 48], [57, 49], [55, 53, 51, 58, 56, 59, 60]]
8: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [24, 26, 8, 6, 10, 11, 9, 30, 15, 13, 17, 21, 14], [19, 16, 18, 22, 28, 25, 23], [20, 27, 31, 29, 37, 32, 33, 39, 34, 38], [46, 36, 43, 44], [41, 42, 45, 47, 51, 52], [48, 53, 50, 55, 49, 57, 56, 58, 59, 60]]
9: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [24, 26, 8, 6, 10, 11, 9, 30, 15, 13, 17, 21, 14], [19, 16, 18, 22, 28, 25, 23], [20, 27, 31, 29, 37, 32, 33, 39, 34, 38], [46, 36, 43, 44], [41, 42, 45, 47, 51, 52], [48, 53, 50, 55, 49, 57, 56, 58, 59, 60]]
10: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 28, 24], [9, 14], [6, 21, 8, 13], [25, 15, 23, 11, 18, 10, 16, 17, 20, 29, 19, 22, 30, 26, 27, 31, 37, 32], [33, 34, 38, 36, 47, 39, 41, 42, 43], [44, 46, 45, 51, 49, 50, 53, 56, 60, 48, 52, 57, 55, 58, 59]]
11: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 14, 8, 6, 10, 27, 13, 11, 9, 17, 19, 18, 16, 15, 20, 29, 22, 21, 23, 31, 28, 25, 30, 36, 32, 41, 34, 33, 45], [44, 47, 42, 37, 38, 39, 43, 46, 51, 48, 52, 56], [49, 50, 53, 55, 58, 60, 59, 57]]
12: [[40, 54, 1, 35, 7, 2], [3], [4, 5, 12, 11], [24, 10], [9, 20, 14, 6, 8, 15], [13, 16, 17, 30, 26, 18, 21], [19, 25, 27, 22, 28, 31], [29, 23, 37, 32], [34, 36, 38, 43, 46, 39, 42, 33], [41, 44, 47, 52, 51, 48, 45], [49, 53, 50, 55, 57, 56, 59], [60, 58]]
13: [[40, 54, 1, 35, 7, 2], [3, 4], [5, 12, 24, 30, 6, 9, 10, 21, 8, 11, 19, 13, 14, 17, 23, 20, 15, 16, 18, 22, 28, 25, 26, 27, 29, 31, 37], [32, 33, 34, 38, 36, 45, 39, 42, 41, 43, 46, 47, 44], [51, 52, 49, 50, 48, 53, 58, 55, 56, 59, 57, 60]]
14: [[40, 54, 1, 35, 7, 2], [3, 4, 5], [12, 24, 27, 10, 9, 6, 11, 8, 30, 31, 15, 13, 23, 14, 20, 16, 19, 17, 25, 18, 22, 26, 21, 28, 29, 52, 32, 33, 36, 34, 44, 43, 37, 41, 45, 39, 38, 42, 46, 50], [48, 58, 49, 56, 55, 53, 47, 57, 51, 59, 60]]
15: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [25, 24, 10, 6, 8, 9], [13, 11, 14, 31, 16, 17, 18, 28, 15, 19, 21], [22, 20, 27, 26], [30, 23, 29, 37, 32, 34, 33], [36, 39, 38, 46, 45, 41], [44, 43, 51, 42], [52, 50, 47, 57, 48, 49, 53], [55, 56, 58, 59, 60]]
16: [[40, 54, 1, 35, 7, 2], [3, 4], [5, 12, 19, 10, 6, 13, 11, 8, 14, 15, 26, 17, 9, 21, 20, 22], [18, 23, 16, 28, 25, 24, 30, 29, 27], [31, 36, 32, 50, 34, 33, 39], [38, 42, 46, 37, 45, 43, 41, 47], [51, 52, 48, 49, 57, 44, 55, 53, 59, 56, 58, 60]]
17: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12], [25, 18, 10], [6, 9, 8, 11, 28, 13, 15, 24, 19, 14, 22, 27, 17, 16, 21, 20, 23, 29, 31, 26, 30, 36, 34, 33, 32, 38, 37, 46, 43, 45, 41, 39, 42, 44, 47, 51], [49, 50, 48, 52, 55, 53, 56, 59, 57, 60, 58]]
18: [[40, 54, 1, 35, 7, 2, 3], [4, 5, 12, 25, 24, 6, 8, 9, 14, 10], [11, 13, 23, 21, 27, 16, 18, 15, 19, 17, 20, 28], [30, 22, 29, 31, 26, 36, 32, 33, 37], [38, 42, 44, 47, 39, 34, 41, 45, 43, 46], [55, 52, 48, 49, 51, 53, 56, 50, 59, 57, 58, 60]]
19: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 11, 18, 6, 15, 9, 10, 8, 14, 31, 19], [20, 13, 16, 22, 21], [17, 25, 30, 26, 23, 27, 28, 24, 29, 37, 32, 33, 34, 38, 47], [36, 44, 41, 45, 42, 39, 46, 43, 49, 48, 55, 56, 50, 51, 52, 57, 59, 60, 58, 53]]
20: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 22, 10, 9, 25, 13, 15, 8, 14, 27, 6, 26, 11, 16, 21, 18, 20, 19, 17, 23, 30, 31, 28, 29, 37, 33, 34, 32, 36, 39], [38, 46, 45, 41, 43, 42, 47, 44, 52, 56, 48, 53, 49, 50, 55, 51, 57, 58, 59, 60]]
21: [[40, 54], [1, 35, 7, 2, 3, 4], [5, 12, 6, 26, 14, 9], [10, 8, 11, 13, 27, 19, 17, 21, 18, 16, 15, 20, 28, 22, 23, 24, 30, 29, 25, 31, 36, 32, 41, 34, 38, 37, 44, 46, 43, 33, 42, 47, 39, 45], [51, 48, 52, 56, 49, 50, 53, 55, 57, 58, 59, 60]]
22: [[40, 54, 1, 35, 7, 2, 3, 4, 5], [12, 24, 26, 9, 15, 10], [28, 8, 6, 11, 29, 21, 18, 14, 13, 25, 17, 16, 27, 19, 20, 31], [23, 22], [30, 38, 32, 33, 34], [37, 36, 46, 39, 41, 47, 42, 45, 43, 44, 51, 52, 49, 48, 53, 55, 50, 59], [56, 57, 58, 60]]
23: [[40, 54, 1, 35, 7, 2], [3, 4, 13, 8], [24, 26, 9, 11, 10, 17], [5, 23, 14, 18, 29, 12, 15, 16, 20, 22, 21, 25, 27, 28, 19, 30, 6, 31, 32, 38, 33, 34, 42], [36, 39, 41, 44, 43, 46, 45, 47, 37, 51, 52], [57, 48, 50, 53, 56, 55, 49, 59, 58, 60]]
24: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 10, 8, 20, 15, 6, 9, 11], [13, 14, 27, 18, 17, 29, 16, 19, 21, 25, 23, 22, 31, 30, 53, 32, 52, 28, 50, 36, 39, 34, 47, 41, 38, 44, 43, 37, 42, 45, 49, 51, 46, 33, 60, 48, 55, 57, 56, 59, 58]]
25: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [24, 27, 10, 6, 8, 9], [13, 11, 23, 14, 18, 15, 21, 16, 19, 17, 30, 22], [20, 25, 26, 28, 31, 29, 37, 32, 34, 33, 38, 43], [44, 45, 36, 41, 39, 42, 46, 47, 51, 48, 49, 57, 56, 50, 52, 55, 58, 59, 60, 53]]
26: [[40, 54], [1, 35, 7, 2], [3, 4, 5], [12, 10, 22, 6], [9, 8, 11, 14, 26, 15], [19, 13, 17, 16, 18], [20, 21, 29, 27], [24, 25, 23, 30, 28, 31, 37], [32, 34, 33, 36, 39, 44], [38, 41, 47, 42, 43, 45], [46, 51], [56, 50, 49, 57, 55], [53, 52, 48, 59, 60, 58]]
27: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 25, 18, 10], [8, 14, 13, 6, 31, 11], [17, 9, 15, 16, 20, 19, 21, 23, 22, 26, 27, 24, 30, 29, 28, 36, 33, 32, 37, 38, 44, 34, 47, 39, 42, 45, 52, 41, 43, 51], [58, 46, 50, 60, 53, 49, 59, 48, 55, 56, 57]]
28: [[40, 54], [1, 35, 7, 2], [3, 4, 5], [12, 24, 27, 8, 6], [11, 10, 14, 22, 15, 26, 13, 16, 9, 19, 18, 17, 20, 31, 25, 21, 29, 28, 23, 30, 37, 32, 34, 33], [38, 42, 46, 47, 36, 39, 41, 43, 45, 44, 51, 48, 50, 49, 57, 53, 52, 55, 58, 56, 59, 60]]
29: [[40, 54, 1], [35, 7, 2, 3, 4], [5, 12, 25, 18, 6, 14, 9, 10, 24, 8, 15, 13, 11, 21, 17, 30, 19, 16, 20, 22, 23, 26, 28, 31, 27, 29, 37, 32, 33, 34], [38, 46, 36, 41, 42], [39, 43, 45, 47, 44, 49, 50, 48, 51, 52, 53, 55, 58, 57, 60], [56, 59]]
30: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 24, 28, 14, 11, 8, 9, 13, 31, 15, 30, 16, 17, 19, 20, 23, 22, 18, 25, 26, 27, 29, 32, 56, 43, 36, 33, 45, 39, 34, 44, 41, 37, 46, 38, 42, 51, 48, 47, 49, 52, 53, 10, 21, 6], [50, 55, 60, 59, 58, 57]]
31: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 26, 24, 8, 13, 25], [28, 15, 11, 10, 17, 6, 16, 9, 30, 18, 14, 19, 20, 21, 23, 27, 22, 29, 31, 37, 32, 34, 33, 36, 46, 38, 39, 42, 47, 41, 45, 43, 44, 51, 48, 56, 50, 49, 55], [52, 53, 57, 58, 59, 60]]
32: [[40, 54, 1, 35, 7, 2], [3, 4], [5, 12, 24, 26, 10, 9, 14, 20, 8, 31, 11, 21, 6, 13, 23, 16, 22, 18, 17, 19, 27, 25, 28, 30, 29, 15, 37], [32, 33, 36, 38, 42, 46], [39, 34, 41, 43, 57, 44, 45, 51], [58, 49, 50, 52, 53, 47, 59, 48, 55, 56, 60]]
33: [[40, 54, 1, 35, 7, 2, 3], [4, 5], [12, 24, 26, 11, 9, 6], [16, 14, 8, 27], [20, 13, 10, 15, 18, 17], [22, 21, 19, 31, 28, 23], [30, 25], [29, 36, 33, 48, 34, 32, 38, 44, 37, 41, 42, 47, 43], [39, 46, 51, 58, 56, 52, 53], [57, 45, 49, 55, 50, 60, 59]]
34: [[40, 54, 1, 35, 7, 2, 3], [4, 13, 8, 25, 10, 9, 12, 14, 15, 28, 18, 11, 31, 19, 22, 16, 17, 24, 26, 23, 21, 20, 6, 27, 29, 30, 60], [32, 39, 33, 37, 34, 38, 36], [47, 5, 43, 41, 46, 44, 42, 51, 48, 59, 45, 52, 55, 49, 53, 50, 58, 56, 57]]
35: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [25, 18, 6, 14, 9, 10], [24, 11, 23, 15, 8, 13, 16, 28, 19, 17, 21, 22], [20, 27, 26, 30, 29, 31, 37, 32, 33, 34, 38, 47], [36, 44, 45, 41, 42], [39, 46, 43, 49, 50, 55, 57, 48, 51, 52, 58, 56, 60, 59, 53]]
36: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 25, 9, 8, 14, 11, 6, 10, 15, 23, 29, 26, 13, 16, 17, 19, 20, 28, 31, 18, 30, 21, 22, 27, 32, 60, 34, 33, 38, 46, 39, 37, 43, 36, 47, 41, 44, 42, 52, 57, 50, 45], [48, 49, 51, 53, 59, 55, 56, 58]]
37: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12], [11, 24, 8, 13, 9, 17], [6, 21, 15, 29, 16, 19], [10, 18], [20, 25, 31, 14, 27], [22, 23, 28, 26, 30, 37, 32, 34], [33, 36, 38, 46, 43, 41, 39, 44, 47, 58, 42, 51, 48, 50, 57, 45, 53, 49, 52, 55, 59, 56, 60]]
38: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 23, 8], [9, 25, 21, 14, 10, 15, 11, 6], [26, 13, 16, 18, 19, 22, 17, 29, 20, 27, 30, 31, 28, 37, 32, 34], [39, 33], [38, 41, 46, 42, 47, 36, 45], [43, 44, 53, 48, 49, 52, 60, 55], [50, 51, 57, 56, 59, 58]]
39: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 28, 20], [10, 8, 13, 6, 11, 9], [14, 27, 17, 15, 22, 16, 21, 19, 24, 26, 23, 18, 31, 25, 29, 53, 37, 32, 36, 30, 33, 38, 47, 39, 34, 41, 42, 46], [43, 56, 51, 49, 50, 57, 45, 44, 48, 52, 59], [58, 55, 60]]
40: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 24, 30, 10], [6, 9, 8, 11, 26, 29, 13, 14, 18, 15, 21, 31, 20, 22, 16, 19, 27], [17, 25, 23, 28, 45, 32, 34, 33, 38, 37, 36, 39, 43, 47, 41, 42, 46, 44, 51, 52, 50, 48, 49, 55, 56, 53, 59, 57, 60, 58]]
41: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 11, 9, 6, 13, 8], [10, 14, 25, 15, 20, 22, 19, 18, 28, 16, 17, 21, 23, 24, 26, 27, 29], [31, 33, 32, 34, 30, 37, 38, 39, 44, 46, 36, 43], [42, 41, 47, 45, 49, 52, 51, 48, 58, 50, 55, 53, 57, 56, 59, 60]]
42: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12, 24, 25, 10], [8, 15, 14, 13, 11, 6, 31, 16, 9, 19, 18, 20], [17, 21, 23, 27, 28, 22, 30, 26, 29, 37, 32], [33, 36, 34, 47, 38, 44, 43, 42, 46], [39, 41, 53, 51, 48, 45, 52, 50], [55, 49, 58, 57, 56, 59, 60]]
43: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 6, 14, 10, 19, 11, 8, 31], [21, 9, 13, 18, 22, 17, 15, 23, 16, 20, 29, 28], [25, 30, 27, 37, 32], [33, 34, 42, 47, 36, 44, 41, 38, 43, 39, 46, 45, 49, 50, 55], [48, 56, 51, 52, 58, 57, 60, 59, 53]]
44: [[40, 54, 1, 35, 7, 2, 3], [4, 5, 12, 25, 10, 6, 9, 14, 19, 8, 13, 15, 24, 16, 27, 11, 18, 20, 17, 23, 21, 28, 22, 26, 29, 30, 31, 36, 32, 48, 34, 44, 37, 46], [33, 38, 45, 42, 39, 43, 41, 53, 47, 56, 55, 57, 50, 52, 49, 58, 59, 51, 60]]
45: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [24, 23, 8, 6, 10, 9, 11, 22, 15, 13, 17, 21, 14], [19, 16, 18, 26, 28, 25], [30, 20], [27, 31, 29, 37, 32, 33, 38], [34, 39, 46, 36, 45, 42, 44, 43], [41, 47, 51, 48, 49, 53, 52, 55, 50, 57, 56, 58, 59, 60]]
46: [[40, 54, 1, 35, 7, 2, 3, 4], [5, 12, 24, 28, 10, 8, 11, 6, 13, 29, 9, 14, 22, 25, 23, 18, 19, 20, 17, 21, 15, 16, 27, 26, 30, 31, 37, 32, 33, 38, 34, 39, 46, 42, 36, 43, 44, 41, 45, 47, 51, 48, 59, 49, 52, 53], [60, 57, 50, 55, 58, 56]]
47: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 9, 10, 14, 21, 6, 8, 31], [16, 13, 11, 15, 18, 20, 17], [23, 19, 22, 28, 29, 25, 30, 27, 37, 33, 32, 34, 41, 38, 46, 36, 42, 44, 45, 39, 47, 43, 51, 48, 50, 55, 49, 57, 52, 53, 59, 56, 58, 60]]
48: [[40, 54, 1, 35, 2], [7], [4, 5], [12, 25, 17, 14, 3, 11, 9], [8, 15, 16, 13, 27, 18, 10, 21, 6], [23, 19, 20, 24, 31, 26, 22], [28, 30, 29, 37, 32, 33, 36, 34, 38], [39, 45, 41, 47, 42, 46, 44, 43, 53, 48, 50, 52, 60, 55, 49, 56, 57], [58, 59, 51]]
49: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 25, 11, 8, 10, 9], [15, 19, 13, 20, 28, 30, 26, 18, 6, 24, 22, 14, 17, 16, 27, 21, 31, 23, 29, 52, 37, 45, 32, 36, 44, 34, 33, 47, 38, 39, 43, 41, 46, 50, 55, 51, 42, 49, 48, 59, 53, 57, 58, 56, 60]]
50: [[40, 54], [1, 35, 7, 2, 3, 4], [5, 12, 6, 10, 14, 9], [8, 11, 21, 13, 27, 19], [17, 20, 18, 22, 15, 16, 24, 23, 26], [28, 30, 25, 29, 31, 37, 32], [33, 34, 38, 39, 36, 41, 43, 42, 46], [45, 44, 47, 49, 50, 52, 56, 48, 51, 53], [55, 57, 60, 59, 58]]
51: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 26, 8], [6, 14, 9, 25, 10, 15, 11, 17], [16, 13], [18, 20, 19, 22, 21, 27, 29], [28, 31, 30, 32, 37, 23, 33, 34, 36, 38], [46, 44, 43, 42], [41, 39, 45, 47, 53, 52], [48, 49, 58, 55, 50, 57, 51, 56, 59, 60]]
