0: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22], [23, 21, 24]]
1: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20, 22], [23, 21, 24]]
2: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22], [23, 21, 24]]
3: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22, 23, 21, 24]]
4: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15], [18, 17, 19], [20, 22], [23, 21, 24]]
5: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18, 17], [19, 20, 22], [23, 21, 24]]
6: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10, 8], [15, 18], [17, 19, 20], [22], [23, 21, 24]]
7: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9, 12], [14, 10, 8], [15, 18], [17, 19], [20, 22], [23, 21, 24]]
8: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22, 23, 21, 24]]
9: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22, 23, 21, 24]]
10: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20], [22, 23, 21, 24]]
11: [[2, 3], [1, 11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8, 15, 18], [17, 19, 20, 22], [23, 21, 24]]
12: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13], [9, 12, 14], [10, 8, 15, 18, 17, 19, 20, 22], [23, 21, 24]]
13: [[2, 3, 1], [11, 7, 16], [5, 4, 6], [13, 9, 12], [14, 10, 8], [15, 18, 17], [19, 20, 22], [23, 21, 24]]
14: [[2, 3, 1], [11, 7, 16], [5, 4], [6, 13, 9], [12, 14], [10, 8, 15], [18, 17, 19], [20, 22], [23, 21, 24]]
15: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8], [15, 18, 17], [19, 20, 22], [23, 21, 24]]
16: [[2, 3, 1], [11, 7], [16, 5, 4], [6, 13, 9], [12, 14, 10], [8], [15, 18, 17], [19, 20, 22], [23, 21, 24]]
