It No., Best MQ, No clusters, max clus, min clus
1,2.0506627642318005,8,3,3
2,1.9209214981375093,7,4,3
3,1.6276101121240292,5,5,4
4,1.805097884944694,6,4,4
5,1.9714869281045753,8,3,3
6,1.8612100207314564,5,5,4
7,1.9426777564077335,8,3,3
8,1.8729987499958556,7,4,3
9,2.063469897242717,8,3,3
10,2.0323118341161646,8,3,3
11,1.8472906403940885,5,5,4
12,1.8853028297724839,6,4,4
13,1.8615969489956226,5,5,4
14,1.9634266665706828,8,3,3
15,1.9557942057942057,8,3,3
16,1.8418677881346177,5,5,4
17,2.058198757763975,9,3,2
18,1.9761243386243386,8,3,3
19,2.009154957405018,8,3,3
20,1.920662581661928,6,4,4
21,2.122542881758862,7,4,3
22,2.000322251833464,7,4,3
23,1.8228347418123625,5,5,4
24,1.7920262743792157,6,4,4
25,1.9142945958871351,6,4,4
26,1.9486375245479612,6,4,4
27,1.6016604127579739,5,5,4
28,1.3952380952380952,4,6,6
29,1.9427785241578346,8,3,3
30,1.744348659949683,5,5,4
31,1.8674103674103675,7,4,3
