0: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11, 20, 2, 14, 5], [13, 32, 19, 23, 34, 30, 16, 31], [22, 29, 24], [26, 25, 28]]
1: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11, 20, 2, 14, 5], [13, 32, 19, 23, 34, 30, 16, 31], [22, 29, 24], [26, 25, 28]]
2: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4, 12], [11, 20, 2], [14, 5, 13], [32, 19, 23], [34, 30, 16, 31], [22, 29, 24], [26, 25, 28]]
3: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7, 3], [1, 4, 12], [11, 20, 2, 14], [5, 13, 32], [19, 23, 34, 30, 16, 31], [22, 29, 24], [26, 25, 28]]
4: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7, 3], [1, 4, 12], [11, 20, 2, 14], [5, 13, 32], [19, 23, 34, 30, 16, 31], [22, 29, 24], [26, 25, 28]]
5: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11], [20, 2, 14], [5, 13, 32], [19, 23, 34, 30], [16, 31, 22], [29, 24], [26, 25, 28]]
6: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11], [20, 2, 14], [5, 13, 32], [19, 23, 34, 30], [16, 31, 22], [29, 24], [26, 25, 28]]
7: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11], [20, 2, 14], [5, 13], [32, 19, 23, 34], [30, 16, 31, 22], [29, 24], [26, 25, 28]]
8: [[33, 15, 8], [37, 6], [17, 21, 27], [9, 10, 18], [35, 36, 7, 3], [1, 4, 12], [11, 20, 2], [14, 5, 13], [32, 19, 23, 34], [30, 16, 31], [22, 29, 24], [26, 25, 28]]
9: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11, 20], [2, 14], [5, 13, 32], [19, 23, 34], [30, 16, 31], [22, 29, 24], [26, 25, 28]]
10: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11, 20, 2], [14, 5, 13], [32, 19, 23], [34, 30, 16, 31], [22, 29, 24, 26], [25, 28]]
11: [[33, 15, 8], [37, 6], [17, 21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11, 20], [2, 14], [5, 13, 32], [19, 23, 34], [30, 16, 31], [22, 29, 24], [26, 25, 28]]
12: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11], [20, 2, 14], [5, 13, 32], [19, 23, 34], [30, 16, 31], [22, 29, 24], [26, 25, 28]]
13: [[33, 15, 8], [37, 6, 17], [21, 27], [9, 10, 18], [35, 36, 7], [3, 1, 4], [12, 11], [20, 2, 14], [5, 13, 32], [19, 23, 34], [30, 16, 31], [22, 29, 24], [26, 25, 28]]
