0: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62], [68, 67, 64, 70, 65], [79, 66, 77, 71, 72, 69, 75, 73, 78, 74, 76, 80, 85, 83, 84, 81, 86, 82, 87, 88]]
1: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62], [68, 67, 64], [70, 65, 79, 66, 77, 71, 72, 69], [75, 73, 78, 74, 76, 80, 85, 83, 84], [81, 86, 82, 87, 88]]
2: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62], [68, 67, 64, 70, 65], [79], [66, 77, 71, 72, 69, 75, 73, 78, 74, 76, 80, 85, 83, 84, 81, 86, 82, 87, 88]]
3: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62], [68, 67, 64], [70, 65, 79, 66, 77], [71, 72, 69, 75, 73], [78, 74], [76, 80, 85, 83], [84, 81, 86, 82], [87, 88]]
4: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62], [68, 67, 64], [70, 65, 79, 66, 77, 71, 72], [69, 75, 73], [78, 74], [76, 80, 85, 83, 84], [81, 86, 82, 87, 88]]
5: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62, 68, 67], [64, 70, 65, 79], [66, 77, 71, 72, 69, 75, 73, 78, 74, 76, 80, 85, 83, 84, 81, 86, 82, 87, 88]]
6: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34, 45, 36], [38, 42], [39, 40, 41, 44, 60, 63, 46], [56, 47, 52, 53], [61, 48], [55, 49], [59, 58, 57, 62], [68, 67, 64, 70], [65, 79, 66, 77, 71, 72, 69, 75, 73, 78, 74, 76, 80], [85, 83, 84, 81, 86, 82], [87, 88]]
7: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35, 33, 34, 45], [36, 38, 42, 39], [40, 41, 44, 60], [63, 46, 56, 47, 52], [53, 61, 48, 55, 49], [59, 58, 57, 62], [68, 67], [64, 70, 65, 79, 66, 77, 71, 72, 69, 75, 73, 78, 74, 76, 80, 85, 83, 84, 81, 86, 82, 87, 88]]
8: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35], [33, 34], [45, 36, 38, 42, 39, 40, 41], [44, 60, 63], [46, 56, 47, 52, 53], [61, 48], [55, 49, 59], [58, 57, 62, 68], [67, 64, 70, 65, 79], [66, 77, 71, 72, 69, 75, 73], [78, 74, 76, 80, 85, 83, 84, 81, 86], [82, 87, 88]]
9: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35, 33, 34, 45], [36, 38], [42, 39, 40, 41, 44, 60, 63], [46, 56, 47], [52, 53, 61, 48, 55], [49, 59, 58, 57, 62], [68, 67], [64, 70, 65, 79], [66, 77, 71, 72, 69, 75, 73, 78, 74, 76, 80, 85, 83, 84, 81, 86, 82, 87, 88]]
10: [[5, 2, 43, 12, 3, 1, 4, 22, 23, 13], [14, 15], [6, 7, 9, 26, 8, 10, 19], [11, 17, 20, 16, 18, 21], [25, 28], [24, 30, 27, 29], [54, 31, 37, 50], [51, 32, 35, 33, 34, 45, 36], [38, 42], [39, 40], [41, 44, 60], [63, 46, 56, 47, 52, 53, 61], [48, 55, 49, 59], [58, 57, 62, 68, 67], [64, 70], [65, 79, 66, 77, 71, 72, 69], [75, 73, 78, 74, 76, 80, 85, 83, 84, 81, 86, 82, 87, 88]]
