0: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
1: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
2: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
3: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
4: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
5: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
6: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
7: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
8: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
9: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
10: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
11: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
12: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
13: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
14: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
15: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
16: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
17: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
18: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
19: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
20: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
21: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
22: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
23: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
24: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
25: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
26: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
27: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
28: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
29: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
30: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
31: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
32: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
33: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
34: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
35: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
36: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
37: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
38: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
39: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
40: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
41: [[10, 5, 7, 2], [1, 3, 8, 4, 6], [13, 11, 12, 9], [14, 19, 15, 16, 17, 20, 18]]
