0: [[43, 39, 5, 3, 1, 10, 6], [2, 68], [4, 15], [7, 8, 9, 28, 11], [12, 25, 13, 22], [14, 16, 17, 18], [19, 21, 50], [20, 31, 26], [23, 24], [56, 27, 29], [30, 33], [34, 32, 35], [54, 37], [42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58], [66, 65], [64, 86], [67, 71], [69, 70, 74], [77, 75, 72], [73, 76, 78], [79, 82], [81, 84], [80, 83, 85], [87, 88]]
1: [[43, 39, 5, 3, 1, 10, 6], [2, 68], [4, 15], [7, 8, 9, 28, 11], [12, 25, 13, 22], [14, 16, 17, 18], [19, 21, 50], [20, 31, 26], [23, 24], [56, 27, 29], [30, 33], [34, 32, 35], [54, 37], [42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58], [66, 65], [64, 86], [67, 71], [69, 70, 74], [77, 75, 72], [73, 76, 78], [79, 82], [81, 84], [80, 83, 85], [87, 88]]
2: [[43, 39, 5], [3, 1, 10], [6, 2, 68], [4, 15], [7, 8], [9, 28], [11, 12, 25], [13, 22, 14], [16, 17, 18], [19, 21, 50], [20, 31, 26], [23, 24], [56, 27], [29, 30, 33], [34, 32], [35, 54, 37], [42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58, 66], [65, 64, 86], [67, 71, 69], [70, 74, 77], [75, 72, 73], [76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
3: [[43, 39], [5, 3, 1], [10, 6], [2, 68, 4], [15, 7, 8], [9, 28, 11], [12, 25, 13], [22, 14, 16], [17, 18], [19, 21, 50], [20, 31, 26], [23, 24], [56, 27, 29], [30, 33, 34], [32, 35, 54], [37, 42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58, 66, 65], [64, 86, 67], [71, 69, 70], [74, 77], [75, 72], [73, 76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
4: [[43, 39], [5, 3, 1], [10, 6, 2], [68, 4, 15], [7, 8, 9], [28, 11, 12], [25, 13, 22], [14, 16, 17], [18, 19, 21], [50, 20, 31], [26, 23, 24], [56, 27, 29], [30, 33], [34, 32], [35, 54, 37], [42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58, 66], [65, 64], [86, 67], [71, 69], [70, 74], [77, 75, 72], [73, 76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
5: [[43, 39], [5, 3], [1, 10, 6], [2, 68, 4], [15, 7, 8], [9, 28, 11, 12], [25, 13, 22], [14, 16], [17, 18, 19], [21, 50, 20], [31, 26], [23, 24], [56, 27], [29, 30, 33], [34, 32, 35], [54, 37], [42, 38], [44, 36], [41, 40], [47, 45, 46], [61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58, 66], [65, 64, 86], [67, 71, 69], [70, 74, 77], [75, 72], [73, 76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
6: [[43, 39, 5], [3, 1, 10], [6, 2, 68], [4, 15, 7], [8, 9, 28], [11, 12, 25], [13, 22, 14], [16, 17, 18], [19, 21, 50], [20, 31], [26, 23, 24], [56, 27, 29], [30, 33], [34, 32, 35], [54, 37], [42, 38], [44, 36, 41], [40, 47, 45], [46, 61], [48, 49, 51], [52, 55, 53], [59, 57, 60], [63, 62, 58], [66, 65, 64], [86, 67, 71], [69, 70, 74], [77, 75, 72], [73, 76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
7: [[43, 39, 5], [3, 1, 10], [6, 2, 68], [4, 15], [7, 8, 9], [28, 11, 12], [25, 13, 22], [14, 16, 17], [18, 19], [21, 50, 20], [31, 26], [23, 24], [56, 27, 29], [30, 33, 34], [32, 35, 54], [37, 42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51, 52], [55, 53, 59], [57, 60, 63], [62, 58, 66], [65, 64, 86], [67, 71, 69], [70, 74, 77], [75, 72, 73], [76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
8: [[43, 39, 5, 3, 1, 10, 6], [2, 68], [4, 15], [7, 8, 9, 28, 11], [12, 25, 13, 22], [14, 16, 17, 18], [19, 21, 50], [20, 31, 26], [23, 24], [56, 27, 29], [30, 33], [34, 32], [35, 54, 37], [42, 38, 44, 36], [41, 40], [47, 45, 46], [61, 48, 49], [51, 52, 55], [53, 59, 57], [60, 63, 62], [58, 66, 65], [64, 86, 67], [71, 69, 70, 74, 77, 75, 72, 73, 76, 78, 79, 82, 81, 84, 80, 83, 85, 87, 88]]
9: [[43, 39], [5, 3], [1, 10, 6], [2, 68, 4], [15, 7], [8, 9, 28], [11, 12, 25], [13, 22, 14], [16, 17, 18], [19, 21, 50], [20, 31], [26, 23, 24], [56, 27], [29, 30, 33, 34], [32, 35, 54], [37, 42, 38], [44, 36, 41], [40, 47, 45, 46], [61, 48, 49], [51, 52, 55], [53, 59, 57], [60, 63, 62], [58, 66, 65, 64], [86, 67, 71], [69, 70, 74], [77, 75, 72], [73, 76, 78], [79, 82, 81], [84, 80, 83], [85, 87, 88]]
10: [[43, 39], [5, 3], [1, 10, 6], [2, 68, 4], [15, 7], [8, 9, 28], [11, 12], [25, 13], [22, 14, 16], [17, 18], [19, 21, 50], [20, 31, 26], [23, 24, 56], [27, 29], [30, 33, 34], [32, 35, 54], [37, 42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51], [52, 55, 53], [59, 57, 60], [63, 62, 58], [66, 65, 64], [86, 67, 71], [69, 70], [74, 77, 75], [72, 73, 76], [78, 79, 82], [81, 84, 80], [83, 85], [87, 88]]
11: [[43, 39], [5, 3], [1, 10, 6], [2, 68, 4], [15, 7], [8, 9, 28], [11, 12], [25, 13], [22, 14, 16], [17, 18], [19, 21, 50], [20, 31, 26], [23, 24, 56], [27, 29], [30, 33, 34], [32, 35, 54], [37, 42, 38], [44, 36, 41], [40, 47, 45], [46, 61, 48], [49, 51], [52, 55, 53], [59, 57, 60], [63, 62, 58], [66, 65, 64], [86, 67, 71], [69, 70], [74, 77, 75], [72, 73, 76], [78, 79, 82], [81, 84, 80], [83, 85], [87, 88]]
