0: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 28, 24, 14], [21, 25, 20, 26, 27, 29]]
1: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 16, 28], [21, 25, 20, 26, 27, 29]]
2: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
3: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
4: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
5: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 24, 23, 16, 28, 14], [21, 25, 20, 26, 27, 29]]
6: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
7: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 16, 23, 24, 28, 14], [21, 25, 20, 26, 27, 29]]
8: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
9: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
10: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
11: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
12: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
13: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
14: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 24, 23, 28, 16], [21, 25, 20, 26, 27, 29]]
15: [[1, 6, 5, 2, 19, 9, 7, 10], [3, 4, 8, 15, 11, 13, 12], [22, 17, 18, 14, 16, 23, 28, 24], [21, 25, 20, 26, 27, 29]]
