0: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
1: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
2: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
3: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
4: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
5: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
6: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
7: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
8: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
9: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
10: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
11: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
12: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
13: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
14: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
15: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
16: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
17: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
18: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
19: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
20: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
21: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
22: [[7, 14, 5, 11], [19, 2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
23: [[7, 14, 5, 11], [19, 2, 9, 1, 8], [22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
24: [[7, 14, 5, 11, 19], [2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
25: [[7, 14, 5, 11, 19], [2, 9, 1], [8, 22, 12, 13, 20, 15, 4, 21, 18], [24, 23], [3, 6, 10, 16, 17]]
