0: [[28, 9, 8, 13, 16, 14], [26, 21, 27], [2, 6, 5, 25], [23, 17, 24, 7], [15, 11, 18, 12], [19, 1, 22], [29, 4, 3, 20, 10]]
1: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
2: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
3: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
4: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
5: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
6: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
7: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
8: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
9: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
10: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
11: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
12: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
13: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
14: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
15: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
16: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
17: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
18: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
19: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
20: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
21: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
22: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
23: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
24: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
25: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
26: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
27: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
28: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
29: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
30: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
31: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
32: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
33: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
34: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
35: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
36: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
37: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
38: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
39: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
40: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
41: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
42: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
43: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
44: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
45: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
46: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
47: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 27, 25, 26, 29]]
48: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
49: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
50: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
51: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
52: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
53: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
54: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
55: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
56: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
57: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
58: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
59: [[19, 17, 9, 2, 10, 6, 1, 7, 5, 16], [15, 3, 4, 12, 23, 8, 11, 13, 18, 22], [14, 24, 21, 28, 20, 25, 27, 26, 29]]
