0: [[3, 1], [14, 6, 4], [7, 2, 5, 10, 8], [11, 13, 12, 9], [15, 17, 16, 19, 18, 20]]
1: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 8], [13, 11, 12, 9], [15, 16, 17, 18, 19, 20]]
2: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 8], [13, 11, 12], [16, 15, 9], [17, 18, 19, 20]]
3: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 8], [9, 11, 13, 12, 15, 16], [17, 19, 18, 20]]
4: [[3, 1], [14, 5, 6, 4], [2, 7, 10, 8], [12, 11, 13, 9], [16, 17, 15], [19, 18, 20]]
5: [[3, 1], [14, 6, 4], [5, 7, 2, 10, 8], [13, 15, 9], [11, 12, 16], [17, 19, 18, 20]]
6: [[3, 1], [14, 6, 4], [7, 2, 5, 10, 9], [8, 11, 13, 12], [15, 16, 17, 19, 18, 20]]
7: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 9], [11, 12, 13, 8], [15, 17, 16, 19, 18, 20]]
8: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 9], [11, 12, 13, 8], [15, 17, 16, 19, 18, 20]]
9: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 9], [11, 12, 13, 8], [15, 17, 16, 19, 18, 20]]
10: [[3, 1], [14, 6, 4], [2, 5, 7, 10, 9], [8, 11, 13, 12, 15, 16], [17, 19, 18, 20]]
11: [[3, 1], [14, 6, 4, 5], [2, 7, 10, 8, 9], [12, 13, 15, 11, 16], [17, 19, 18, 20]]
12: [[3, 1], [14, 6, 4], [7, 2, 5], [10, 8, 9, 11, 13], [12, 15, 17, 16], [19, 18, 20]]
13: [[3, 1], [14, 6, 4], [7, 2, 5], [10, 8, 9, 11, 13], [12, 15, 17, 16], [19, 18, 20]]
14: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 8], [13, 11, 9, 12, 15], [17, 16, 19], [18, 20]]
15: [[3, 1], [14, 6, 4], [5, 2, 7], [10, 8, 9], [12, 11, 13, 15], [16], [17, 19, 18, 20]]
16: [[3, 1], [14, 6, 4], [7, 5, 2], [10, 8, 11], [13, 12, 15, 17, 9], [16, 19, 18, 20]]
17: [[3, 1], [14, 5, 6, 4], [2, 7], [10, 8, 13, 9], [11, 12, 16, 15], [17, 19, 18, 20]]
18: [[3, 1, 14], [6, 4], [5, 2, 7, 10], [8, 13, 11, 9], [12, 15, 16], [17, 19, 18, 20]]
19: [[3, 1], [14, 6, 4, 5], [2, 7, 10], [8, 13, 9, 12, 16, 15, 11, 17], [19, 18, 20]]
20: [[3, 1], [14, 6], [4, 7, 2, 5, 10, 9, 8, 11, 13], [12, 15, 17, 16, 18, 19, 20]]
21: [[3, 1], [14, 6, 4], [7, 2, 5], [10, 8, 13, 15, 9], [11, 12, 17, 16], [19, 18, 20]]
22: [[3, 1], [14, 2], [6, 5, 4], [7, 8, 10], [12, 13, 11], [9, 15, 17, 16], [18, 19, 20]]
23: [[3, 1], [14, 7, 6, 4], [2, 5, 10], [8, 12, 13, 11], [20, 17, 9], [19, 18, 16, 15]]
24: [[3, 1, 14, 6], [4, 5, 2, 7], [10, 8, 11], [12, 13, 9, 15], [17, 16, 19, 18, 20]]
25: [[3, 1], [14, 6, 4, 5], [2, 7], [10, 8, 11], [12, 13, 9, 15, 17], [16, 19, 18, 20]]
26: [[3, 1, 14, 6, 4], [7, 2], [5, 10, 8, 9], [12, 13, 11, 15], [16, 17, 19, 18, 20]]
27: [[3, 1, 14, 6], [4, 5], [2, 7, 10, 8], [11, 13, 15, 9], [12, 16, 17, 19, 18, 20]]
28: [[3, 1, 14, 6, 4], [5, 2, 7, 10, 8, 11], [12, 13, 17, 15, 9, 16, 19, 18, 20]]
29: [[3, 1], [14, 7, 6, 4], [2, 5, 10], [8, 12], [13, 11, 17, 9], [19, 18, 16, 20, 15]]
30: [[3, 1], [14, 5, 6], [2, 7, 10], [8, 11, 12], [13, 17, 4, 9], [16, 19, 18, 20, 15]]
31: [[3, 1], [14, 6, 4], [5, 2, 7, 10, 9, 8, 15, 13, 11], [12, 16, 17, 18, 19, 20]]
32: [[3, 1, 14], [6, 4, 7], [2, 5, 10, 8, 11], [12, 13, 9, 15], [16, 17, 19, 18, 20]]
33: [[3, 1, 14], [6, 4, 7], [2, 5, 10, 9], [8, 11], [13, 12, 15, 16], [17, 19, 18, 20]]
34: [[3, 1], [14, 6, 4], [7, 2], [5, 10, 9], [8, 13, 15], [11, 12, 17, 16], [19, 18, 20]]
35: [[3, 1, 14], [5, 6, 4], [2, 7, 10, 8], [15, 11, 13, 12, 17, 16, 19, 18, 20, 9]]
36: [[3, 1], [14, 6, 4], [7, 2, 5], [10, 8, 12], [9, 15, 11, 13], [16, 17, 19, 18], [20]]
37: [[3, 1], [14, 7, 6, 4], [2, 5], [10, 8, 12, 13], [11, 16, 19, 15, 9], [17, 18, 20]]
38: [[3, 1], [14, 6, 4], [5, 2, 15, 8, 12], [7, 13, 10, 9], [17, 16, 11], [18, 19, 20]]
39: [[3, 1], [14, 6, 4], [5, 15, 2], [10, 8, 9], [12, 13], [16, 7, 11, 18], [19, 17, 20]]
40: [[3, 1], [14, 6, 4], [5, 15, 2], [10, 8, 9, 12, 7], [16, 11, 13, 17], [19, 20, 18]]
41: [[3, 1], [14, 7, 6, 4, 2, 5, 10, 8, 9, 13, 15, 12, 11, 16, 17, 19], [18, 20]]
