0: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
1: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 3, 4, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
2: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 23, 19], [21, 26, 25, 27, 29]]
3: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
4: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 23, 19, 14], [21, 26, 25, 27, 29]]
5: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 23, 14, 19, 18], [21, 26, 25, 27, 29]]
6: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 23, 19], [21, 26, 25, 27, 29]]
7: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 18, 14, 23, 19], [21, 26, 25, 27, 29]]
8: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 23, 14, 19, 18], [21, 26, 25, 27, 29]]
9: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 23, 18, 19, 14], [21, 26, 25, 27, 29]]
10: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
11: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 23, 14, 18, 19], [21, 26, 25, 27, 29]]
12: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 3, 4, 15, 12], [14, 22, 7, 20, 18, 23, 19], [21, 26, 25, 27, 29]]
13: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 3, 4, 15, 12], [20, 22, 7, 14, 18, 23, 19], [21, 26, 25, 27, 29]]
14: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 3, 4, 15, 12], [20, 22, 7, 14, 18, 19, 23], [21, 26, 25, 27, 29]]
15: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
16: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
17: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
18: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
19: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
20: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
21: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
22: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
23: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [11, 8, 4, 3, 15, 12], [20, 22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
24: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 14, 23, 18, 19], [21, 26, 25, 27, 29]]
25: [[24, 28, 5, 6, 2, 10], [17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12, 20], [22, 7, 18, 14, 19, 23], [21, 26, 25, 27, 29]]
26: [[24, 28, 5, 6, 2], [10, 17, 1, 9, 13, 16], [3, 8, 4, 11, 15, 12], [20, 22, 7, 14, 18, 23, 19], [21, 26, 25, 27, 29]]
27: [[24, 28, 5, 6, 2], [17, 1, 9, 13, 16, 10], [3, 8, 4, 11, 15, 12], [20, 22, 7, 19, 18, 23, 14], [21, 26, 25, 27, 29]]
