0: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
1: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
2: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
3: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
4: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
5: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
6: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
7: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
8: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
9: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
10: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
11: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
12: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
13: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
14: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
15: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
16: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
17: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
18: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
19: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
20: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
21: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
22: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
23: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
24: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
25: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
26: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
27: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
28: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
29: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
30: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
31: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
32: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
33: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
34: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
35: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
36: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
37: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
38: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
39: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
40: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
41: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
42: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
43: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
44: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
45: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
46: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
47: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
48: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
49: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
50: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
51: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
52: [[29, 2, 7, 1, 24, 19], [3, 6, 5, 20, 10], [4, 13, 11, 8, 15, 12, 14], [9, 16, 17, 18, 23, 22], [21, 27, 25, 26, 28]]
