0: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
1: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 16, 18], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
2: [[19, 5, 2, 6, 1, 10], [3, 8, 12, 4, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
3: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
4: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
5: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
6: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
7: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
8: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
9: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
10: [[19, 5, 2, 6, 1, 10], [3, 12, 4, 8, 11], [13, 9, 15, 17, 14, 18, 16], [7, 20, 23, 28, 24, 22], [26, 21, 25, 27, 29]]
