0: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63], [47, 55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60], [74, 67], [65, 70, 66], [68, 69, 64], [71, 76], [75, 72, 73], [77, 78], [79, 80, 82], [81, 87], [83, 84, 85, 86, 88]]
1: [[12, 43, 23], [13, 1], [2, 6, 3, 7, 4, 5], [10, 9], [8, 30, 11], [15, 14, 20], [27, 21, 17], [18, 16, 19], [22, 24], [29, 57], [26, 25, 28], [31, 50], [37, 54, 33, 35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63], [47, 55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60], [74, 67], [65, 70, 66], [68, 69, 64], [71, 76], [75, 72, 73], [77, 78], [79, 80, 82], [81, 87], [83, 84, 85, 86, 88]]
2: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18], [16, 19, 22, 24], [29, 57], [26, 25, 28], [31, 50, 37], [54, 33], [35, 32, 38], [42, 34, 36], [39, 44], [40, 41], [46, 45, 52], [63, 47, 55], [49, 56], [48, 51, 61], [53, 62, 58], [59, 60, 74], [67, 65, 70], [66, 68, 69], [64, 71], [76, 75, 72], [73, 77, 78], [79, 80, 82], [81, 87, 83], [84], [85, 86, 88]]
3: [[12, 43], [23, 13], [1, 2, 6], [3, 7, 4, 5], [10, 9, 8, 30], [11, 15, 14], [20, 27], [21, 17, 18], [16, 19, 22], [24, 29], [57, 26], [25, 28, 31], [50, 37, 54], [33, 35, 32], [38, 42, 34], [36, 39, 44], [40, 41, 46], [45, 52, 63, 47], [55, 49], [56, 48, 51, 61], [53, 62, 58], [59, 60, 74, 67], [65, 70, 66, 68], [69, 64, 71], [76, 75], [72, 73, 77, 78], [79, 80, 82], [81, 87], [83, 84, 85], [86, 88]]
4: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19], [22, 24], [29, 57, 26], [25, 28, 31], [50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40, 41], [46, 45, 52], [63, 47, 55], [49], [56, 48, 51, 61, 53, 62, 58, 59, 60, 74, 67, 65, 70, 66, 68, 69, 64, 71, 76, 75, 72, 73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
5: [[12, 43], [23, 13], [1, 2], [6, 3], [7, 4], [5, 10, 9], [8, 30, 11], [15, 14], [20, 27], [21, 17], [18, 16], [19, 22], [24, 29], [57, 26, 25, 28], [31, 50, 37], [54, 33], [35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63], [47, 55, 49, 56], [48, 51, 61, 53], [62, 58, 59, 60], [74, 67], [65, 70, 66], [68, 69], [64, 71, 76], [75, 72, 73], [77, 78, 79, 80], [82, 81, 87], [83, 84], [85, 86, 88]]
6: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16, 19, 22], [24, 29, 57], [26, 25, 28], [31, 50, 37, 54], [33, 35], [32, 38, 42], [34, 36, 39], [44, 40, 41], [46, 45], [52, 63], [47, 55, 49], [56, 48, 51], [61, 53], [62, 58, 59], [60, 74, 67], [65, 70], [66, 68, 69], [64, 71, 76, 75, 72, 73], [77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
7: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17], [18, 16], [19, 22, 24], [29, 57, 26], [25, 28, 31], [50, 37], [54, 33], [35, 32], [38, 42, 34, 36], [39, 44, 40], [41, 46], [45, 52, 63], [47, 55], [49, 56], [48, 51, 61], [53, 62, 58, 59], [60, 74, 67], [65, 70], [66, 68, 69, 64, 71], [76, 75, 72], [73, 77, 78, 79, 80, 82, 81, 87, 83, 84, 85, 86, 88]]
8: [[12, 43, 23, 13, 1, 2], [6, 3, 7, 4, 5, 10], [9, 8], [30, 11], [15, 14], [20, 27], [21, 17, 18, 16, 19, 22, 24, 29, 57, 26, 25, 28, 31, 50], [37, 54, 33], [35, 32, 38, 42], [34, 36, 39], [44, 40, 41], [46, 45], [52, 63, 47, 55], [49, 56, 48], [51, 61], [53, 62, 58], [59, 60, 74, 67], [65, 70], [66, 68], [69, 64, 71, 76], [75, 72, 73], [77, 78], [79, 80, 82], [81, 87], [83, 84, 85], [86, 88]]
9: [[12, 43, 23], [13, 1], [2, 6, 3], [7, 4, 5], [10, 9, 8], [30, 11, 15], [14, 20], [27, 21, 17], [18, 16, 19], [22, 24], [29, 57], [26, 25, 28], [31, 50, 37], [54, 33], [35, 32], [38, 42], [34, 36, 39], [44, 40], [41, 46], [45, 52, 63], [47, 55, 49, 56], [48, 51, 61], [53, 62, 58], [59, 60], [74, 67], [65, 70, 66], [68, 69, 64], [71, 76], [75, 72, 73], [77, 78], [79, 80, 82], [81, 87], [83, 84, 85, 86, 88]]
10: [[12, 43], [23, 13, 1], [2, 6, 3], [7, 4], [5, 10, 9], [8, 30, 11], [15, 14, 20], [27, 21, 17], [18, 16, 19, 22], [24, 29, 57], [26, 25, 28], [31, 50, 37, 54], [33, 35, 32], [38, 42], [34, 36, 39], [44, 40, 41], [46, 45], [52, 63], [47, 55], [49, 56, 48], [51, 61, 53], [62, 58, 59], [60, 74], [67, 65, 70], [66, 68], [69, 64, 71], [76, 75, 72], [73, 77, 78], [79, 80, 82, 81], [87, 83, 84], [85, 86, 88]]
