0: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
1: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
2: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
3: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
4: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
5: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
6: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
7: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
8: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
9: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
10: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
11: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
12: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
13: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
14: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
15: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
16: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
17: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
18: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
19: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
20: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
21: [[2, 7, 19, 1, 6, 5], [11, 4, 3, 8, 15, 13, 10, 12], [9, 16, 18, 17, 14], [20, 25, 23, 22], [21, 26, 27, 29], [24, 28]]
