0: [[9, 13, 15, 8, 2, 1], [16, 3, 22, 4, 11, 18, 6, 7, 5, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
1: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
2: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
3: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
4: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
5: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
6: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
7: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
8: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
9: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
10: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
11: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
12: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
13: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
14: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
15: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
16: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
17: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
18: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
19: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
20: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
21: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
22: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
23: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
24: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
25: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
26: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
27: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
28: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
29: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
30: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7], [10, 14, 19, 20, 12, 17], [21, 24, 23]]
31: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7], [10, 14, 19, 20, 12, 17], [21, 24, 23]]
32: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7], [10, 14, 19, 20, 12, 17], [21, 24, 23]]
33: [[9, 13, 15, 8], [2, 1, 16, 5, 3, 22, 4, 11, 18, 6, 7], [10, 14, 19, 20, 12, 17], [21, 24, 23]]
34: [[9, 13, 15, 8, 2], [1, 16, 5, 3, 22, 4, 11, 18, 6, 7], [10, 14, 19, 20, 12, 17], [21, 24, 23]]
35: [[9, 13, 15, 8, 2], [1, 16, 5, 3, 22, 4, 11, 18, 6, 7], [10, 14, 19, 20, 12, 17], [21, 24, 23]]
36: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 10, 12], [14, 19, 20, 17], [21, 24, 23]]
37: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 10, 12], [14, 19, 20, 17], [21, 24, 23]]
38: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 10, 12], [14, 19, 20, 17], [21, 24, 23]]
39: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
40: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
41: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 19, 20, 17], [21, 24, 23]]
42: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 10, 12], [14, 19, 20, 17], [21, 24, 23]]
43: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 10, 12], [14, 19, 20, 17], [21, 24, 23]]
44: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 17, 19, 20, 21], [24, 23]]
45: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12], [10, 14, 17, 19, 20, 21], [24, 23]]
46: [[9, 13, 15, 8, 2, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7, 12, 10], [14, 17, 19, 20, 21], [24, 23]]
47: [[9, 13, 15, 2, 8, 1], [16, 5, 3, 22, 4, 11, 18, 6, 7], [12, 10, 14, 17, 19], [20, 21, 24, 23]]
48: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 12, 10], [14, 17, 19, 20, 21], [24, 23]]
49: [[9, 13, 15, 8, 2, 1, 16], [5, 3, 22, 4, 11, 18, 6, 7, 12, 10], [14, 17, 19, 20, 21], [24, 23]]
