0: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8, 13], [12, 19, 20, 16, 17, 18, 22], [21, 23, 24]]
1: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8, 13], [12, 19, 20, 16, 17, 18, 22], [21, 23, 24]]
2: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8, 13], [12, 19, 20, 16, 17, 18, 22], [21, 23, 24]]
3: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8, 13], [12, 19, 20], [16, 17], [18, 22], [21, 23, 24]]
4: [[7, 11], [1, 2, 9], [3, 6], [5, 14, 10, 4], [15, 8], [13, 12, 19], [20, 16, 17], [18, 22], [21, 23, 24]]
5: [[7, 11], [1, 2, 9], [3, 6], [5, 14, 10, 4], [15, 8], [13, 12], [19, 20, 16, 17], [18, 22], [21, 23, 24]]
6: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8], [13, 12, 19], [20, 16], [17, 18, 22], [21, 23, 24]]
7: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10, 4], [15, 8], [13, 12], [19, 20], [16, 17], [18, 22], [21, 23, 24]]
8: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10], [4, 15, 8, 13], [12, 19], [20, 16], [17, 18, 22], [21, 23, 24]]
9: [[7, 11], [1, 2, 9], [3, 6, 5], [14, 10], [4, 15], [8, 13, 12], [19, 20, 16], [17, 18, 22], [21, 23, 24]]
10: [[7, 11], [1, 2, 9], [3, 6], [5, 14], [10, 4], [15, 8], [13, 12], [19, 20, 16, 17, 18, 22], [21, 23, 24]]
11: [[7, 11], [1, 2], [9, 3, 6], [5, 14, 10], [4, 15, 8, 13], [12, 19], [20, 16, 17], [18, 22], [21, 23, 24]]
12: [[7, 11], [1, 2], [9, 3, 6], [5, 14, 10], [4, 15, 8, 13, 12, 19, 20, 16], [17, 18], [22, 21, 23, 24]]
13: [[7, 11], [1, 2], [9, 3, 6], [5, 14, 10], [4, 15, 8], [13, 12, 19], [20, 16], [17, 18, 22], [21, 23, 24]]
14: [[7, 11], [1, 2], [9, 3, 6], [5, 14], [10, 4], [15, 8, 13], [12, 19, 20], [16, 17, 18], [22, 21, 23, 24]]
15: [[7, 11], [1, 2, 9], [3, 6], [5, 14, 10], [4, 15, 8], [13, 12], [19, 20, 16], [17, 18, 22], [21, 23, 24]]
16: [[7, 11], [1, 2], [9, 3], [6, 5], [14, 10], [4, 15], [8, 13], [12, 19], [20, 16, 17], [18, 22], [21, 23, 24]]
17: [[7, 11], [1, 2], [9, 3, 6], [5, 14], [10, 4], [15, 8, 13, 12], [19, 20, 16, 17], [18, 22], [21, 23, 24]]
18: [[7, 11], [1, 2], [9, 3, 6], [5, 14, 10], [4, 15, 8], [13, 12], [19, 20, 16], [17, 18, 22], [21, 23, 24]]
19: [[7, 11], [1, 2, 9], [3, 6], [5, 14], [10, 4, 15, 8, 13], [12, 19, 20, 16], [17, 18, 22], [21, 23, 24]]
20: [[7, 11], [1, 2], [9, 3], [6, 5, 14], [10, 4], [15, 8], [13, 12, 19], [20, 16, 17, 18], [22, 21, 23, 24]]
