0: [[68, 69, 21, 1, 34], [4, 56, 3], [32, 46, 24, 23], [7, 47, 76], [9, 84], [81, 75], [2, 87, 12, 22], [11], [14, 25], [44, 66, 39, 8], [6], [28, 29, 13], [62, 60, 57, 43], [59, 16, 17], [19, 18], [26, 27], [30, 33, 20], [31, 35, 45], [40, 36, 38], [15, 41], [42, 5, 48], [49, 51], [37, 52, 50], [83, 53], [63, 77, 58, 10], [82, 64], [67, 71], [54, 55, 61], [80, 65, 78], [70, 72], [74, 79], [86, 85], [73, 88]]
1: [[68, 69, 21, 1, 34], [4, 56, 3], [32, 46, 24, 23], [7, 47, 76], [9, 84], [81, 75], [2, 87, 12, 22], [11], [14, 25], [44, 66, 39, 8], [6], [28, 29, 13], [62, 60, 57, 43], [59, 16, 17], [19, 18], [26, 27], [30, 33, 20], [31, 35, 45], [40, 36, 38], [15, 41], [42, 5, 48], [49, 51], [37, 52, 50], [83, 53], [63, 77, 58, 10], [82, 64], [67, 71], [54, 55, 61], [80, 65, 78], [70, 72], [74, 79], [86, 85], [73, 88]]
2: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 10, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 54, 62, 55, 56, 60, 57, 61, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
3: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 54, 60, 61, 56, 57, 62, 55, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
4: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 57, 54, 63, 56, 61, 60, 62, 55, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
5: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 62, 54, 57, 56, 60, 61, 55, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
6: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 57, 54, 49, 63, 60, 55, 62, 56, 61, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
7: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 57, 49, 55, 61, 60, 54, 56, 62, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
8: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 57, 49, 62, 54, 60, 56, 63, 61, 55, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
9: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 57, 55, 54, 63, 56, 60, 61, 62, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
10: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 57, 55, 62, 56, 54, 61, 60, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
11: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 57, 49, 55, 54, 56, 60, 61, 62, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
12: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 31, 30, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 57, 49, 55, 54, 60, 61, 56, 62, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
13: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 57, 49, 54, 55, 56, 60, 61, 63, 62, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
14: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 34, 44, 40, 39], [38, 41, 27, 54, 37, 42, 45, 47, 29, 46, 43, 48, 49, 52, 57, 62, 60, 56, 61, 55, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
15: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 54, 55, 60, 57, 56, 61, 62, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
16: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 54, 62, 55, 57, 56, 60, 61, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
17: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 54, 62, 57, 60, 56, 55, 61, 63, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
18: [[68, 70, 7, 32, 4, 36, 22, 3, 1, 8, 12, 2, 13, 5, 14, 24, 6, 16, 25, 28, 15, 23], [11, 18, 17, 9, 26, 10, 21, 19, 20, 59, 53, 30, 31, 50, 58, 51, 33, 35, 40, 44, 34, 39], [38, 41, 27, 52, 37, 42, 45, 47, 29, 46, 43, 48, 49, 60, 55, 57, 54, 56, 61, 63, 62, 64], [72, 67, 69, 66, 65, 71, 73, 78, 74, 75, 77, 76, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
