0: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 9], [15, 14, 6, 4, 16], [19, 17, 18, 20]]
1: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 9], [14, 4, 15, 16, 6], [19, 17, 18, 20]]
2: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 9], [15, 14, 6, 4, 16], [19, 17, 18, 20]]
3: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 4], [14, 6, 15, 16, 9], [19, 17, 18, 20]]
4: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 4], [14, 6, 15, 16, 9], [19, 17, 18, 20]]
5: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 4], [15, 6, 14, 16, 9], [19, 17, 18, 20]]
6: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 4], [14, 6, 15, 16, 9], [19, 17, 18, 20]]
7: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 9], [14, 6, 15, 17, 4], [19, 16, 18, 20]]
8: [[2, 3, 7, 5, 1, 8, 10], [11, 13, 4, 14, 9], [6, 15, 16, 12], [19, 17, 18, 20]]
9: [[2, 3, 7, 5, 1, 8, 10], [11, 13, 4, 14, 9], [6, 15, 16, 12], [19, 17, 18, 20]]
10: [[2, 3, 7, 5, 1, 10, 9], [11, 12, 13, 14, 4], [6, 16, 8, 15], [19, 17, 18, 20]]
11: [[2, 3, 7, 5], [1, 8, 10, 11, 12, 13, 9], [15, 14, 6, 4, 16], [19, 17, 18, 20]]
12: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 4, 14, 6, 15, 9, 16], [19, 17, 18, 20]]
13: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 4, 14, 6, 15, 16, 9], [19, 17, 18, 20]]
14: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 4, 14, 6, 15, 16, 9], [19, 17, 18, 20]]
15: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 4, 15, 6, 14, 16, 9], [19, 17, 18, 20]]
16: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 4, 14, 6, 15, 16, 9], [19, 17, 18, 20]]
17: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [4, 6, 14, 13, 15, 16, 9], [19, 17, 18, 20]]
18: [[2, 3, 7, 5, 1, 8, 10], [11, 13, 9, 12, 14], [6, 15, 17, 4], [19, 16, 18, 20]]
19: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 6], [15, 4, 14, 16, 9], [19, 17, 18, 20]]
20: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 6, 14], [15, 16, 4, 9], [19, 17, 18, 20]]
21: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 4, 6], [14, 13, 16, 15, 9], [19, 17, 18, 20]]
22: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 6, 4], [15, 14, 16, 13, 9], [19, 17, 18, 20]]
23: [[2, 3, 7, 5, 1], [8, 10, 11, 13, 12, 14, 4], [6, 15, 16, 9], [19, 17, 18, 20]]
24: [[2, 3, 7, 5, 1], [8, 10, 11, 13, 4, 14, 9], [6, 15, 16, 12], [19, 17, 18, 20]]
25: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 6], [14, 4, 15, 17, 9], [19, 16, 18, 20]]
26: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 6], [14, 9, 15, 17, 4], [19, 16, 18, 20]]
27: [[2, 3, 7, 5, 1, 8, 10], [11, 12, 13, 6], [14, 4, 15, 17, 9], [19, 16, 18, 20]]
28: [[2, 3, 7, 5], [1, 8, 10, 11, 12], [13, 4, 14, 6, 15, 16, 9], [19, 17, 18, 20]]
29: [[2, 3, 7, 5], [1, 8, 10, 11, 12], [13, 6, 14, 9, 15, 16, 4], [19, 17, 18, 20]]
30: [[2, 3, 7, 5], [1, 8, 10, 11, 12], [13, 4, 14, 15, 6, 16, 9], [19, 17, 18, 20]]
31: [[2, 3, 7, 5], [1, 8, 10, 11, 12], [13, 14, 15, 6, 4, 16, 9], [19, 17, 18, 20]]
32: [[2, 3, 7, 5], [1, 8, 10, 11, 12], [13, 9, 14, 6, 15, 16, 4], [19, 17, 18, 20]]
33: [[2, 3, 7, 5], [1, 8, 10, 11, 12], [13, 15, 14, 4, 6, 16, 9], [19, 17, 18, 20]]
34: [[2, 3, 7, 5, 1], [8, 10, 11, 12, 4, 14, 6], [13, 15, 16, 9], [19, 17, 18, 20]]
35: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 9, 14, 15, 17, 4, 6], [19, 16, 18, 20]]
36: [[2, 3, 7, 5, 1], [8, 10, 11, 12], [13, 9, 14, 6, 15, 4, 17], [19, 16, 18, 20]]
37: [[2, 3, 7, 5], [1, 8, 10, 11, 12, 13, 4], [6, 14, 15, 16, 9], [19, 17, 18, 20]]
38: [[2, 3, 7, 5], [1, 8, 10, 11, 12, 13, 4], [9, 6, 15, 14, 16], [19, 17, 18, 20]]
39: [[2, 3, 7, 5, 9], [1, 8, 10, 11], [13, 4, 6, 14, 15, 12, 17], [19, 16, 18, 20]]
40: [[2, 3, 7, 5], [1, 8, 10, 11, 13], [4, 6, 15, 12, 14, 16, 9], [19, 17, 18, 20]]
41: [[2, 3, 7, 5, 6], [1, 8, 10, 11, 12], [13, 15, 14, 9, 4, 17], [19, 16, 18, 20]]
