0: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 17, 19, 18, 20, 16]]
1: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 18, 17, 19, 16, 20]]
2: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 18, 17, 19, 16, 20]]
3: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 19, 18, 17, 16, 20]]
4: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 19, 18, 17, 16, 20]]
5: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 18, 17, 19, 16, 20]]
6: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [12, 11, 13, 9], [15, 18, 16, 19, 20, 17]]
7: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 19, 18, 17, 16, 20]]
8: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 4], [13, 11, 12, 9], [15, 19, 18, 17, 16, 20]]
9: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 13], [11, 12, 9], [15, 19, 16, 17, 18, 20]]
10: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 13], [11, 12, 9], [15, 18, 17, 19, 16, 20]]
11: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 13], [11, 12, 9], [15, 18, 16, 19, 17, 20]]
12: [[3, 1, 8, 14], [2, 7, 5, 10, 4, 13, 6], [11, 12, 9], [15, 18, 19, 16, 20, 17]]
13: [[3, 1, 8, 14], [2, 7, 5, 10, 4, 13, 6], [11, 12, 9], [19, 18, 17, 16, 20, 15]]
14: [[3, 1, 8, 14], [2, 7, 5, 10, 4, 13, 6], [11, 12, 9], [19, 16, 17, 18, 20, 15]]
15: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 13], [11, 12, 9], [15, 19, 17, 18, 20, 16]]
16: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 13], [11, 12, 9], [15, 18, 16, 17, 19, 20]]
17: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 13], [11, 12, 9], [15, 18, 17, 19, 16, 20]]
18: [[3, 1, 8, 14], [2, 7, 5, 10, 4, 13, 6], [11, 12, 9], [18, 17, 16, 19, 20, 15]]
19: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 13, 4], [11, 12, 9], [17, 19, 16, 18, 20, 15]]
20: [[3, 1, 8], [14, 2, 7, 5, 10, 13, 4], [11, 12, 6, 9], [18, 16, 17, 19, 20, 15]]
21: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 13], [4, 11, 12, 9], [16, 17, 19, 18, 20, 15]]
22: [[3, 1, 8], [14, 2, 7, 5, 10, 6, 12], [13, 11, 4, 9], [15, 17, 19, 18, 16, 20]]
23: [[3, 1, 8, 14], [2, 7, 5], [10, 6, 4, 13, 11, 12, 9], [15, 19, 18, 16, 17, 20]]
24: [[3, 1, 8, 14], [2, 7, 5], [10, 13, 11, 12, 6, 4, 9], [15, 19, 17, 16, 20, 18]]
25: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 4], [13, 11, 12, 9], [15, 16, 18, 17, 19, 20]]
26: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 4], [12, 11, 13, 9], [15, 16, 17, 19, 18, 20]]
27: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 4], [12, 11, 13, 9], [15, 18, 17, 19, 16, 20]]
28: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 4], [13, 11, 12, 9], [15, 19, 16, 17, 18, 20]]
29: [[3, 1, 8, 14, 2, 7, 5], [10, 4, 6], [13, 11, 12, 9], [15, 19, 17, 16, 20, 18]]
30: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 4], [13, 11, 12, 9], [18, 19, 17, 16, 20, 15]]
31: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 4], [13, 11, 12, 9], [15, 19, 18, 17, 16, 20]]
32: [[3, 1, 8], [14, 2, 7, 5, 10, 4, 12], [6, 11, 13, 9], [15, 19, 17, 16, 20, 18]]
33: [[3, 1, 8, 14], [2, 7, 5, 10, 4, 12, 6], [11, 13, 9], [15, 19, 16, 17, 18, 20]]
34: [[3, 1, 8, 14], [2, 7, 5, 10, 4, 12, 6], [11, 13, 9], [15, 19, 16, 17, 18, 20]]
35: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 12, 4], [11, 13, 9], [15, 19, 17, 16, 20, 18]]
36: [[3, 1, 8, 14], [2, 7, 5, 10, 6, 4, 12], [11, 13, 9], [15, 17, 18, 16, 20, 19]]
37: [[3, 1, 8], [14, 2, 7, 5, 10, 4, 13], [12, 11, 15, 9], [6, 18, 17, 19, 16, 20]]
38: [[3, 1, 8, 14], [2, 7, 5], [10, 4, 13, 15, 11, 12, 9], [6, 18, 16, 19, 17, 20]]
39: [[3, 1, 8, 14, 2, 7, 5], [10, 4, 12, 6], [11, 13, 9], [15, 19, 16, 17, 18, 20]]
40: [[3, 1, 8, 14, 2, 7, 5], [10, 6, 12, 4], [11, 13, 9], [18, 17, 19, 20, 16, 15]]
41: [[3, 1, 8, 14, 2, 7, 5], [10, 13, 4], [11, 12, 9], [6, 17, 19, 18, 16, 20, 15]]
