0: [[12, 11], [7, 5, 10, 2, 9], [3, 1, 8], [13, 14, 4], [16, 6, 15], [17, 18, 19, 20]]
1: [[12, 11], [7, 5, 10, 2, 9], [3, 1, 8], [13, 14, 4], [16, 6], [17, 18, 19, 20, 15]]
2: [[12, 11], [7, 5, 10], [2, 9], [3, 1, 8], [13, 14, 4], [16, 6, 15], [17, 18, 19, 20]]
3: [[12, 11], [7, 5], [10, 2, 9], [3, 1, 8], [13, 14, 4], [16, 6, 15], [17, 18, 19, 20]]
4: [[12, 11], [7, 5, 10, 2, 9], [3, 1, 8], [13, 14, 4], [16, 17, 6, 15], [18, 20, 19]]
5: [[12, 11], [7, 5], [10, 2, 9], [3, 1, 8], [13, 14, 4], [16, 6], [17, 18, 19, 20, 15]]
6: [[12, 11], [7, 5, 10], [2, 3, 1, 8, 9], [13, 14, 4], [16, 6, 15], [17, 18, 19, 20]]
7: [[12, 11], [7, 5, 10], [2, 9], [3, 1, 8], [13, 14, 4], [16, 17, 6, 15], [18, 19, 20]]
8: [[12, 11], [7, 5, 10, 2, 9], [3, 1, 8], [13, 14, 4], [16, 17, 6], [18, 19, 20, 15]]
9: [[12, 11], [7, 5], [10, 2, 9], [3, 1, 8], [13, 14, 16, 4, 6], [17, 15], [18, 19, 20]]
10: [[12, 11], [7, 5, 10], [2, 3, 1, 9], [8, 13, 14, 4], [16, 6], [17, 18, 19, 20, 15]]
11: [[12, 11], [7, 5, 10], [2, 3, 1, 8, 9], [13, 14, 16, 4, 6], [17, 15], [18, 19, 20]]
12: [[12, 11], [7, 5], [10, 2, 9], [3, 1, 8], [13, 14, 16, 4, 6], [17, 18, 15], [19, 20]]
13: [[12, 11], [7, 5, 10], [2, 3, 9, 6], [1, 8], [13, 14, 4], [16, 15], [17, 18, 19, 20]]
14: [[12, 11], [7, 5, 10], [2, 9], [3, 1], [8, 13, 14, 4], [16, 17, 6, 15], [18, 19, 20]]
15: [[12, 11], [7, 5], [10, 2], [3, 1, 8, 9], [13, 14, 16, 4, 6], [17, 18, 19, 20, 15]]
16: [[12, 11], [7, 5], [10, 2], [3, 1, 8, 9], [13, 14, 16, 4, 6], [17, 18, 19, 20, 15]]
17: [[12, 11], [7, 5, 10, 2], [3, 1, 9], [8, 13, 14, 4], [16, 17, 6, 15], [18, 19, 20]]
18: [[12, 11], [7, 5], [10, 2], [9, 3, 1], [8, 13, 14, 4], [16, 6, 15], [17, 18, 19, 20]]
19: [[12, 11], [7, 5], [10, 2, 6], [3, 1, 9], [8, 13, 14, 4], [16, 15], [17, 18, 19, 20]]
20: [[12, 11], [7, 5], [10, 2, 9], [3, 1], [8, 13, 14, 4], [16, 17, 6, 15], [18, 19, 20]]
21: [[12, 11], [7, 5, 10, 2], [3, 1, 8, 13, 9], [14, 4, 16, 6, 15, 17, 18, 19, 20]]
22: [[12, 11], [7, 5], [10, 2, 9], [3, 1, 8], [13, 14, 16, 15, 17, 18, 19, 20, 4, 6]]
23: [[12, 11], [7, 5], [10, 2], [3, 1, 9], [8, 13], [14, 4, 6], [16, 15], [17, 18, 19, 20]]
24: [[12, 11], [7, 5, 10], [2, 3, 1, 8, 9], [13, 14, 16, 4], [6, 17, 18, 19, 20, 15]]
25: [[12, 11, 7, 9], [5, 10], [2], [3, 1, 8], [13, 14, 16, 4, 6], [17, 15], [18, 19, 20]]
26: [[12, 11], [7, 5, 10], [2, 3, 1, 9], [8, 13, 14, 4], [16, 6], [17, 18, 19, 15], [20]]
27: [[12, 11], [7, 5], [10, 2, 9], [3, 1, 8, 13], [14, 16, 15, 17, 18, 19, 20, 4, 6]]
28: [[12, 11], [7, 5, 10, 2], [3, 9], [1, 8, 13], [14, 16, 4, 6], [17, 15], [18, 19, 20]]
29: [[12, 11, 7], [5, 10, 2], [3, 1, 9], [8, 13], [14, 16, 4, 6, 15], [17, 18, 19, 20]]
30: [[12, 11], [7, 5], [10, 2, 3, 1, 8, 9], [13, 14, 4, 16, 6, 15, 17, 18, 19, 20]]
31: [[12, 11, 7, 9], [5, 10], [2], [3, 1], [8, 13, 14, 4], [16, 6], [17, 15], [18, 19, 20]]
32: [[12, 11], [7, 5, 10], [2, 3, 9, 6], [1, 8], [13, 14, 4], [16], [17, 15], [18, 19, 20]]
33: [[12, 11, 7], [5, 10, 9, 2], [3, 1, 8], [13, 14, 4, 16, 15, 17, 18, 19, 20, 6]]
34: [[12, 11], [7, 5], [10, 2, 3, 9], [1, 8, 13], [14, 16, 4, 6], [17, 18, 19, 20, 15]]
35: [[12, 11], [7, 5], [10, 2], [3, 1, 8, 13, 9], [14, 16, 17, 18, 19, 20, 15, 4, 6]]
36: [[12, 11], [7, 5, 10], [2, 3, 9], [1, 8, 13], [14, 16, 4, 6], [17, 15], [18, 19, 20]]
37: [[12, 11], [7, 5, 10], [2, 3, 1, 9], [8, 13, 14, 4, 16, 6, 15, 17, 18, 19, 20]]
38: [[12, 11], [7, 5], [10, 2], [3, 9], [1, 8, 13], [14, 16, 4, 6], [17, 15], [18, 19, 20]]
39: [[12, 11, 7], [5, 10, 2], [3, 1, 9], [8, 13, 14, 4], [16, 15], [17, 18, 19, 20, 6]]
40: [[12, 11], [7, 5, 10, 2, 9, 3, 1, 8, 13, 14, 4, 16, 6, 15, 17, 18], [19, 20]]
41: [[12, 11, 7, 5], [10, 2, 9, 3, 1], [8, 13, 14, 4, 16, 6, 15, 17, 18, 19, 20]]
